S,Channel,0,1,2,3
0,0,0.011920108189249313,0.08289363826107816,0.30417335578727855,0.12431738765437902
0,1,-0.07036220772646407,-0.010420305465972965,0.21832685683351766,0.12577929432965826
0,2,0.07747907444969786,0.015073948957305587,0.4176775841592676,0.004148153453426181
0,3,-0.09640087849238166,-0.005021115284696627,0.3022494484440886,0.10920347687261836
0,4,0.055757486239899706,0.1816945486811012,0.4019206322692398,0.272265598138498
0,5,0.2305272809821738,0.03751597794635859,0.3820434702954854,0.2838575864875586
0,6,-0.09322655615834456,0.22828944802712908,0.07590679578470258,0.12037732907007342
0,7,0.0073022950581027165,0.272009069755399,0.1228915062653997,0.3008161156815825
0,8,-0.03803984668173927,0.02357154386413507,0.10319531808971724,0.1812606923547955
0,9,0.13432278448808127,0.17488120053425663,0.2971619496071942,0.3839172003128213
0,10,-0.09164793510224008,0.20074363222522945,0.07688660401334713,0.2621601260388369
0,11,-0.23383172805280608,0.20485143782795806,0.004831739825937995,0.1258934163706331
0,12,-0.07352119487485625,0.24780209683272236,0.29983752291734517,0.2807222130970919
0,13,-0.010758901177866516,0.16766058916207113,0.313644884433766,0.09264739400483046
1,0,0.07506778096382233,0.005020489512471423,-0.057988508005448906,-0.05429977548414593
1,1,-0.13604867170579316,-0.16448399024688728,-0.021216272610457994,-0.023448299704724743
1,2,-0.06178376478550653,-0.11699197369984078,-0.10247290185971827,-0.20408505711124783
1,3,-0.09329450784459373,-0.0776069589119873,-0.14207576856858303,-0.01336884646448778
1,4,0.09863004035912373,0.11267886101795543,0.14785348191808248,0.040558084390297594
1,5,-0.23967507079752773,0.054306717970802366,0.14532673112032024,-0.17373970446291825
1,6,0.01976699772559184,0.21798507198927547,-0.09064204619627879,-0.11478706581858455
1,7,-0.03268849517566187,0.08969086461945479,0.06635265395360238,-0.0275582246030284
1,8,0.09226664519940717,0.240754373776043,0.11027809219326977,0.26385170746843134
1,9,-0.10203890881212739,0.22374267770247605,0.17629637556554895,0.07558608730724281
1,10,-0.21857231595714857,-0.21662239737327427,0.09734751457858044,-0.4826624487197345
