S,Channel,0,1,2,3
0,0,0.02953802539639016,0.008534288890052527,-0.03251102772320809,-0.08853278118769808
0,1,-0.0022482364666177776,0.0010338114360290119,-0.026421190267147607,-0.0804060097097964
0,2,0.023219039152017586,-0.0118998337699095,-0.028039610861423224,-0.05127162050026776
0,3,0.008998472611253777,-0.05544788322179214,-0.054701880085215454,-0.043898931821347846
0,4,0.02981500375534425,-0.019523260360651076,-0.0467874233003971,-0.09546584226347937
0,5,0.011286121564462723,-0.0378054526983182,-0.013628128983163203,-0.07047003688633946
0,6,-0.011860831668512924,0.018803932037451013,-0.08463392691849936,-0.060772396263490194
0,7,0.02607864731333553,-0.03989889408538235,-0.016012742508337494,-0.1285044552983357
0,8,-0.017240238352457173,0.016354730135785985,-0.027118759959552607,-0.045978841163701455
0,9,-0.03547620707079116,-0.060763458705792014,-0.016599363708544514,-0.08944049847206291
0,10,0.10475578642038776,-0.016276204353779203,0.03516923998262685,-0.024750906630368004
0,11,0.035423525848953225,-0.06549109463075206,0.004287295352447346,-0.03932165975753049
0,12,0.08524762292521784,-0.008598940296537088,0.00869609912163172,-0.05914907626473607
0,13,0.02815075580969406,0.00885717871464719,-0.002565550261438718,-0.04571826939849872
1,0,-0.0498573867917123,0.009704160404207287,0.02261529906804795,-0.012085737549837555
1,1,-0.014546323160877596,-0.03354672695392638,0.009474845067605164,0.006631140120931789
1,2,-0.02463335550544062,-0.022037180386906365,-0.010726574099258389,-0.0179251120688933
1,3,-0.0008455608812622703,0.014588809778890108,-0.03271804658736598,-0.05253195088063876
1,4,-0.03895876617747689,-0.03176987935750332,0.04655136576185104,0.016445350780262703
1,5,-0.08549098063490267,-0.026383189389699288,-0.03812478701386308,-0.05315239647189827
1,6,-0.07551854246415189,-0.052866792468102296,0.026104960054771212,-0.10940921763795107
1,7,-0.17338226760144426,0.023717516957003987,0.06031402079882723,-0.0423472410186347
1,8,-0.03877001813563601,0.029893383950240816,0.029343973637659507,-0.042444565805058336
1,9,-0.0977544973541295,-0.01535417364432068,0.01478698295718469,-0.058160853334748894
1,10,-0.03860366078946523,0.026701596906827305,0.06470502014719877,-0.019858752967807498
1,11,-0.09807467737443161,0.044863800110312504,0.06932258008882726,-0.0404427533555983
1,12,-0.04293798387842027,0.04842247938570182,0.08159193809434118,0.03868726448923748
1,13,-0.04670369791631512,0.00150644419082221,0.015051600603500559,-0.01787612603726242
2,0,0.022043271642219538,0.06693235274579447,-0.01039676252263539,0.06273871700136908
2,1,-0.06734951372960679,-0.017175567904716638,0.007440599623079408,-0.0635575510375671
2,2,-0.016148215469047277,-0.015790215789369583,-0.0031414481969670037,-0.02887842988695953
2,3,-0.058152956077251086,-0.004338194939607482,0.019066710162039938,-0.01924055862606839
2,4,-0.10563850688831093,-0.03644480951075075,0.022043798121670902,-0.10869410981175438
2,5,-0.050960175959252,-0.00259925717641539,0.00808084112385729,-0.0887577611537895
2,6,0.11945672071657762,0.04376073835201852,-0.053246877436375656,0.18126149510557357
2,7,0.03941521662830603,0.08755631778521554,-0.03826971202583208,0.19535937975376394
2,8,-0.014844176680723546,-0.01319768628756061,0.01845605341220534,0.05297395853732857
2,9,-0.003555155255802266,-0.0009934456882136455,0.020296984575897264,0.06852025018461853
2,10,0.09934919768277788,0.09367804176676069,-0.03141858262382269,0.2588467050252439
2,11,0.12957519057396946,0.1073129800938728,-0.02165557184022775,0.1881670935816964
2,12,,,,
2,13,0.06933551388747924,0.03854136586058238,-0.09148841669208434,0.11670505653539866
3,0,0.005119481287446396,0.008520839388325869,-0.0023231467371928657,0.001203856397304517
3,1,0.00813497771922351,0.02977768246583503,0.016945658491083843,0.0043974149848209475
3,2,0.008103830857815726,0.022713299982883635,-0.0064834468069610825,-0.015023773476188565
3,3,0.01199621070977296,0.009592968958431354,-0.006055598149021997,0.03381074112248019
3,4,-0.051210879876389066,0.002023604332319854,-0.01335483878759126,-0.01612001189861914
3,5,-0.07598239867917601,-0.0378295394981242,0.024273311203937803,-0.036494056623051906
3,6,,,,
3,7,,,,
3,8,-0.0014271883876896716,0.0044769282827403275,-0.0011386457985604606,0.012249421035899464
3,9,2.7301974680403995e-05,0.022608953813093205,0.0005426060504882121,0.025698607703664153
3,10,-0.010969410273714607,-0.04459687899868551,0.08523989102163278,-0.0442418530593764
3,11,0.01311149179918852,-0.06699196110393331,0.0783013738040656,-0.03069926557908369
3,12,,,,
3,13,,,,
4,0,-0.03802372460059894,-0.00893874499184637,0.004577702505653328,0.0016130897413839569
4,1,-0.051822625110413044,0.047126367801237246,0.009642081333630677,0.006047920592376795
4,2,-0.012507205996150557,-0.01647819241185135,-0.014806369076230105,-0.020528547667458256
4,3,0.008239979386070505,-0.014171283119766055,0.0037533362244379347,0.0037142328375537213
4,4,-0.0346999172786385,0.02068428132893865,0.008409605648771851,-0.04596850178708354
4,5,-0.04346220984453918,-0.007671293320547735,-0.023214481880568752,-0.005219129069195474
4,6,-0.009375096606725933,-0.002024390585740554,-0.005301813363484609,0.014148428591370492
4,7,-0.013419093012512774,-0.021757961442879968,0.004527847610108011,-0.013843380222428396
