S,Channel,0,1,2,3
0,0,1.2110002056054503e-07,1.7169176660001045e-07,2.2626094399468053e-07,9.63253802070948e-08
0,1,1.195600287424731e-07,1.2585617969395744e-07,5.190034374601361e-08,8.58532780331427e-08
0,2,4.261345748790698e-08,1.2309679161689573e-07,2.4104485553032455e-07,1.4940715486378626e-07
0,3,4.375840647943203e-08,1.7491163310558225e-07,1.229352112049513e-07,1.1053856531795963e-07
0,4,2.003698643684633e-07,2.599255184803143e-07,2.2531597161927042e-07,2.8059664224633916e-07
0,5,2.87589558544896e-07,1.9391880104358768e-07,3.271599309055039e-07,3.013416275830013e-07
0,6,1.306894694949055e-08,-1.1850324211334445e-07,3.809621019060299e-08,-1.4610780640545674e-08
0,7,2.3263363510869515e-07,3.506479869947819e-08,2.6944940945131985e-07,1.260362433062496e-07
0,8,9.779959961626761e-08,1.1593500718761038e-07,1.648222774365819e-07,1.3532851008561073e-07
0,9,3.309360375127152e-07,2.423597655018072e-07,2.846167979739856e-07,2.756722273723408e-07
0,10,2.2879335950973472e-07,1.1631616540184164e-07,1.9253736565129936e-07,1.19629682644289e-07
0,11,2.667074264361277e-08,-8.203908073834039e-08,2.551339999032004e-08,3.228695405571592e-08
0,12,2.510265677636314e-07,1.569821285989991e-07,2.0340794175876151e-07,1.8006570003435702e-07
0,13,1.7866963769715569e-07,1.1474042914778083e-07,2.2179423216809933e-07,1.6877414316239473e-07
1,0,9.840788224398233e-08,1.8117184615308998e-08,4.015443602676152e-08,1.2027439114001822e-07
1,1,-6.65673698566134e-10,-8.342822086925602e-08,-7.09112105765697e-08,-7.731505791786328e-08
1,2,3.5119721330450985e-08,-4.6804382256442106e-08,-1.398601352200165e-08,1.6064583579295843e-08
1,3,-8.078706883654742e-09,-3.7351180303540403e-08,-5.866179549944854e-08,-3.092992609015007e-08
1,4,1.1005094598647815e-07,-1.9271120742353627e-08,9.003593304343951e-08,5.373585648277087e-08
1,5,-3.097615362143331e-08,-5.1698728940366705e-08,4.230739304884384e-08,3.930256709109831e-08
1,6,-1.680432865005101e-07,1.4827231147528605e-09,-9.126178621317632e-08,-2.6198482020402804e-07
1,7,-1.0918632307974183e-07,-3.633025421387021e-08,-7.290975260279118e-08,-9.525690931939542e-08
1,8,-2.0253220942493756e-08,-2.1132960430064354e-08,-9.369555014068071e-08,-6.756673129287116e-08
1,9,-1.5084428517741415e-07,1.275892211142845e-08,-5.300491327750824e-09,-1.1581059296332625e-07
