S,Channel,0,1,2,3
0,0,2.678575007710021e-07,7.766814568156366e-08,3.1598616461863403e-07,1.7552033722221934e-07
0,1,1.6888125508086498e-07,4.238169521434975e-08,2.062036027290564e-07,1.125237645073388e-07
0,2,1.9967295174160416e-07,1.8568165028181271e-07,4.1264302944875207e-07,6.290309530428353e-08
0,3,1.8705683983082945e-07,7.923073581279656e-08,2.953310041879958e-07,1.3147728424839964e-07
0,4,2.815636293842412e-07,1.5668822582095431e-07,4.254080197567692e-07,1.786302426116591e-07
0,5,4.441023742311547e-07,1.9337259877826755e-07,5.137213464895581e-07,2.372736591311162e-07
0,6,-3.465479259372114e-08,-1.462978942037678e-08,-3.063924252898603e-08,5.533343309340777e-08
0,7,1.5340547095003856e-07,2.412175066385251e-07,2.5798276916228815e-07,1.326732599907406e-07
0,8,1.7033729924197415e-07,1.5753819435755855e-07,2.439553384010531e-07,1.0480486653150675e-07
0,9,3.012244067005534e-07,2.986022240889341e-07,4.870516031209405e-07,2.4740503271886066e-07
0,10,1.6781934106783087e-07,1.6651279245532385e-07,2.056365888815273e-07,-1.390378845005337e-08
0,11,-3.9273972493311515e-08,1.6427779354580186e-09,-8.310323271896818e-08,-3.559432758576542e-08
0,12,2.3580075024697639e-07,2.243418101496973e-07,4.998403672235781e-07,2.1758606643177544e-07
0,13,2.233658525327739e-07,1.743288989378127e-07,3.485738448789236e-07,8.173716289405019e-08
1,0,8.246415550821914e-08,4.3956688168771124e-08,7.095161604418824e-08,2.989252194998548e-08
1,1,4.928030626356806e-10,-8.703578408362745e-08,7.722961668833415e-10,-6.237686604822273e-08
1,2,-3.567953317573611e-08,9.754727824440459e-09,5.470930746628441e-08,-1.595851290269664e-08
1,3,-7.354136631986541e-08,3.526423984412276e-08,3.946393584228309e-08,-1.9105715839890674e-08
1,4,7.30111640113935e-08,-2.0396616333924104e-09,6.57384589357476e-08,4.913924234873842e-08
1,5,7.525624451235715e-08,6.379999283949273e-08,1.419886311571722e-07,2.394816046739046e-08
1,6,1.9730910886981234e-07,-4.8893401926636335e-08,-2.2744501045605391e-07,-8.608663914597172e-08
1,7,1.8835013970245447e-07,-1.513433176548688e-08,-8.730664231021698e-08,-5.253143553755314e-08
1,8,6.203802161498557e-08,-6.657273246124703e-08,3.4135868042664295e-08,2.5675662658490063e-08
1,9,2.051865382464387e-08,-6.684490271488509e-08,3.42810186564273e-08,-3.9256217750042676e-08
1,10,7.271331182153842e-09,-4.8095218243059146e-08,-5.435484894066553e-08,-6.373397209768634e-08
1,11,1.502370940167363e-07,-1.5167953169999852e-07,-1.998820923388442e-07,-8.68322049473658e-08
1,12,1.9728885185072547e-08,-7.248225127626334e-08,2.80661289191032e-08,-4.205349101411292e-08
1,13,9.623791392727894e-08,-1.4929240560477827e-07,1.1605312278854801e-08,5.864533735532251e-09
2,0,4.4659729179150936e-08,9.526773600696452e-08,7.176362631254272e-08,-3.6150819183693794e-08
2,1,3.6880019222685546e-07,1.3867794912032314e-07,5.5522064380726215e-08,1.9506138934635292e-07
2,2,2.9517991738411325e-08,4.896901412843695e-08,4.10478033555459e-08,1.3750211996560598e-09
2,3,3.0832194186900826e-07,4.9352993213768464e-08,5.71087587481899e-08,5.734432883295775e-08
2,4,3.5481229956835997e-07,4.572124003278167e-09,9.185707082383575e-08,1.348346590817962e-07
2,5,3.483525592975035e-07,5.8506979067838266e-08,9.370297527406882e-08,7.891596819587696e-08
2,6,-9.092801896410249e-08,9.579367071571601e-08,1.0449748453739031e-07,-8.420983833839697e-08
2,7,2.0463308137201373e-07,7.20694490854876e-08,1.827576577910024e-08,-5.0314406994904844e-09
2,8,1.454895200317734e-07,-4.856951114281965e-08,5.617383897761279e-08,-1.0582732408083299e-07
2,9,3.1056171569815925e-07,-5.9427574460064095e-09,1.6862061077268984e-07,3.254040882524998e-09
2,10,9.754010012992107e-08,6.344270690835202e-08,1.2366877964889004e-07,8.922409916189099e-08
2,11,-1.512422580081433e-07,-2.2521337433637513e-07,6.175195758717928e-08,-1.1204236111364964e-07
2,12,,,,
2,13,1.240217243130076e-07,-2.332425395185904e-07,-9.419011938016331e-09,-1.2334496358343272e-07
3,0,2.2189593081455117e-08,3.075032806181582e-08,6.794263287740878e-10,6.518427916035515e-09
3,1,5.6206387163272325e-08,1.721160831723181e-08,-2.468048983128804e-08,-9.905082412583032e-10
3,2,6.205440222385656e-09,4.740552917736617e-08,-2.207849826913911e-08,-3.3407396996356766e-08
3,3,4.587707198441382e-08,3.3744291331173207e-09,2.8399817251757483e-08,2.9295813157671596e-08
3,4,5.23804887282938e-08,5.65765757004095e-08,-1.2465427270703913e-08,3.723311917863752e-08
3,5,5.8934205747896244e-08,5.5270125393801553e-08,-6.746240267499925e-08,1.911782146105611e-08
3,6,,,,
3,7,,,,
3,8,-7.385517564453113e-09,6.126657764231049e-09,-6.451438032112701e-09,6.010231246586137e-08
3,9,1.4940858100431137e-07,9.65648419145194e-08,6.222851339635403e-08,1.662819394740726e-07
3,10,-9.243808767343947e-09,1.2689093613680217e-07,-9.046133710167783e-08,1.7977879158183833e-07
3,11,-6.27757101004231e-08,5.7890257729033016e-08,-1.7290396605217528e-07,1.5381777019575545e-07
3,12,,,,
3,13,,,,
4,0,-2.0857202333057115e-08,-7.09027187939467e-08,1.115794809697868e-08,-1.299209041310812e-07
4,1,1.1741047777901067e-07,-4.550942226573507e-09,1.0405219302787733e-07,7.227337584334523e-08
4,2,-8.228469496471494e-09,-5.98188078155338e-08,-8.28011605502982e-09,-4.0950733158769144e-08
4,3,4.8504372784798765e-08,-7.412758941498192e-08,4.149386739982867e-08,-4.230583717866887e-08
4,4,3.8776990606789383e-08,2.0214979392404556e-08,-1.0799424434401728e-08,9.836105815729864e-08
4,5,1.2884090702478007e-08,1.6453694698789765e-08,-6.082247795818699e-09,6.158471164244186e-08
4,6,-7.14867503224826e-08,-6.016827539960997e-08,-4.447360255664323e-08,-1.1159635253175914e-07
4,7,-1.587968399727587e-08,-3.6518449531112135e-08,-4.8051717360338766e-08,1.2441591031881866e-09
4,8,-2.619597995616542e-08,-4.873719331356032e-08,-3.546581167979786e-08,-3.918668094715747e-08
4,9,6.861816634990809e-08,-9.102529236471109e-08,1.1571918378327214e-08,4.9375004688513635e-08
4,10,-9.51172438419202e-08,-2.638950752707864e-08,-9.081503017424488e-08,-1.7314041739693603e-07
4,11,-7.533968482039108e-08,-1.344584669869332e-07,-7.053862508299207e-08,-1.2130678844447685e-07
4,12,,,,
4,13,,,,
5,0,-3.4475668405033365e-08,1.303881857769036e-07,8.071757983991855e-08,-9.356029059602768e-09
5,1,1.0556468375390446e-07,3.419651290821884e-07,3.079192015669847e-07,1.6889550739055354e-07
5,2,-1.9045353240132335e-08,2.099050709413447e-07,1.7507801834636407e-07,3.079844561950345e-08
5,3,2.1529309052936182e-07,3.279118177027968e-07,3.5093133353377756e-07,1.83636385608489e-07
5,4,1.7805605891105326e-08,1.7896046761498145e-07,2.25720913114253e-07,1.0676811226115878e-07
5,5,-2.8294912843482964e-08,1.928537171259127e-07,7.189586547637997e-08,6.068256003922412e-09
5,6,,,,
5,7,,,,
5,8,6.687073245694891e-08,2.2816104638973167e-07,1.3257396102232715e-07,9.828007554093383e-08
5,9,6.876763245416674e-08,2.640310205989105e-07,1.9876331340845997e-07,1.0159924263349663e-07
5,10,-7.884282068973851e-08,2.3823020085049226e-08,-7.231308267043728e-09,-1.1479551503468635e-07
5,11,-5.2183631449472254e-08,1.3249967872025178e-07,1.8508251053357563e-08,-6.552553684255117e-09
5,12,-3.854727164036357e-08,2.79133079915885e-07,2.376739855077688e-07,2.048787058021212e-08
5,13,6.888963681706493e-08,2.5686168561547125e-07,1.9954778641441264e-07,9.689272740251876e-08
6,0,2.189765702184706e-08,-3.59265046322493e-08,1.033877378345111e-08,-4.269474672090012e-08
6,1,7.278500644730966e-08,-2.005827555293296e-08,1.6556212049479844e-08,1.0004259607202217e-08
6,2,3.391842508283899e-08,1.957753619263916e-08,2.550401675820692e-08,6.018586667801369e-08
6,3,1.3634595564873573e-08,3.033466551239266e-08,2.005677415828259e-08,3.208443914111993e-08
6,4,1.0871740085469619e-07,2.117203100998682e-08,1.0705258036361306e-08,3.4587006134924466e-08
6,5,2.7059823348743563e-08,3.720473570174933e-08,-3.515119991465723e-08,-3.8135842513420234e-08
6,6,-3.606276442395812e-08,1.330325764986972e-08,-4.520091876367335e-08,-6.2251838442279e-08
6,7,-7.527995445442595e-08,-7.0075794409423886e-09,-4.3207286116535914e-08,-7.473233833006807e-08
6,8,-1.8233572726900338e-09,5.453396892293889e-08,3.507044817754357e-08,5.861042791732415e-08
6,9,-1.2869661065903367e-08,9.31877294464667e-08,-9.955650397190823e-09,5.173067382473008e-09
6,10,-2.613568852356278e-08,-5.394933269531939e-09,1.5917173226051254e-08,5.545595172327898e-09
6,11,2.1491619407626935e-08,-1.1106902633951142e-08,7.239789123432887e-08,6.123085475299423e-08
6,12,,,,
6,13,,,,
7,0,5.71673617408278e-08,2.5844895391111303e-08,1.1210856111666775e-07,2.708507776278795e-09
7,1,3.3064833608495415e-08,4.670264758230259e-08,4.0826833252394214e-08,1.193810458156873e-08
