,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,86.0,0.37571067352870835,0.00012956794010302635,0.569417796848865,4.008658448081972,2.2826014618264265,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
1,Inhale,86.0,0.37571067352870835,0.5664663119148422,0.5097055907179909,-0.5754846767015267,-0.2933277570873037,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
5,control,86.0,0.37571067352870835,0.0077446389825864305,0.43476450128031674,2.727047278815809,1.1856233501422,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
84,noise,86.0,0.37571067352870835,3.406380497561401e-13,0.31782088369223566,8.587226796376715,2.7292000088900936,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
85,speech,86.0,0.37571067352870835,1.3919539900933796e-06,0.2852472824958553,5.188939513975859,1.4801308953969778,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
172,Exhale,86.0,0.30113403125642474,0.9367617613496514,0.5097816388711758,-0.079572975022442,-0.04056484161679561,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
173,Inhale,86.0,0.30113403125642474,0.08890323073275264,0.4563232003213708,1.7206900260426508,0.7851907794448453,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
177,control,86.0,0.30113403125642474,0.07751400531640554,0.3892308270170131,-1.7866739435161494,-0.6954285766445389,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
256,noise,86.0,0.30113403125642474,2.3878220527325693e-06,0.28453492646826506,5.05608025006511,1.4386314221699232,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
257,speech,86.0,0.30113403125642474,0.023602497484059282,0.2553728175673479,2.3045309155305294,0.5885145530700912,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
344,Exhale,86.0,1.2801393305768505,0.6245447562842665,0.8494114885858951,-0.49118787514442536,-0.41722062420176914,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
345,Inhale,86.0,1.2801393305768505,0.2885783798137221,0.7610006898589528,-1.067845955036761,-0.8126315084460672,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
