,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,87.0,1.0546961985722731,0.05269486194820194,0.3072327415403497,1.9642372166374091,0.6034779851030969,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
1,Hold,87.0,1.0546961985722731,0.5494506705459888,1.0960074265981181,-0.6009275659170505,-0.6586210750926176,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
2,Inhale,87.0,1.0546961985722731,0.619649361922362,0.33243432142981844,0.49812995010538486,0.16559549194715292,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
6,control,87.0,1.0546961985722731,0.49203825612646757,0.2689661250818725,-0.6899879595627872,-0.18558338783675063,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
85,noise,87.0,1.0546961985722731,0.4855099159560452,0.19137486358447958,0.7004587437361918,0.13405019652906963,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
86,speech,87.0,1.0546961985722731,0.844271880193501,0.19205805094646564,0.197019428404778,0.03783916741800839,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
174,Exhale,87.0,0.32711183507011743,0.002104477202653319,0.17110075841611755,3.170071502949055,0.5424016383879049,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
175,Hold,87.0,0.32711183507011743,0.36847512470419863,0.6103766837494005,-0.9040316477452569,-0.5517998391552561,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
176,Inhale,87.0,0.32711183507011743,0.44436851893154705,0.1851357515967066,0.7683354459267064,0.1422463602600315,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
180,control,87.0,0.32711183507011743,0.045525075197283174,0.14978972540173996,-2.028906126315209,-0.30390929152666313,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
259,noise,87.0,0.32711183507011743,0.5753675038113586,0.10657843346030581,-0.5622854113621716,-0.05992749830056388,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
260,speech,87.0,0.32711183507011743,0.6811789343768486,0.10695890682779281,-0.4122380927060286,-0.044092535748611134,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
348,Exhale,87.0,2.542074477125907,0.19937147269606065,0.47697755277299164,1.2931819368481534,0.6168187555280696,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
349,Hold,87.0,2.542074477125907,0.5427947816653504,1.7015469690463894,-0.6109967943605753,-1.039639743541297,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
350,Inhale,87.0,2.542074477125907,0.8593504372538382,0.516102900681633,0.1777271255481295,0.0917254850251984,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
354,control,87.0,2.542074477125907,0.3929448514092191,0.41756878995768476,-0.8585558981777616,-0.3585061475131211,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
433,noise,87.0,2.542074477125907,0.8858629572435948,0.29710867935864815,-0.14396259202597664,-0.04277253559388577,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
434,speech,87.0,2.542074477125907,0.825990896022327,0.29816932489522663,-0.22050966158951266,-0.06574921692901987,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
522,Exhale,87.0,0.6024569108526833,0.1510710884085403,0.2322024518451452,1.448502807407878,0.33634590338468545,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
523,Hold,87.0,0.6024569108526833,0.20175196758075312,0.8283479502237475,-1.2862972168144668,-1.065501662926775,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
524,Inhale,87.0,0.6024569108526833,0.14859459863307256,0.2512494733681993,1.457442061745101,0.36618155047811923,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
528,control,87.0,0.6024569108526833,0.13318563761683389,0.20328104808808758,-1.5158370876368898,-0.30814095190562124,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
607,noise,87.0,0.6024569108526833,0.8258401869080315,0.14463859653451105,-0.2207038100097182,-0.031922289329625014,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
608,speech,87.0,0.6024569108526833,0.7199059372479952,0.1451549405274313,0.3597499366198006,0.052219480654794335,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
696,Exhale,87.0,1.151526576063304,0.030989920183963834,0.24570350917063624,2.192805571140692,0.5387800237581892,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
697,Hold,87.0,1.151526576063304,0.169698696312777,0.8722425426814916,-1.3846557437503284,-1.2077556466673183,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
698,Inhale,87.0,1.151526576063304,0.2896501637259762,0.26575997106009625,1.0653836840853421,0.28313633705041924,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
702,control,87.0,1.151526576063304,0.5903836320440324,0.213920807936279,-0.5402810857028141,-0.11557736636623599,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
781,noise,87.0,1.151526576063304,0.3332301321546661,0.15223904203012253,0.9730419428978454,0.14813497324189717,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
782,speech,87.0,1.151526576063304,0.7461607272433747,0.15279727574530516,0.3247356195394895,0.049618718003097875,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
870,Exhale,87.0,1.0059058435398824,0.06438919921309122,0.229642910223958,1.873267496245347,0.4301825994657288,4,3,hbo,False,S4_D3 hbo,NDARVX753BR6
871,Hold,87.0,1.0059058435398824,0.4041459898450389,0.8152277376853223,-0.8383242283040777,-0.683425164087127,4,3,hbo,False,S4_D3 hbo,NDARVX753BR6
872,Inhale,87.0,1.0059058435398824,0.16630551479195899,0.24838836604849343,1.3958707382462643,0.3467180518878939,4,3,hbo,False,S4_D3 hbo,NDARVX753BR6
876,control,87.0,1.0059058435398824,0.6708731855830978,0.19993770971268815,-0.426395069822583,-0.085252453693109,4,3,hbo,False,S4_D3 hbo,NDARVX753BR6
