,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,89.0,1.2785530803514232e-15,0.0014849073527613043,2.359988015738192e-08,3.2795495737491525,0.07739697691067295,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
1,Hold,89.0,1.2785530803514232e-15,1.9829887930857276e-32,3.2944373674644177e-08,-18.608482387302786,-0.6130447972853378,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
2,Inhale,89.0,1.2785530803514232e-15,0.02262951002722882,2.5018927084348775e-08,2.319984325292501,0.05804351867132517,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
6,control,89.0,1.2785530803514232e-15,7.01843675110168e-12,1.6624798794572332e-08,7.898363264170943,0.1313087000732835,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
85,ild_0__itd_50,89.0,1.2785530803514232e-15,8.55568405163081e-20,1.665968978529876e-08,11.749088687663187,0.19573617279643157,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
86,ild_0__itd_500,89.0,1.2785530803514232e-15,3.374022755679205e-15,1.6776670026057985e-08,9.505418441886183,0.15946926865913072,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
87,ild_10__itd_0,89.0,1.2785530803514232e-15,4.838727830159876e-10,1.6823661621352004e-08,6.9905353537873145,0.11760640134421599,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
88,ild_70n__itd_0,89.0,1.2785530803514232e-15,2.4517995833296465e-26,1.6650071976093812e-08,15.130498544244404,0.25192388979585195,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
178,Exhale,89.0,1.1534565511776205e-15,0.05760358192790412,2.241563447764995e-08,-1.9235803421658,-0.043118273838381384,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
179,Hold,89.0,1.1534565511776205e-15,2.031953634742549e-40,3.129121984778165e-08,-23.84355431231941,-0.7460938999393089,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
180,Inhale,89.0,1.1534565511776205e-15,0.1184043258710495,2.3763473407737564e-08,1.5767359952677658,0.03746872389456817,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
