,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,89.0,3.318345637533425e-15,0.001484907352761417,3.8019922400960966e-08,3.2795495737491285,1.246882203040465e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
1,Hold,89.0,3.318345637533425e-15,1.9829887930838903e-32,5.307410555923709e-08,-18.60848238730303,-9.876285585209252e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
2,Inhale,89.0,3.318345637533425e-15,0.022629510027227996,4.030603799505758e-08,2.319984325292516,9.350937636317817e-08,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
6,control,89.0,3.318345637533425e-15,7.0184367511034e-12,2.6782913976091534e-08,7.898363264170891,2.115411838562105e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
85,ild_0__itd_50,89.0,3.318345637533425e-15,8.555684051626277e-20,2.683912412423911e-08,11.749088687663301,3.153352496348889e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
86,ild_0__itd_500,89.0,3.318345637533425e-15,3.3740227556784664e-15,2.702758184717887e-08,9.50541844188623,2.569084749297635e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
87,ild_10__itd_0,89.0,3.318345637533425e-15,4.838727830159211e-10,2.710328633358564e-08,6.990535353787344,1.8946648131875177e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
88,ild_70n__itd_0,89.0,3.318345637533425e-15,2.4517995833278623e-26,2.6823629623538225e-08,15.130498544244574,4.0585488897030075e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
178,Exhale,89.0,3.766149021116326e-15,0.05760358192790545,4.0504116764422645e-08,-1.9235803421657895,-7.79129227848312e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
179,Hold,89.0,3.766149021116326e-15,2.0319536347421435e-40,5.654192941446659e-08,-23.84355431231947,-1.3481605649171679e-06,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
180,Inhale,89.0,3.766149021116326e-15,0.11840432587105332,4.2939605505922975e-08,1.5767359952677495,6.770442162378599e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
184,control,89.0,3.766149021116326e-15,0.27340378304134344,2.8532890297316323e-08,1.102067298047195,3.144516531544043e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
263,ild_0__itd_50,89.0,3.766149021116326e-15,1.0565288745331822e-09,2.8592773176084568e-08,6.820217700423038,1.9500893771971302e-07,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
264,ild_0__itd_500,89.0,3.766149021116326e-15,3.0128169762853044e-06,2.8793544590991937e-08,4.986626612996723,1.4358265573994822e-07,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
265,ild_10__itd_0,89.0,3.766149021116326e-15,5.914660077577984e-08,2.887419555404948e-08,5.920284147354802,1.7094344220626164e-07,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
266,ild_70n__itd_0,89.0,3.766149021116326e-15,1.4391159219227295e-09,2.8576266275860618e-08,6.752498495954859,1.9296119504775436e-07,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
356,Exhale,89.0,1.69860638291146e-15,1.061740565469566e-12,2.720174668802103e-08,8.29767712834101,2.257113113441179e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
357,Hold,89.0,1.69860638291146e-15,8.005126535223918e-16,3.7972417720641266e-08,-9.80739110953868,-3.7241035196110614e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
358,Inhale,89.0,1.69860638291146e-15,1.7409929285842428e-06,2.8837371733078433e-08,-5.121449134554501,-1.4768913250520097e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
362,control,89.0,1.69860638291146e-15,0.09459861055202165,1.916211279606099e-08,1.6896321394861518,3.2376921640683496e-08,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
441,ild_0__itd_50,89.0,1.69860638291146e-15,2.6992141941615784e-09,1.9202328927884758e-08,6.61407644008864,1.2700567135675513e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
442,ild_0__itd_500,89.0,1.69860638291146e-15,2.545323540124906e-16,1.933716295481268e-08,10.048280517702063,1.9430523778647428e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
443,ild_10__itd_0,89.0,1.69860638291146e-15,0.0001042177614554954,1.9391326512556596e-08,4.062851379318311,7.87840776683523e-08,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
444,ild_70n__itd_0,89.0,1.69860638291146e-15,1.5989527451249928e-25,1.9191243227112467e-08,14.692491547203662,2.8196717889467946e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
534,Exhale,89.0,1.3395045485311981e-15,0.01725225922664973,2.882459547553922e-08,2.42671434118753,6.994905921942021e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
535,Hold,89.0,1.3395045485311981e-15,7.094871138848652e-31,4.1069167829534615e-08,-17.684698406120603,-7.262958468556704e-07,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
536,Inhale,89.0,1.3395045485311981e-15,0.004629829355187364,3.413082201016463e-08,2.905174037052512,9.915597796719071e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
540,control,89.0,1.3395045485311981e-15,0.0009074157321457641,2.0880637161764486e-08,3.433173186995113,7.168684363114358e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
619,ild_0__itd_50,89.0,1.3395045485311981e-15,1.0850706757966881e-07,2.0898208055022396e-08,5.780473564219804,1.2080153920162232e-07,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
620,ild_0__itd_500,89.0,1.3395045485311981e-15,1.1322978368450678e-09,2.0960658570478356e-08,6.805057233703679,1.4263848122822676e-07,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
621,ild_10__itd_0,89.0,1.3395045485311981e-15,9.010912445294568e-06,2.0955208872375963e-08,4.711635769081674,9.873331167166423e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
622,ild_70n__itd_0,89.0,1.3395045485311981e-15,2.7502930201975248e-12,2.090495775342443e-08,8.096742983880459,1.6926207001835667e-07,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
712,Exhale,89.0,2.147296059802636e-15,0.0003582525750806177,3.058414751562259e-08,3.7117072570536624,1.1351940228453612e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
713,Hold,89.0,2.147296059802636e-15,6.109956431276032e-30,4.269409749353946e-08,-17.14152653875915,-7.318420052338772e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
714,Inhale,89.0,2.147296059802636e-15,0.4917115812427336,3.242315433500129e-08,0.6904442149012859,2.238637933945319e-08,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
718,control,89.0,2.147296059802636e-15,1.5518976195880982e-13,2.1544825455043793e-08,8.702270723461462,1.8748890379951486e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
797,ild_0__itd_50,89.0,2.147296059802636e-15,5.471990730551087e-21,2.1590042261240562e-08,12.345571445370389,2.6654140924471145e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
798,ild_0__itd_500,89.0,2.147296059802636e-15,1.1636802020351486e-20,2.1741642223440967e-08,12.181132756040887,2.648378302580784e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
799,ild_10__itd_0,89.0,2.147296059802636e-15,1.2942604703094425e-15,2.1802540748047124e-08,9.706496281123073,2.1162628068995368e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
800,ild_70n__itd_0,89.0,2.147296059802636e-15,2.676594261266974e-25,2.1577578109154215e-08,14.57311845619889,3.1445260178258843e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
890,Exhale,89.0,3.0678794195456944e-15,9.299322411479954e-11,3.655691670081496e-08,7.346936042131769,2.685813288984262e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
891,Hold,89.0,3.0678794195456944e-15,4.454794517965286e-23,5.103181525300143e-08,-13.409178424806589,-6.842947160692626e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
892,Inhale,89.0,3.0678794195456944e-15,2.296302121575273e-05,3.875506262179958e-08,4.469973922656398,1.732341192903598e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
896,control,89.0,3.0678794195456944e-15,2.6426397048509904e-17,2.5752308090042918e-08,10.525971440049394,2.710680594711447e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
975,ild_0__itd_50,89.0,3.0678794195456944e-15,1.0828276960169079e-30,2.5806355273040836e-08,17.577299529220497,4.536060363917175e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
976,ild_0__itd_500,89.0,3.0678794195456944e-15,2.7293787430185168e-21,2.5987561147331627e-08,12.497695480922895,3.2478462551121384e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
977,ild_10__itd_0,89.0,3.0678794195456944e-15,2.9883543249623674e-17,2.606035252692109e-08,10.499980478268222,2.7363319278945936e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
978,ild_70n__itd_0,89.0,3.0678794195456944e-15,4.915637677235692e-35,2.57914570003545e-08,20.222042173943734,5.215559311886251e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
1068,Exhale,89.0,6.36742501920831e-14,0.00033039291858058274,1.98734398438454e-07,-3.735343569761126,-7.423412572974247e-07,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1069,Hold,89.0,6.36742501920831e-14,6.049336206144497e-25,2.831559724713807e-07,-14.385017065545567,-4.073203496211963e-06,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1070,Inhale,89.0,6.36742501920831e-14,4.1683959326858316e-10,2.3531877094879247e-07,7.022935075422143,1.652628450401504e-06,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1074,control,89.0,6.36742501920831e-14,0.06353059009300316,1.439638890639892e-07,-1.8789042238003486,-2.7049435923705415e-07,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1153,ild_0__itd_50,89.0,6.36742501920831e-14,0.48751153978754413,1.440850335534097e-07,-0.6971732340943575,-1.0045222882702464e-07,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1154,ild_0__itd_500,89.0,6.36742501920831e-14,0.18988988145026245,1.445156056192638e-07,-1.3209936588281024,-1.9090419862475036e-07,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1155,ild_10__itd_0,89.0,6.36742501920831e-14,0.006166763938710102,1.444780320659777e-07,2.8056605301688644,4.053563120439852e-07,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1156,ild_70n__itd_0,89.0,6.36742501920831e-14,0.3107283948023996,1.4413157010420735e-07,1.019501314607169,1.469423251976347e-07,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1246,Exhale,89.0,8.014914579601937e-15,0.252838014582409,7.050835360321348e-08,-1.1509441858213465,-8.115117963145414e-08,5,5,hbo,False,S5_D5 hbo,NDARVX753BR6
