,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,90.0,6.117544523530494e-12,0.06550130345545677,1.6324500151665064e-06,1.8645674697821661,3.043813194324872e-06,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
1,Hold,90.0,6.117544523530494e-12,9.066999632327686e-25,2.278826558449858e-06,-14.235051304009886,-3.243921297247401e-05,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
2,Inhale,90.0,6.117544523530494e-12,0.08435623209006332,1.7306054713822622e-06,1.7452397748136694,3.0203215031664834e-06,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
6,control,90.0,6.117544523530494e-12,1.7395929291379762e-07,1.1498799005682159e-06,5.6654759063231,6.514616871834429e-06,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
85,ild_0__itd_50,90.0,6.117544523530494e-12,7.304090462555262e-14,1.6250996901997328e-06,8.842991246455808,1.4370742335054285e-05,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
86,ild_0__itd_500,90.0,6.117544523530494e-12,1.2357690125309263e-06,1.6215571988753228e-06,5.200662099634544,8.433171066580445e-06,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
87,ild_10__itd_0,90.0,6.117544523530494e-12,2.1749880978960808e-08,1.6363837730118701e-06,6.141471525348793,1.0049804346495223e-05,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
88,ild_70n__itd_0,90.0,6.117544523530494e-12,3.2999325787513696e-15,1.6322495355790919e-06,9.489076532577997,1.5488540763374897e-05,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
180,Exhale,90.0,4.894160152361977e-12,0.02735635930732255,1.4601262583311653e-06,-2.2429328855569546,-3.2749652018762e-06,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
181,Hold,90.0,4.894160152361977e-12,7.987219747402541e-34,2.038270369850003e-06,-19.347967625033817,-3.943638912692357e-05,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
182,Inhale,90.0,4.894160152361977e-12,0.19103703318760493,1.5479202842967823e-06,1.3174347101937844,2.0392839111456116e-06,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
186,control,90.0,4.894160152361977e-12,0.24270187571682747,1.0284969347595186e-06,1.17598586785221,1.2094978604065103e-06,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
265,ild_0__itd_50,90.0,4.894160152361977e-12,0.00010234059563052251,1.4535518441735845e-06,4.065767265753735,5.909803507116934e-06,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
266,ild_0__itd_500,90.0,4.894160152361977e-12,0.03750554983047413,1.450383303296605e-06,2.111449773568748,3.0624114973335093e-06,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
267,ild_10__itd_0,90.0,4.894160152361977e-12,1.2660763932479181e-06,1.463644763075916e-06,5.194800731908619,7.6033428864809864e-06,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
268,ild_70n__itd_0,90.0,4.894160152361977e-12,2.6839874382457734e-09,1.4599469416555405e-06,6.607262123545079,9.64625212998613e-06,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
360,Exhale,90.0,2.1260957162285436e-11,1.840633018449599e-08,2.5023240836394357e-06,6.179065778432375,1.546202511176359e-05,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
361,Hold,90.0,2.1260957162285436e-11,0.00024033059781106427,3.418006474987194e-06,-3.82559795002968,-1.3075918563899182e-05,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
362,Inhale,90.0,2.1260957162285436e-11,6.306591993493378e-08,2.4954457877824073e-06,-5.899640571866573,-1.4722233214494632e-05,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
366,control,90.0,2.1260957162285436e-11,0.1847119349766812,1.7094086648384118e-06,1.3366321483621697,2.284850576111874e-06,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
445,ild_0__itd_50,90.0,2.1260957162285436e-11,5.700078431632432e-06,2.4141524472001036e-06,4.824160913354925,1.164625987466288e-05,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
446,ild_0__itd_500,90.0,2.1260957162285436e-11,2.8130608943793095e-09,2.4066200759684408e-06,6.596925087734562,1.5876292355801865e-05,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
447,ild_10__itd_0,90.0,2.1260957162285436e-11,0.06817369192814655,2.4399280930596395e-06,1.8460400106499182,4.504204882896852e-06,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
448,ild_70n__itd_0,90.0,2.1260957162285436e-11,2.3748413494305233e-14,2.4282213508050375e-06,9.077446709663107,2.2042049911198892e-05,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
540,Exhale,90.0,6.666547421936032e-12,0.13914411880694436,1.7041264185461258e-06,1.4921990793993183,2.542895872934586e-06,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
541,Hold,90.0,6.666547421936032e-12,5.473560613666545e-23,2.3788835832396685e-06,-13.314425202825525,-3.1673467535274133e-05,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
542,Inhale,90.0,6.666547421936032e-12,0.00020790847236801837,1.8065916116654724e-06,-3.867003589211122,-6.9860962465490875e-06,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
546,control,90.0,6.666547421936032e-12,0.0006730989852450353,1.2003679736029282e-06,3.522797023968422,4.2286527250754005e-06,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
625,ild_0__itd_50,90.0,6.666547421936032e-12,1.254458200503245e-05,1.6964533609673912e-06,4.6239207455467,7.844265889629544e-06,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
626,ild_0__itd_500,90.0,6.666547421936032e-12,0.0017518204077323618,1.692755328563758e-06,3.2258157804525287,5.460516851326075e-06,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
627,ild_10__itd_0,90.0,6.666547421936032e-12,0.0001179216442723594,1.708232896910649e-06,4.026502148670185,6.878203429839823e-06,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
628,ild_70n__itd_0,90.0,6.666547421936032e-12,4.4024478841263453e-11,1.7039171364498173e-06,7.4959506381925936,1.2772478746398303e-05,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
720,Exhale,90.0,8.784862745897814e-12,0.018892799510726522,1.956225037514694e-06,2.390845423832128,4.67703167892784e-06,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
721,Hold,90.0,8.784862745897814e-12,7.13614267435495e-22,2.730801879614279e-06,-12.748771181608669,-3.481436830550931e-05,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
722,Inhale,90.0,8.784862745897814e-12,0.6999111271332463,2.073848339443699e-06,0.38667287254572097,8.019008946368684e-07,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
726,control,90.0,8.784862745897814e-12,4.95267483986269e-09,1.3779434780408968e-06,6.4720353157071635,8.918098852929042e-06,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
805,ild_0__itd_50,90.0,8.784862745897814e-12,9.727138569244998e-12,1.9474168721189497e-06,7.816429908241219,1.5221847483044125e-05,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
806,ild_0__itd_500,90.0,8.784862745897814e-12,1.7650317807482632e-09,1.9431717741621325e-06,6.6992896091819985,1.3017870475500123e-05,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
807,ild_10__itd_0,90.0,8.784862745897814e-12,1.4967976524061596e-07,1.960939004568586e-06,5.70041585525087,1.1178167792822624e-05,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
808,ild_70n__itd_0,90.0,8.784862745897814e-12,1.0875342743330262e-15,1.955984795433915e-06,9.72069786753481,1.9013537229904967e-05,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
900,Exhale,90.0,9.313408741108248e-12,1.5168607125426533e-05,2.0142142054858135e-06,4.575011199763077,9.215052548819485e-06,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
901,Hold,90.0,9.313408741108248e-12,5.227522963191169e-14,2.8117521413970376e-06,-8.91281783455648,-2.5060634632195886e-05,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
902,Inhale,90.0,9.313408741108248e-12,0.0049444420063836725,2.135324262405719e-06,2.881737344422114,6.153443669425167e-06,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
