,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,89.0,0.375187707225376,0.00012541110343317245,0.569021370886184,4.011403604330104,2.2825743781136953,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
1,Inhale,89.0,0.375187707225376,0.5672544408194109,0.50935087092321,-0.5742392685255541,-0.292489271541798,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
5,control,89.0,0.375187707225376,0.00783625957187879,0.43455957515749166,2.7206262732734747,1.1822741974760311,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
84,ild_0__itd_50,89.0,0.375187707225376,8.418699828072033e-09,0.6579991946112648,6.361442942449779,4.185824332697469,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
85,ild_0__itd_500,89.0,0.375187707225376,0.1952866398426031,0.5694801274746891,1.3049122423779516,0.7431215901326783,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
86,ild_10__itd_0,89.0,0.375187707225376,8.968363761217567e-07,0.5774554610907113,5.2822818374198555,3.050282494038372,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
87,ild_70n__itd_0,89.0,0.375187707225376,9.712938227678386e-06,0.8081004401505852,4.692502661737963,3.792013466358241,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
178,Exhale,89.0,0.3008282536093707,0.9364176210256061,0.5095227602344533,-0.07999905257088626,-0.040761338082059104,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
179,Inhale,89.0,0.3008282536093707,0.08831091931538855,0.4560915898052047,1.7232778473306563,0.7859725330651298,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
183,control,89.0,0.3008282536093707,0.06662323585935416,0.3891207001166301,-1.8569694929635008,-0.722585269197181,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
262,ild_0__itd_50,89.0,0.3008282536093707,0.312780186860758,0.589196791235173,1.0151625438065361,0.5981305133929468,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
263,ild_0__itd_500,89.0,0.3008282536093707,0.5271499482189282,0.5099335478343757,0.6348577075665541,0.32373524318941155,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
264,ild_10__itd_0,89.0,0.3008282536093707,6.740829547414087e-06,0.5170749562343759,4.785278991873514,2.474347925292276,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
265,ild_70n__itd_0,89.0,0.3008282536093707,0.00012510604106397066,0.7236029925747033,4.0120830273902435,2.9031552850777556,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
356,Exhale,89.0,1.2804100157560492,0.6245057272261294,0.8495013146443139,-0.49118351477493466,-0.41726104153292176,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
357,Inhale,89.0,1.2804100157560492,0.28885149235378743,0.761081514748771,-1.0670137361963266,-0.8120844306020457,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
361,control,89.0,1.2804100157560492,0.42928486143378997,0.642609224502983,0.7940389473885899,0.5102567522065466,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
440,ild_0__itd_50,89.0,1.2804100157560492,0.01115310331828215,0.9689859249535558,2.591970975291101,2.511583392945218,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
441,ild_0__itd_500,89.0,1.2804100157560492,0.009706135145426216,0.838387746978297,2.643127972371167,2.215966105731577,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
442,ild_10__itd_0,89.0,1.2804100157560492,0.007148808227246602,0.8566584998832545,2.753422793099018,2.3587430394805655,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
443,ild_70n__itd_0,89.0,1.2804100157560492,0.007652815436054915,1.191081879520643,2.7291130508394037,3.250597102018113,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
534,Exhale,89.0,0.4059146404023431,0.24708199497452502,0.5918636050829084,-1.165124310901969,-0.6895946750201787,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
