,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,90.0,1.2739081792707458e-15,0.001370173912966998,2.355695701294431e-08,3.303758605256553,7.782649944517347e-08,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
1,Hold,90.0,1.2739081792707458e-15,1.2514196026945842e-32,3.2884453483738565e-08,-18.62453525325119,-6.124576631917878e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
2,Inhale,90.0,1.2739081792707458e-15,0.021105420332468452,2.4973464575877736e-08,2.3472551069076832,5.861909226290714e-08,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
6,control,90.0,1.2739081792707458e-15,5.915486550396351e-12,1.6595258653598247e-08,7.921505918666071,1.3145943964627284e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
85,ild_0__itd_50,90.0,1.2739081792707458e-15,1.3978600177176618e-05,2.338646352462257e-08,4.596083767870159,1.0748614539340532e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
86,ild_0__itd_500,90.0,1.2739081792707458e-15,1.8354327417446353e-08,2.3602602824782303e-08,6.179702307970117,1.458570591504092e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
87,ild_10__itd_0,90.0,1.2739081792707458e-15,0.1469400698411349,2.34657141593583e-08,1.4630400450907795,3.433127950179491e-08,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
88,ild_70n__itd_0,90.0,1.2739081792707458e-15,4.587185697821338e-13,2.3363695070992877e-08,8.45884996332447,1.976299911943922e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
180,Exhale,90.0,1.1512818557082341e-15,0.057747237522465134,2.2394478655569758e-08,-1.922173066636124,-4.304606371309375e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
181,Hold,90.0,1.1512818557082341e-15,1.073012085599314e-40,3.126168593154875e-08,-23.864461975810432,-7.460433152131731e-07,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
182,Inhale,90.0,1.1512818557082341e-15,0.11435055026216548,2.3741085026084202e-08,1.5944083467888943,3.785298412741349e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
186,control,90.0,1.1512818557082341e-15,0.2757659188897055,1.5776323126006963e-08,1.0965446383069273,1.7299442536020518e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
