,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,90.0,3.3062903013297807e-15,0.0013701739129668969,3.795077227774677e-08,3.3037586052565766,1.2538019048873862e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
1,Hold,90.0,3.3062903013297807e-15,1.2514196026942276e-32,5.297757282291429e-08,-18.624535253251267,-9.866826726720534e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
2,Inhale,90.0,3.3062903013297807e-15,0.021105420332468733,4.023279690092086e-08,2.347255106907678,9.443663799086589e-08,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
6,control,90.0,3.3062903013297807e-15,5.915486550396948e-12,2.6735324163767975e-08,7.92150591866605,2.1178402860074346e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
85,ild_0__itd_50,90.0,3.3062903013297807e-15,1.3978600177175418e-05,3.767610354415008e-08,4.596083767870181,1.7316252793586437e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
86,ild_0__itd_500,90.0,3.3062903013297807e-15,1.8354327417449175e-08,3.802430867761135e-08,6.179702307970082,2.349789080940017e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
87,ild_10__itd_0,90.0,3.3062903013297807e-15,0.14694006984113178,3.78037780476978e-08,1.4630400450907906,5.530844113950603e-08,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
88,ild_70n__itd_0,90.0,3.3062903013297807e-15,4.587185697821735e-13,3.7639423068045204e-08,8.458849963324452,3.183862324386877e-07,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
180,Exhale,90.0,3.759048426642357e-15,0.05774723752246569,4.046588907612598e-08,-1.9221730666361196,-7.778244209961414e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
181,Hold,90.0,3.759048426642357e-15,1.073012085599589e-40,5.648856285940429e-08,-23.86446197581035,-1.3480691604264265e-06,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
182,Inhale,90.0,3.759048426642357e-15,0.11435055026216571,4.28991506338756e-08,1.594408346788893,6.839876384080529e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
186,control,90.0,3.759048426642357e-15,0.27576591888971136,2.8507158012689032e-08,1.0965446383069137,3.125937127218214e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
265,ild_0__itd_50,90.0,3.759048426642357e-15,1.2577388850117763e-05,4.017301718342616e-08,4.6232501068246945,1.857299059847453e-07,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
266,ild_0__itd_500,90.0,3.759048426642357e-15,2.7196234505827522e-05,4.054429896402496e-08,4.422831825602235,1.793206158048213e-07,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
267,ild_10__itd_0,90.0,3.759048426642357e-15,0.08790472808031036,4.030915307706754e-08,1.7253050726747792,6.95455862790888e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
268,ild_70n__itd_0,90.0,3.759048426642357e-15,0.24407226017859984,4.013390577703747e-08,1.1725458227931487,4.7058843571239103e-08,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
360,Exhale,90.0,1.6986818517338706e-15,9.273653812908472e-13,2.720233281816338e-08,8.311319077953005,2.2608726771642845e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
361,Hold,90.0,1.6986818517338706e-15,7.655285009142232e-16,3.797323430681354e-08,-9.79400708520024,-3.719101258489006e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
362,Inhale,90.0,1.6986818517338706e-15,1.8681448978091347e-06,2.8838041120606156e-08,-5.100251137309886,-1.4708125202316083e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
366,control,90.0,1.6986818517338706e-15,0.09205067569991868,1.9163330342311587e-08,1.702833074065935,3.2631952716139446e-08,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
445,ild_0__itd_50,90.0,1.6986818517338706e-15,0.07168013372328184,2.70054559206036e-08,1.822629709691512,4.922094628465666e-08,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
446,ild_0__itd_500,90.0,1.6986818517338706e-15,4.635713194040162e-05,2.7255042196742713e-08,4.2812170223191925,1.1668475059672277e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
447,ild_10__itd_0,90.0,1.6986818517338706e-15,0.024292758651570878,2.709697037813508e-08,2.291093345494466,6.208168851640595e-08,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
448,ild_70n__itd_0,90.0,1.6986818517338706e-15,6.250633107412768e-11,2.6979164109948704e-08,7.421179044405873,2.0021720732833835e-07,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
540,Exhale,90.0,1.3386722778844822e-15,0.01700452076968153,2.8815634835553656e-08,2.431797878993148,7.007379967494045e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
541,Hold,90.0,1.3386722778844822e-15,4.866955240972056e-31,4.1056400998047774e-08,-17.68720160399367,-7.26172841586878e-07,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
542,Inhale,90.0,1.3386722778844822e-15,0.004481541346342999,3.412022616944931e-08,2.915485971401902,9.947704073808951e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
546,control,90.0,1.3386722778844822e-15,0.0009213595404463601,2.087430686593494e-08,3.4271669104667963,7.153973376986209e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
625,ild_0__itd_50,90.0,1.3386722778844822e-15,0.0034512745685674126,2.9489188317983286e-08,3.0039258535084956,8.858333518737069e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
626,ild_0__itd_500,90.0,1.3386722778844822e-15,7.048368098097842e-08,2.959218886967154e-08,5.874161754432412,1.7382930408816504e-07,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
627,ild_10__itd_0,90.0,1.3386722778844822e-15,0.03572202930433905,2.953016770657566e-08,2.132105366955318,6.296142905428057e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
628,ild_70n__itd_0,90.0,1.3386722778844822e-15,0.0011436034484196545,2.9480223092792686e-08,3.360334037827868,9.906339710147041e-08,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
720,Exhale,90.0,2.145178631474737e-15,0.0003443001385520882,3.056904403318209e-08,3.7216626880320165,1.1376767058710152e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
721,Hold,90.0,2.145178631474737e-15,4.2937254804981314e-30,4.2673011883460136e-08,-17.142627551950735,-7.315275492381249e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
722,Inhale,90.0,2.145178631474737e-15,0.4820198387048522,3.240719664520467e-08,0.7059868436219444,2.287905447018371e-08,3,3,hbo,False,S3_D3 hbo,NDARVX753BR6
726,control,90.0,2.145178631474737e-15,1.5071875155332564e-13,2.153509013261492e-08,8.691678937415842,1.8717608932100083e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
805,ild_0__itd_50,90.0,2.145178631474737e-15,8.860215391258904e-10,3.0347800561497086e-08,6.849812901621749,2.078767558219865e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
806,ild_0__itd_500,90.0,2.145178631474737e-15,3.19044761735975e-12,3.062827701608557e-08,8.051661918746241,2.46608531687227e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
807,ild_10__itd_0,90.0,2.145178631474737e-15,3.8655481839667184e-08,3.045064135462512e-08,6.011291514420876,1.8304768198373138e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
808,ild_70n__itd_0,90.0,2.145178631474737e-15,9.698252174545596e-11,3.031825473088785e-08,7.327254932406572,2.221495815188569e-07,3,3,hbo,True,S3_D3 hbo,NDARVX753BR6
900,Exhale,90.0,3.0639084970427648e-15,7.938322440216104e-11,3.653322586853095e-08,7.370103176299238,2.6925364401411743e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
901,Hold,90.0,3.0639084970427648e-15,3.73900053123321e-23,5.0998741731560525e-08,-13.399059225097918,-6.833351608666523e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
902,Inhale,90.0,3.0639084970427648e-15,2.099837665823508e-05,3.87300117569924e-08,4.490596156667299,1.7392084194362937e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
906,control,90.0,3.0639084970427648e-15,2.2700319748388823e-17,2.5736699880440996e-08,10.530746530603707,2.7102666297514284e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
985,ild_0__itd_50,90.0,3.0639084970427648e-15,1.4566061463422767e-13,3.6268816627789487e-08,8.698812687095353,3.1549564222775007e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
986,ild_0__itd_500,90.0,3.0639084970427648e-15,2.1233499461554764e-09,3.660401551903265e-08,6.658755259558257,2.437371808583107e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
987,ild_10__itd_0,90.0,3.0639084970427648e-15,8.960210988771048e-08,3.639172220245407e-08,5.819022214571187,2.1176423992258374e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
988,ild_70n__itd_0,90.0,3.0639084970427648e-15,1.6885711010567441e-19,3.623350624968447e-08,11.568120771281304,4.1915357626332586e-07,4,3,hbo,True,S4_D3 hbo,NDARVX753BR6
1080,Exhale,90.0,6.36071768431831e-14,0.0003233354641794961,1.9862966818903985e-07,-3.7399549604262394,-7.428660128314175e-07,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1081,Hold,90.0,6.36071768431831e-14,4.496699446254239e-25,2.830067549723551e-07,-14.394831104842817,-4.073834439356686e-06,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1082,Inhale,90.0,6.36071768431831e-14,3.9923058980384566e-10,2.351948600559955e-07,7.022799237064172,1.65172628376266e-06,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1086,control,90.0,6.36071768431831e-14,0.06765216250613428,1.4388913067919188e-07,-1.8496074014099726,-2.6613840108668005e-07,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1165,ild_0__itd_50,90.0,6.36071768431831e-14,0.919117144938345,2.032725540906025e-07,-0.10183126070412458,-2.0699500449593408e-08,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1166,ild_0__itd_500,90.0,6.36071768431831e-14,0.00011883090495008356,2.0398254939425907e-07,-4.02436737118679,-8.20900716073754e-07,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1167,ild_10__itd_0,90.0,6.36071768431831e-14,0.4068560337915792,2.035550299897158e-07,0.8333455735087849,1.6963168320737763e-07,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
