,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,89.0,1.054332300071612,0.5579761065124103,1.548656864341774,0.5880677656875312,0.9107151820301251,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
1,Hold,89.0,1.054332300071612,0.7663950920146135,5.7251098344668385,0.29800346189641413,1.7061025504083245,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
2,Inhale,89.0,1.054332300071612,0.0014115497915455032,1.6177418953330247,3.2955667278746703,5.331376364548424,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
6,control,89.0,1.054332300071612,0.22859218850865815,1.4148234281923537,1.2123361726847113,1.7152416199593805,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
85,ild_0__itd_50,89.0,1.054332300071612,0.1381100771749493,1.416601173586961,1.4963126879173636,2.1196783097567975,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
86,ild_0__itd_500,89.0,1.054332300071612,0.0876010047249278,1.4230744689900263,1.7271987263509052,2.4579324103420643,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
87,ild_10__itd_0,89.0,1.054332300071612,0.47380344988147316,1.426325693961013,0.719360611257695,1.0260425230603503,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
88,ild_70n__itd_0,89.0,1.054332300071612,0.07049577351772318,1.4157505604920078,1.8306748549956522,2.5917789520387196,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
178,Exhale,89.0,0.32666892091018346,0.7075401676734197,0.8620259802102652,0.37636653027791744,0.32443772718115826,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
179,Hold,89.0,0.32666892091018346,0.8960933461736635,3.1867572026456052,0.1309716335466107,0.4173747965469224,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
180,Inhale,89.0,0.32666892091018346,5.7668771620831005e-09,0.900480652080655,6.445815589763925,5.804332225462271,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
184,control,89.0,0.32666892091018346,0.09524590917523827,0.7875305244137053,1.6862730432297548,1.3279914940394235,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
263,ild_0__itd_50,89.0,0.32666892091018346,0.015779183745295335,0.7885200675149796,2.4611347863530164,1.9406541678985454,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
264,ild_0__itd_500,89.0,0.32666892091018346,0.0032735698031500166,0.7921232858543693,3.0225420161923187,2.3942259134991497,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
265,ild_10__itd_0,89.0,0.32666892091018346,0.2089774348812406,0.7939330091423554,1.265549726242818,1.0047617023752444,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
266,ild_70n__itd_0,89.0,0.32666892091018346,0.009245251578618361,0.7880465923353965,2.6608795791339594,2.096897084951361,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
356,Exhale,89.0,2.54193474132004,0.8357451876906755,2.40463212298927,0.20794735846135923,0.5000368980469491,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
357,Hold,89.0,2.54193474132004,0.9533877028755299,8.88949859235089,0.05861810744488394,0.521085583617569,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
358,Inhale,89.0,2.54193474132004,0.03576432232789701,2.5119019053176355,2.1319703166511235,5.355300300476599,2,1,hbo,True,S2_D1 hbo,NDARVX753BR6
362,control,89.0,2.54193474132004,0.8810737727688291,2.1968261285789383,0.15003846331620901,0.32960841650488054,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
441,ild_0__itd_50,89.0,2.54193474132004,0.5446491636827471,2.1995864712867372,0.6081313695597962,1.3376375332488029,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
442,ild_0__itd_500,89.0,2.54193474132004,0.335246730455097,2.2096376933658295,0.9688477278669806,2.14080245862672,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
443,ild_10__itd_0,89.0,2.54193474132004,0.6472144014592872,2.214685938838607,0.4591940564926835,1.0169706201126072,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
444,ild_70n__itd_0,89.0,2.54193474132004,0.33704638630272477,2.198265706423031,0.965227404218719,2.121826301593731,2,1,hbo,False,S2_D1 hbo,NDARVX753BR6
534,Exhale,89.0,0.6022211535868581,0.6680641704403754,1.1704273167573889,0.4302357519127551,0.5035596766843435,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
535,Hold,89.0,0.6022211535868581,0.8709825384155891,4.326862261088684,0.1628795476811734,0.7047573679648641,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
536,Inhale,89.0,0.6022211535868581,6.770880359966326e-05,1.2226396623795794,4.181245446097738,5.112156520543092,2,2,hbo,True,S2_D2 hbo,NDARVX753BR6
540,control,89.0,0.6022211535868581,0.7395462214543557,1.069280114190108,0.3334934994853745,0.35659796721138,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
619,ild_0__itd_50,89.0,0.6022211535868581,0.372378783736271,1.0706236795853854,0.8965481036909223,0.9598656296988749,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
620,ild_0__itd_500,89.0,0.6022211535868581,0.08687188421597351,1.075515997531109,1.7312529086616275,1.8619901990378442,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
621,ild_10__itd_0,89.0,0.6022211535868581,0.5342642222166556,1.0779731735567253,0.6239381181498381,0.672588553324992,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
622,ild_70n__itd_0,89.0,0.6022211535868581,0.05853453228708433,1.0699808123206938,1.9163137404114403,2.05041893262674,2,2,hbo,False,S2_D2 hbo,NDARVX753BR6
