,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
0,Exhale,104.0,1.2189012848754755e-14,0.11091199917141016,4.1065681039857605e-08,-1.6077944161178992,-0.06602517266996175,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
1,Hold,104.0,1.2189012848754755e-14,1.3247826865808068e-05,6.102497816850588e-08,-4.574249050389366,-0.2791434484373198,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
2,Inhale,104.0,1.2189012848754755e-14,0.16406710513639167,3.5849313499361706e-08,1.4014153667049183,0.05023977882382756,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
84,m_noise__ild_0__itd_500__targ_l__control_0,104.0,1.2189012848754755e-14,0.5198755429135014,6.412778783957117e-08,0.6457313800581392,0.04140932494172185,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
85,m_noise__ild_0__itd_500__targ_l__control_1,104.0,1.2189012848754755e-14,0.9047092491713684,6.468210174338356e-08,0.12000684942301874,0.007762295244282608,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
86,m_noise__ild_0__itd_500__targ_r__control_0,104.0,1.2189012848754755e-14,0.7495637073143533,6.423395404180201e-08,-0.32006166795136404,-0.020558826469730413,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
87,m_noise__ild_0__itd_500__targ_r__control_1,104.0,1.2189012848754755e-14,0.6755913060747811,6.42936298367853e-08,-0.4196712483514731,-0.02698218789465121,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
88,m_noise__ild_0__itd_50__targ_l__control_0,104.0,1.2189012848754755e-14,0.37401399072523245,6.427947892926301e-08,0.8928215760907752,0.05739010568791838,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
89,m_noise__ild_0__itd_50__targ_r__control_0,104.0,1.2189012848754755e-14,0.7515365838508146,6.427631015505687e-08,-0.31745270034593714,-0.020404688226995787,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
90,m_noise__ild_10__itd_0__targ_l__control_0,104.0,1.2189012848754755e-14,0.935886161929812,6.460780715340933e-08,0.08063630708785495,0.005209734977895226,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
91,m_noise__ild_10__itd_0__targ_r__control_0,104.0,1.2189012848754755e-14,0.6640433571843742,6.413355882017003e-08,0.4355811523510833,0.027935369455265646,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
92,m_noise__ild_70n__itd_0__targ_l__control_0,104.0,1.2189012848754755e-14,0.8867126231260767,6.416715403942266e-08,-0.1428149934474608,-0.009164031683682353,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
93,m_noise__ild_70n__itd_0__targ_r__control_0,104.0,1.2189012848754755e-14,0.8760927144394883,6.438389754290615e-08,-0.15630870494981786,-0.010063763644553421,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
94,m_speech__ild_0__itd_500__targ_l__control_0,104.0,1.2189012848754755e-14,0.3576688443375936,6.456901154525701e-08,-0.9239158182145544,-0.05965633113314114,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
95,m_speech__ild_0__itd_500__targ_l__control_1,104.0,1.2189012848754755e-14,0.6182435713552107,6.400998802814164e-08,0.4998401222687538,0.03199476024240778,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
96,m_speech__ild_0__itd_500__targ_r__control_0,104.0,1.2189012848754755e-14,0.8239158324867046,6.44993837433803e-08,-0.22307353180277054,-0.014388105330738045,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
97,m_speech__ild_0__itd_500__targ_r__control_1,104.0,1.2189012848754755e-14,0.6061786622375386,6.451889491049834e-08,0.517108199531986,0.03336324958296121,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
98,m_speech__ild_0__itd_50__targ_l__control_0,104.0,1.2189012848754755e-14,0.6705422593581136,6.43522367045415e-08,-0.42661404187784013,-0.02745356780440395,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
99,m_speech__ild_0__itd_50__targ_r__control_0,104.0,1.2189012848754755e-14,0.9028539528504399,6.373691599939843e-08,0.1223550569995658,0.007798533990082933,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
100,m_speech__ild_10__itd_0__targ_l__control_0,104.0,1.2189012848754755e-14,0.8258095096239761,6.439365895540895e-08,-0.2206346094547907,-0.014207469794991639,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
101,m_speech__ild_10__itd_0__targ_r__control_0,104.0,1.2189012848754755e-14,0.8337576010248069,6.474107606343482e-08,-0.2104122805908721,-0.013622317462414442,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
102,m_speech__ild_70n__itd_0__targ_l__control_0,104.0,1.2189012848754755e-14,0.8413799795321613,6.41190700419337e-08,-0.200629677129178,-0.012864188320336306,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
103,m_speech__ild_70n__itd_0__targ_r__control_0,104.0,1.2189012848754755e-14,0.2963484410843853,6.398676682023017e-08,1.0495706416058184,0.06715863190579087,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
208,Exhale,104.0,3.5465292839587365e-15,2.8384543931203973e-05,2.215116322635978e-08,-4.379997323101225,-0.09702203563503414,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
209,Hold,104.0,3.5465292839587365e-15,3.218650244172934e-13,3.291737085727638e-08,-8.345569950471726,-0.2747142210750195,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
210,Inhale,104.0,3.5465292839587365e-15,0.0012635168415113308,1.9337412037719802e-08,3.314701197124235,0.06409774283071443,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
292,m_noise__ild_0__itd_500__targ_l__control_0,104.0,3.5465292839587365e-15,0.48130180136943124,3.4591051695964676e-08,0.7067508733580806,0.024447255996497552,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
293,m_noise__ild_0__itd_500__targ_l__control_1,104.0,3.5465292839587365e-15,0.7581777420533791,3.489005313587922e-08,-0.3086861919583297,-0.010770077639738335,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
294,m_noise__ild_0__itd_500__targ_r__control_0,104.0,3.5465292839587365e-15,0.2364763304175179,3.464831861118899e-08,-1.1907145726213413,-0.04125625788716996,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
295,m_noise__ild_0__itd_500__targ_r__control_1,104.0,3.5465292839587365e-15,0.01643738757872268,3.468050822163413e-08,-2.4386244077522092,-0.08457273382252815,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
296,m_noise__ild_0__itd_50__targ_l__control_0,104.0,3.5465292839587365e-15,0.8676461418699586,3.4672875106721875e-08,-0.16706139210988338,-0.0057924987837810775,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
297,m_noise__ild_0__itd_50__targ_r__control_0,104.0,3.5465292839587365e-15,0.33409757148072894,3.467116584407506e-08,-0.9704021136298637,-0.033644972617101976,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
298,m_noise__ild_10__itd_0__targ_l__control_0,104.0,3.5465292839587365e-15,0.511040080214004,3.48499780282058e-08,0.6594881549900348,0.022983147711264692,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
299,m_noise__ild_10__itd_0__targ_r__control_0,104.0,3.5465292839587365e-15,0.9493180674953449,3.459416460995963e-08,0.06371675749705746,0.0022042279972660857,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
300,m_noise__ild_70n__itd_0__targ_l__control_0,104.0,3.5465292839587365e-15,0.4210950322459922,3.461228614517947e-08,-0.8077206220065415,-0.02795705729425276,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
301,m_noise__ild_70n__itd_0__targ_r__control_0,104.0,3.5465292839587365e-15,0.50058714641928,3.4729199358411126e-08,-0.6759272640215673,-0.023474412703990404,1,2,hbo,False,S1_D2 hbo,NDARVX753BR6
302,m_speech__ild_0__itd_500__targ_l__control_0,104.0,3.5465292839587365e-15,0.0056384419297842,3.4829051360806476e-08,-2.826872723375057,-0.09845729527289274,1,2,hbo,True,S1_D2 hbo,NDARVX753BR6
