,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,S
82,m_noise__ild_0__itd_500__targ_l__control_0,102.0,0.05374241208305335,0.2209118469690746,0.10031178584600947,1.2316500294759927,0.12354901399402703,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
83,m_noise__ild_0__itd_500__targ_l__control_1,102.0,0.05374241208305335,0.08559557568756053,0.10081473169894599,1.7359318086276792,0.17500749953446554,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
84,m_noise__ild_0__itd_500__targ_r__control_0,102.0,0.05374241208305335,0.15324579708609495,0.10033512564589891,1.4388811170520377,0.14437031766892758,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
85,m_noise__ild_0__itd_500__targ_r__control_1,102.0,0.05374241208305335,0.6868977486146056,0.10038506459522913,0.40421932982579334,0.040577583535202494,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
86,m_noise__ild_0__itd_50__targ_l__control_0,102.0,0.05374241208305335,0.008262786411325704,0.10043724575519125,2.693727788867528,0.27055059992807584,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
87,m_noise__ild_0__itd_50__targ_r__control_0,102.0,0.05374241208305335,0.4863290721620368,0.10035443276039416,0.698700809285668,0.07011772338509156,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
88,m_noise__ild_10__itd_0__targ_l__control_0,102.0,0.05374241208305335,0.042660584384918605,0.10068776398914508,2.0527130708630765,0.2066830892164947,1,1,hbo,True,S1_D1 hbo,NDARVX753BR6
89,m_noise__ild_10__itd_0__targ_r__control_0,102.0,0.05374241208305335,0.1303730222744096,0.10025908521365719,1.5249230201656294,0.15288738702305332,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
90,m_noise__ild_70n__itd_0__targ_l__control_0,102.0,0.05374241208305335,0.14960707398411607,0.10035492176494906,1.451868858725759,0.14570218573038943,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
91,m_noise__ild_70n__itd_0__targ_r__control_0,102.0,0.05374241208305335,0.09649105355963576,0.10057335716180933,1.6775794553611636,0.16871979773135187,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
92,m_speech__ild_0__itd_500__targ_l__control_0,102.0,0.05374241208305335,0.5779136049311913,0.10069545983460333,-0.5582256339670872,-0.056210786903778814,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
93,m_speech__ild_0__itd_500__targ_l__control_1,102.0,0.05374241208305335,0.8736714237925791,0.10008333679101472,0.15939684972011614,0.015952968593965142,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
94,m_speech__ild_0__itd_500__targ_r__control_0,102.0,0.05374241208305335,0.21720040514356578,0.1005906884452062,1.2416852309051336,0.12490197220899221,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
95,m_speech__ild_0__itd_500__targ_r__control_1,102.0,0.05374241208305335,0.5422780193784227,0.10065038767536476,0.6114258434007482,0.061540248173022165,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
96,m_speech__ild_0__itd_50__targ_l__control_0,102.0,0.05374241208305335,0.9464850096665525,0.1004410013320751,0.06728691873972878,0.006758365494768328,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
97,m_speech__ild_0__itd_50__targ_r__control_0,102.0,0.05374241208305335,0.17536500121545368,0.09989037390447524,1.3646534161805635,0.13631573999229593,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
98,m_speech__ild_10__itd_0__targ_l__control_0,102.0,0.05374241208305335,0.9294964863178226,0.10047629943606108,0.08869718596582467,0.008911965016238194,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
99,m_speech__ild_10__itd_0__targ_r__control_0,102.0,0.05374241208305335,0.8128848307398026,0.1009022218720647,-0.2373196506366223,-0.023946080043137346,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
100,m_speech__ild_70n__itd_0__targ_l__control_0,102.0,0.05374241208305335,0.3575133729695429,0.10027659762460193,0.9242966623306885,0.09268532449429702,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
101,m_speech__ild_70n__itd_0__targ_r__control_0,102.0,0.05374241208305335,0.06774040684270881,0.10016875146676761,1.8463540970350159,0.18494698466554862,1,1,hbo,False,S1_D1 hbo,NDARVX753BR6
184,m_noise__ild_0__itd_500__targ_l__control_0,102.0,0.01326909907813835,0.34580865930605975,0.04984413955772846,0.9471346098607661,0.04720910967385473,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
185,m_noise__ild_0__itd_500__targ_l__control_1,102.0,0.01326909907813835,0.5019340201602644,0.05009404940702805,-0.6738450283728205,-0.033755626143988283,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
186,m_noise__ild_0__itd_500__targ_r__control_0,102.0,0.01326909907813835,0.9219437309763361,0.04985573692121998,0.0982283685484341,0.00489724770055137,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
187,m_noise__ild_0__itd_500__targ_r__control_1,102.0,0.01326909907813835,0.5367145613672939,0.04988055119342925,0.6198869816105523,0.030920304320365494,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
188,m_noise__ild_0__itd_50__targ_l__control_0,102.0,0.01326909907813835,0.5882586732187667,0.049906479602513994,-0.5430812811686033,-0.027103274881148068,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
189,m_noise__ild_0__itd_50__targ_r__control_0,102.0,0.01326909907813835,0.7185055869834498,0.04986533047497083,-0.3614568733563813,-0.018024166442365635,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
190,m_noise__ild_10__itd_0__targ_l__control_0,102.0,0.01326909907813835,0.6307533225540446,0.05003096014794182,-0.48212044586123676,-0.024120948813391475,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
191,m_noise__ild_10__itd_0__targ_r__control_0,102.0,0.01326909907813835,0.5604960714940752,0.04981795302688771,-0.5840202319862395,-0.029094692483842548,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
192,m_noise__ild_70n__itd_0__targ_l__control_0,102.0,0.01326909907813835,0.21502478438899233,0.04986557345749849,-1.2476260851711694,-0.06221359019759421,1,1,hbr,False,S1_D1 hbr,NDARVX753BR6
