,0
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,47
47,49
48,50
49,51
50,52
51,53
52,55
53,57
54,58
55,59
56,60
57,61
58,62
59,63
60,65
61,66
62,68
63,69
64,70
65,71
66,72
67,73
68,74
69,75
70,76
71,77
72,78
73,79
74,80
75,81
76,82
77,86
78,87
79,88
80,89
81,90
82,91
83,92
84,93
85,95
86,96
87,97
88,98
89,99
90,100
91,101
92,104
93,105
94,107
95,108
96,111
97,112
98,113
99,114
100,115
101,116
102,118
103,119
104,120
105,121
