,time,condition,epoch,S1_D1 hbo,S1_D1 hbr,S1_D2 hbo,S1_D2 hbr,S2_D1 hbo,S2_D1 hbr,S2_D2 hbo,S2_D2 hbr,S3_D3 hbo,S3_D3 hbr,S4_D3 hbo,S4_D3 hbr,S5_D4 hbo,S5_D4 hbr,S5_D5 hbo,S5_D5 hbr,S6_D4 hbo,S6_D4 hbr,S6_D5 hbo,S6_D5 hbr,S7_D6 hbo,S7_D6 hbr,S7_D7 hbo,S7_D7 hbr,S8_D6 hbo,S8_D6 hbr,S8_D7 hbo,S8_D7 hbr
0,-5.0,Inhale,0,-944546.8789072438,628803.2488595161,-1606192.1108392673,352927.3661898122,-708226.9325439703,-119598.91460529093,-999538.241824585,-150718.1528106809,-1515475.6768691305,141373.87413252212,-745701.1265795433,-358650.6151504556,4032093.788686323,-770455.4080369292,714242.948057283,-270287.99599718914,-338504.5445478878,482362.891552086,383912.0688353862,333740.66538623825,-35082.23837282526,13276.025938625036,62542.48477515678,-368013.05235708924,567639.4406358711,-214809.43882715175,468223.09072707477,-177187.72193195153
1,-4.666666666666667,Inhale,0,-593739.939452548,619559.7080193384,-1187817.7957740866,231106.10053555996,-730464.5900165794,865.3262484896729,-777323.6297134169,-68423.82083729537,-1257050.6275802073,424887.8921370742,-171229.7757590886,-131670.0729567639,2931472.44342559,-84017.4977278354,674327.9075562167,-255183.11279669893,-123277.63684881998,472725.56008163176,952002.2863171706,253960.86604624602,304912.48761655897,-115386.76784497534,348051.0518624897,-315422.5038818128,190419.51890766073,-72059.66863836988,157069.45165373164,-59439.14103084702
2,-4.333333333333333,Inhale,0,-1008785.8178129796,454249.19782571594,-1543521.3818738544,183761.31489953646,-1128449.8211060744,28361.773484683494,-1285318.2558398477,-174383.07852129254,-1224840.9541757104,-3988.9165284070496,-733157.4658389554,-130105.11590262096,941695.5656676352,750194.6411538643,135656.63274159268,-51335.97679498736,-738776.0581371807,346440.72691869276,356534.3980222461,81005.50343991908,-505263.1132935804,191204.62402167136,-1081693.6905411575,38677.538998756034,-93856.40027901632,35517.688220690456,-77418.3939261346,29297.121665019076
3,-4.0,Inhale,0,-1143626.546563848,30664.712182672414,-1326819.2331908776,11921.755710337933,-2053176.4705454872,-16294.505763823297,-1827091.0564785306,-264711.2010937076,-1902497.675660186,-115607.69518126234,-1143896.868461362,-187815.57125503378,558729.5115063764,433278.37232775334,405096.758688964,-153299.0859606157,-1448182.5041030513,252785.98431718413,-79716.93034951843,49613.79231437313,-1596789.4862289738,604266.4214412333,-3208181.320727753,313913.1015322489,93588.8989688265,-35416.45880952959,77197.742785176,-29213.621569054383
4,-3.6666666666666665,Inhale,0,-305593.3987510444,-398623.04628488765,-1188.0265805486179,-287694.2471492787,-2645973.4104988636,-16896.765991350814,-1403035.9941159154,-131909.1534952108,-3072942.0257164114,702361.0080962497,-361823.3460388542,-75544.50266899593,993737.2097637267,-688141.367931064,687926.8094326223,-260329.28882256322,-1251273.712777453,201791.2677064201,531753.5914478431,78106.42579421701,-1552901.6597425449,587658.133320287,-3694030.8697683793,195502.64401480288,559772.8774734576,-211832.5279618265,461734.277135867,-174732.18712164962
5,-3.3333333333333335,Inhale,0,441755.0731376281,-678873.6044733286,907170.0656003458,-572375.0518082506,-2494746.905739898,-6048.227031757891,-672049.2989415528,-44336.44172300899,-3302885.7107621226,1201983.4236539358,396075.4309957062,63242.04226211028,-1151176.736082197,-756403.7549912203,-392555.53710123705,148553.16349890534,-769738.8127711768,96669.96131031758,905029.5063510991,-88268.38648659785,-1152996.5438010402,436323.6991885208,-3299904.7644219305,87868.87404803978,772423.9371030382,-292305.1863342945,637141.6383203034,-241110.86718653786
6,-3.0,Inhale,0,359447.2971870635,-761552.0831091746,634264.5537872254,-618831.1204930024,-1811873.603307626,-45708.78759764474,-303381.18056671525,-143318.97530946636,-1930937.5979416089,688631.6535229726,375191.47859133326,88562.810039849,-3862873.500566163,654634.481870506,-1240799.851888057,469550.7408405465,-834225.85537788,-57709.14721329112,457529.9739056925,-310013.8715016101,-1157688.5379308872,438099.27106366,-3146570.4493442215,245421.36015010564,559289.1132328464,-211649.45906701215,461335.2393458388,-174581.18090606533
7,-2.6666666666666665,Inhale,0,137175.8387221258,-631242.7040475748,252756.51712419078,-384753.7989344627,-843542.1706545649,-38267.176321571395,80814.594486311,-104023.66014641529,-388371.75897597196,117535.25518540209,313215.7750920932,80227.9556157397,-1677548.9255317561,1287897.430852395,-7723.857702002901,2922.9074299167432,-1093301.5907459466,-224345.27239724057,102228.852372095,-362382.06899411243,-888194.6562545493,336115.81934050773,-2342884.842067031,360915.6281453668,164360.55263431236,-62198.282129845014,135574.45173619298,-51304.87737801825
8,-2.3333333333333335,Inhale,0,307211.80410545145,-403683.98777560354,469504.4159365516,-140473.03122033758,152340.49037323415,87544.9814228002,603700.6646106926,187550.64394317343,191796.8851810782,44654.67903612486,481837.26294533623,81620.47510743476,2776731.55847755,-138458.16677006573,1445451.0205741883,-546996.033668583,-770827.4505256199,-324302.6170708461,58346.168263550106,-355786.4964552131,-166088.2176678828,62852.07524176501,-571045.6683197252,272880.7381273937,-204953.942241755,77559.87016872146,-169058.3166413422,63976.0374756706
9,-2.0,Inhale,0,608855.3342356493,-219626.63914376247,851350.7646763924,-62313.067330269034,980413.6910273907,215362.72180415207,998903.8329391171,396185.49987376685,715645.3859461902,-41316.9376076481,556453.8376534976,82095.56805011275,1845692.87029655,-1495228.945981305,811174.5921326219,-306969.4359709374,287534.0440201379,-229562.5003050519,-92225.44966965157,-370748.2086275915,453540.33662422997,-171631.3882040911,1136206.1727713041,146560.1779501573,-506512.3502554956,191677.36758306032,-417801.79661651974,158107.00076026097
10,-1.6666666666666667,Inhale,0,790822.2504470628,-86077.68549674578,976678.7952715146,-1807.122724124255,1610973.8046389383,228449.10856881205,1307763.9875944068,356039.9873504504,1897260.9080456824,-374985.3926679387,554605.8831542253,99593.34851275382,-2641685.6386700026,-988981.6754105414,-467464.69700074947,176900.72614008168,1323910.0550872602,-49070.932005578106,-220905.4700445307,-268729.8088114576,921332.4364025585,-348656.01201915287,2240593.047885612,51850.74276174562,-675090.4716690029,255471.68677061706,-556855.1522973304,210728.3853267865
11,-1.3333333333333333,Inhale,0,723603.1547187676,64091.9898924559,784325.9529010176,158340.6666160006,1974930.9920241272,156177.259732202,1454243.951903643,253344.3283525112,2725308.589337489,-621932.7090538758,451877.0265231409,87588.1768952258,-2675357.920137513,-54774.17180444411,-264034.92016793106,99917.6395644924,1447133.5279814177,-70909.17859322499,-255628.58491531876,-60130.10117898232,1252480.7761839933,-473971.10456682555,2799388.562268253,-44647.17093865411,-645033.9844304782,244097.53498583185,-532062.7570834673,201346.30205028792
12,-1.0,Inhale,0,367168.8027944628,262021.42886986834,408756.36577027396,305787.0543757317,2076564.5919945247,59932.74430523509,1251415.5740553355,190720.9653726074,2514923.1379740085,-587940.8223286531,191604.18427341108,36718.785145386624,555149.3397170916,-3470.7805680127544,212874.52159260644,-80557.22215616656,961703.4511533849,-251741.7721479136,-433134.06203710893,105128.6086633978,1243142.6134287368,-470437.302372099,2959632.8962702006,-137572.82830812113,-491619.6936956401,186041.60133911372,-405517.43935659877,153458.28240059322
13,-0.6666666666666666,Inhale,0,56123.93911736269,436302.19463786355,166570.81515686234,349041.377644056,2115348.672953996,-55174.55696034701,951697.2159453827,77667.62201921084,2093706.9109231138,-431444.3701979518,62621.98525378548,57076.583998628914,218087.89798498384,208841.14199551684,-768711.020791782,290900.1228166145,882400.9829300032,-297094.04138879257,-665601.1205888581,220647.27295663688,1128161.5292595793,-426925.4876566753,3037029.8653592328,-235570.04973172536,-324104.39228937007,122649.48071808579,-267340.7614276306,101168.65535904696
14,-0.3333333333333333,Inhale,0,41331.101286343765,432380.9570332289,120911.89608983787,301425.3060299538,2001886.192570818,-185407.4932651395,626481.8355879643,-111501.48592227537,2129422.6561179864,-464638.3540260104,7213.242072094949,121588.2059927098,-2133229.4007192687,907808.6702169271,-1639886.136910353,620575.3081842447,1182043.6411459593,-203621.95421677988,-881670.013342074,319760.7004341545,1030168.4620527931,-389842.37773030583,2804350.8670716663,-303420.61212137627,-120847.49950475793,45731.81793569936,-99682.27306645838,37722.34909264638
15,0.0,Inhale,0,162797.98573574645,251606.31301042048,93248.40594442318,173936.49765873613,1503995.4688300348,-293297.488029451,-7283.99964228732,-268183.07705236657,2326937.5541558005,-679572.5881725341,-234887.5238768209,85471.9263139193,-711518.0638189289,737277.0308044567,-305575.169213979,115637.54369294066,1283382.4635168507,-144418.9765476136,-1118455.2145680224,374095.1070203835,721265.8117238327,-272945.62916214473,1956516.656926282,-308944.588389839,154524.39540950058,-58476.02595379242,127460.99871129468,-48234.537006185405
