Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,toy,2.0,card,2.515,sock,3.0,card,3.715,sock,4.0,red,5.0,card,6.0,bag,6.0,sock,6.715,spoons,7.315,red,7.915,tables,8.515,glove,9.115,sock,10.0,shoe,10.315,spoons,11.0,blue,11.515,card,12.115
practice,0,Masker,none,1.915,none,2.665,none,3.115,none,3.865,none,4.315,none,4.915,none,5.515,none,6.115,none,6.865,none,7.465,none,8.065,none,8.665,none,9.265,none,9.715,none,10.465,none,10.915,none,11.665,none,12.265
practice,1,Target,green,1.915,spoons,3.0,hat,3.0,green,4.0,sock,4.315,shoe,5.0,hat,5.515,shoe,6.0,pen,6.715,chairs,7.315,bag,8.0,sock,9.0,sock,9.115,chairs,10.0,glove,10.315,desks,10.915,card,11.515,toy,12.0
practice,1,Masker,none,2.065,none,2.515,none,3.115,none,3.715,none,4.465,none,4.915,none,5.665,none,6.115,none,6.865,none,7.465,none,7.915,none,8.515,none,9.265,none,9.715,none,10.465,none,11.065,none,11.665,none,12.115
practice,2,Target,spoons,2.0,shoe,3.0,chairs,3.0,glove,4.0,chairs,4.315,desks,4.915,chairs,5.515,red,6.0,toy,7.0,card,7.315,toy,8.0,glove,9.0,toy,9.0,spoons,9.715,glove,10.0,green,10.915,chairs,11.515,glove,12.0
practice,2,Masker,none,1.915,none,2.515,none,3.115,none,3.715,none,4.465,none,5.065,none,5.665,none,6.115,none,6.715,none,7.465,none,7.915,none,8.515,none,9.115,none,9.865,none,10.315,none,11.065,none,11.665,none,12.115
practice,3,Target,red,1.915,desks,2.515,pen,3.0,spoons,4.0,chairs,4.0,blue,4.915,spoons,6.0,tables,6.115,desks,7.0,hat,7.0,glove,7.915,blue,8.515,desks,9.115,chairs,10.0,spoons,10.0,pen,10.915,sock,11.515,tables,12.0
practice,3,Masker,none,2.065,none,2.665,none,3.115,none,3.715,none,4.315,none,5.065,none,5.515,none,6.265,none,6.715,none,7.315,none,8.065,none,8.665,none,9.265,none,9.715,none,10.315,none,11.065,none,11.665,none,12.115
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,shoe,2.0,sock,2.769,red,3.369,green,4.0,glove,4.569,bag,5.0,sock,5.769,pen,7.0,sock,6.969,shoe,8.0,hat,8.169,tables,8.769,hat,9.369,sock,10.0,shoe,11.0,card,11.0,sock,11.769,sock,12.369
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,2.169,shoe,2.919,sock,3.519,tables,3.969,shoe,4.719,green,5.169,spoons,5.919,glove,6.369,shoe,7.119,desks,7.569,pen,8.319,spoons,8.919,card,9.519,card,9.969,chairs,10.569,blue,11.169,pen,11.919,toy,12.519
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,red,2.169,blue,3.0,toy,3.369,pen,3.969,card,5.0,desks,5.0,desks,5.769,tables,7.0,sock,6.969,desks,8.0,pen,8.0,hat,9.0,toy,10.0,glove,10.0,card,11.0,spoons,11.0,tables,12.0,desks,12.369
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,pen,2.319,spoons,2.769,card,3.519,spoons,4.119,glove,4.569,chairs,5.169,shoe,5.919,tables,6.369,pen,7.119,shoe,7.569,spoons,8.169,red,8.769,chairs,9.369,red,9.969,hat,10.569,desks,11.169,pen,11.769,pen,12.519
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,hat,2.0,spoons,2.769,shoe,3.369,chairs,4.0,shoe,4.569,chairs,5.0,glove,5.769,toy,6.369,desks,6.969,toy,7.569,red,8.0,green,9.0,shoe,10.0,glove,9.969,bag,11.0,blue,11.169,pen,12.0,spoons,13.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,pen,2.169,pen,2.919,glove,3.519,shoe,3.969,hat,4.719,green,5.169,desks,5.919,green,6.519,spoons,7.119,glove,7.719,card,8.169,shoe,8.769,hat,9.369,bag,10.119,bag,10.569,card,11.319,sock,11.769,chairs,12.369
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,tables,2.0,spoons,3.0,bag,4.0,white,3.969,shoe,5.0,card,5.0,glove,5.769,spoons,6.369,green,6.969,pen,7.569,chairs,8.0,bag,9.0,desks,10.0,green,9.969,green,11.0,bag,11.0,glove,11.769,desks,12.369
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,spoons,2.169,toy,2.769,red,3.369,spoons,4.119,glove,4.569,shoe,5.169,pen,5.919,bag,6.519,spoons,7.119,chairs,7.719,glove,8.169,blue,8.769,bag,9.369,spoons,10.119,bag,10.569,spoons,11.169,glove,11.919,green,12.519
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,sock,2.186,bag,2.786,shoe,4.0,toy,4.0,desks,5.0,shoe,5.0,toy,5.786,pen,7.0,red,7.0,hat,7.586,desks,8.0,bag,9.0,glove,9.386,red,9.986,bag,10.586,glove,11.186,shoe,11.786,tables,13.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,card,2.336,pen,2.936,green,3.386,white,3.986,card,4.586,desks,5.186,sock,5.936,glove,6.386,hat,6.986,bag,7.736,card,8.186,spoons,8.786,bag,9.536,card,10.136,pen,10.736,bag,11.336,red,11.936,spoons,12.386
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,bag,2.0,spoons,2.786,sock,4.0,glove,3.986,pen,4.586,spoons,5.186,red,5.786,pen,7.0,desks,6.986,chairs,7.586,spoons,8.0,shoe,9.0,toy,10.0,sock,9.986,pen,10.586,toy,11.186,desks,12.0,red,12.386
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,card,2.186,toy,2.936,glove,3.386,tables,4.136,desks,4.736,blue,5.336,tables,5.936,desks,6.386,spoons,7.136,hat,7.736,blue,8.186,spoons,8.786,desks,9.386,hat,10.136,desks,10.736,red,11.336,red,11.786,desks,12.536
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,blue,2.0,shoe,3.0,bag,3.386,card,4.0,sock,5.0,chairs,5.0,spoons,5.786,card,7.0,spoons,6.986,red,8.0,tables,8.186,spoons,8.786,white,9.386,glove,9.986,bag,11.0,hat,11.186,blue,11.786,card,12.386
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,glove,2.186,bag,2.786,green,3.536,green,3.986,hat,4.586,spoons,5.186,chairs,5.936,glove,6.386,card,7.136,desks,7.586,chairs,8.336,bag,8.936,bag,9.536,chairs,10.136,red,10.586,spoons,11.336,tables,11.936,desks,12.536
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,chairs,2.186,tables,2.786,card,3.386,desks,3.986,chairs,5.0,shoe,5.0,chairs,6.0,toy,6.386,green,7.0,spoons,8.0,tables,8.186,bag,8.786,tables,9.386,sock,10.0,chairs,10.586,blue,11.0,pen,12.0,pen,13.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,spoons,2.336,bag,2.936,red,3.536,card,4.136,white,4.586,spoons,5.186,bag,5.786,bag,6.536,sock,6.986,shoe,7.586,green,8.336,hat,8.936,hat,9.536,spoons,9.986,red,10.736,card,11.186,hat,11.786,shoe,12.386
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,bag,2.305,glove,2.905,blue,3.505,spoons,4.0,red,5.0,hat,5.0,green,5.905,desks,6.505,shoe,7.0,desks,7.705,desks,8.305,tables,9.0,hat,9.505,shoe,10.0,tables,11.0,toy,11.305,sock,12.0,spoons,12.505
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,2.455,noise,3.055,noise,3.655,noise,4.105,noise,4.705,noise,5.305,noise,6.055,noise,6.655,noise,7.105,noise,7.855,noise,8.455,noise,8.905,noise,9.655,noise,10.105,noise,10.705,noise,11.455,noise,11.905,noise,12.655
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,chairs,2.0,toy,2.905,glove,3.505,blue,4.105,bag,4.705,card,5.0,desks,5.905,toy,7.0,pen,7.0,card,7.705,bag,8.305,blue,9.0,sock,9.505,tables,10.105,toy,10.705,card,11.305,pen,12.0,card,12.505
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,2.305,noise,3.055,noise,3.655,noise,4.255,noise,4.855,noise,5.305,noise,6.055,noise,6.505,noise,7.105,noise,7.855,noise,8.455,noise,8.905,noise,9.655,noise,10.255,noise,10.855,noise,11.455,noise,11.905,noise,12.655
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,card,2.305,toy,2.905,bag,4.0,hat,4.105,pen,5.0,shoe,5.305,green,5.905,pen,7.0,shoe,7.0,toy,7.705,chairs,8.0,glove,9.0,green,9.505,shoe,10.105,hat,10.705,spoons,11.305,card,12.0,sock,13.0
