Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,sock,2.727,chairs,3.327,bag,4.0,chairs,5.0,bag,5.127,green,5.727,bag,6.327,spoons,7.0,glove,8.0,tables,8.0,sock,8.727,pen,9.327,hat,10.0,blue,11.0,glove,11.0,glove,12.0,sock,12.327,shoe,13.0
practice,0,Masker,none,2.877,none,3.477,none,3.927,none,4.527,none,5.277,none,5.877,none,6.477,none,6.927,none,7.527,none,8.127,none,8.877,none,9.477,none,9.927,none,10.527,none,11.127,none,11.727,none,12.477,none,12.927
practice,1,Target,red,2.727,card,3.327,green,3.927,chairs,5.0,blue,5.127,tables,5.727,red,6.0,card,6.927,shoe,8.0,bag,8.0,pen,9.0,glove,9.0,glove,9.927,chairs,10.527,bag,11.127,bag,11.727,chairs,12.327,chairs,12.927
practice,1,Masker,none,2.877,none,3.477,none,4.077,none,4.527,none,5.277,none,5.877,none,6.327,none,7.077,none,7.527,none,8.127,none,8.727,none,9.327,none,10.077,none,10.677,none,11.277,none,11.877,none,12.477,none,13.077
practice,2,Target,glove,2.727,card,3.327,bag,4.0,bag,4.527,sock,5.127,bag,6.0,bag,6.327,bag,6.927,shoe,8.0,sock,8.0,sock,8.727,sock,9.327,toy,10.0,desks,11.0,red,11.127,toy,12.0,blue,12.0,desks,13.0
practice,2,Masker,none,2.877,none,3.477,none,3.927,none,4.677,none,5.277,none,5.727,none,6.477,none,7.077,none,7.527,none,8.127,none,8.877,none,9.477,none,9.927,none,10.527,none,11.277,none,11.727,none,12.327,none,12.927
practice,3,Target,hat,3.0,red,3.327,green,4.0,toy,4.527,hat,5.127,tables,5.727,white,6.0,hat,6.927,chairs,8.0,bag,8.127,sock,8.727,shoe,9.0,hat,9.927,card,10.527,bag,11.0,spoons,12.0,chairs,12.327,card,12.927
practice,3,Masker,none,2.727,none,3.477,none,3.927,none,4.677,none,5.277,none,5.877,none,6.327,none,7.077,none,7.527,none,8.277,none,8.877,none,9.327,none,10.077,none,10.677,none,11.127,none,11.727,none,12.477,none,13.077
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,2.0,pen,3.0,spoons,3.444,desks,4.044,hat,5.0,pen,5.244,desks,5.844,spoons,6.444,bag,7.044,red,7.644,chairs,8.244,spoons,8.844,pen,9.444,white,10.0,tables,10.644,pen,11.0,shoe,11.844,tables,12.444
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,tables,2.244,glove,2.844,white,3.594,white,4.194,hat,4.644,sock,5.394,toy,5.994,hat,6.594,spoons,7.194,spoons,7.794,spoons,8.394,white,8.994,chairs,9.594,desks,10.044,hat,10.794,hat,11.244,tables,11.994,shoe,12.594
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,hat,2.244,chairs,2.844,desks,3.444,chairs,4.0,tables,4.644,toy,5.244,tables,6.0,glove,6.444,red,7.0,card,7.644,desks,8.244,tables,9.0,card,10.0,red,10.044,white,10.644,red,11.0,bag,12.0,tables,12.444
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,glove,2.394,bag,2.994,sock,3.594,pen,4.044,sock,4.794,bag,5.394,toy,5.844,white,6.594,toy,7.044,spoons,7.794,card,8.394,hat,8.844,white,9.444,desks,10.194,hat,10.794,spoons,11.244,toy,11.844,hat,12.594
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,shoe,2.244,glove,2.844,tables,3.444,desks,4.044,shoe,5.0,bag,5.244,white,6.0,spoons,7.0,white,7.0,spoons,7.644,shoe,8.244,spoons,8.844,chairs,9.444,glove,10.0,desks,11.0,desks,11.244,red,11.844,hat,13.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,desks,2.394,desks,2.994,green,3.594,pen,4.194,desks,4.644,white,5.394,toy,5.844,pen,6.444,glove,7.044,glove,7.794,shoe,8.394,hat,8.994,bag,9.594,shoe,10.044,green,10.644,white,11.394,desks,11.994,glove,12.444
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,bag,2.0,bag,2.844,glove,3.444,card,4.044,sock,5.0,bag,5.0,spoons,6.0,white,7.0,green,7.044,red,8.0,shoe,8.0,spoons,8.844,bag,10.0,green,10.044,card,11.0,pen,11.244,chairs,12.0,tables,12.444
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,desks,2.244,blue,2.994,white,3.594,desks,4.194,card,4.644,tables,5.244,desks,5.844,card,6.444,desks,7.194,hat,7.644,spoons,8.244,chairs,8.994,tables,9.444,shoe,10.194,shoe,10.644,hat,11.394,spoons,11.844,spoons,12.594
