Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,white,2.0,glove,2.0,glove,2.922,red,3.522,sock,4.122,pen,5.0,tables,5.322,hat,6.0,blue,6.522,green,7.122,pen,7.722,sock,8.0,glove,8.922,hat,10.0,card,10.0,glove,11.0,spoons,11.322,bag,12.0
practice,0,Masker,none,1.722,none,2.322,none,3.072,none,3.672,none,4.272,none,4.722,none,5.472,none,5.922,none,6.672,none,7.272,none,7.872,none,8.322,none,9.072,none,9.522,none,10.122,none,10.722,none,11.472,none,11.922
practice,1,Target,sock,1.722,chairs,2.0,desks,2.922,white,4.0,chairs,4.0,toy,4.722,desks,5.0,tables,5.922,spoons,6.522,hat,7.122,desks,7.722,glove,8.0,desks,8.922,glove,9.522,pen,10.0,desks,11.0,bag,11.322,red,11.922
practice,1,Masker,none,1.872,none,2.322,none,3.072,none,3.522,none,4.122,none,4.872,none,5.322,none,6.072,none,6.672,none,7.272,none,7.872,none,8.322,none,9.072,none,9.672,none,10.122,none,10.722,none,11.472,none,12.072
practice,2,Target,blue,2.0,bag,2.0,sock,2.922,card,4.0,sock,4.0,desks,5.0,green,5.0,chairs,6.0,sock,6.522,toy,7.122,chairs,8.0,blue,8.322,spoons,8.922,sock,10.0,bag,10.122,glove,10.722,desks,11.0,blue,12.0
practice,2,Masker,none,1.722,none,2.322,none,3.072,none,3.522,none,4.122,none,4.722,none,5.322,none,5.922,none,6.672,none,7.272,none,7.722,none,8.472,none,9.072,none,9.522,none,10.272,none,10.872,none,11.322,none,11.922
practice,3,Target,spoons,1.722,pen,2.0,bag,3.0,pen,4.0,green,4.0,white,4.722,red,5.322,tables,5.922,desks,6.522,shoe,7.122,bag,8.0,shoe,8.0,sock,8.922,tables,9.522,desks,10.0,shoe,10.722,blue,11.0,card,11.922
practice,3,Masker,none,1.872,none,2.322,none,2.922,none,3.522,none,4.122,none,4.872,none,5.472,none,6.072,none,6.672,none,7.272,none,7.722,none,8.322,none,9.072,none,9.672,none,10.122,none,10.872,none,11.322,none,12.072
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,bag,2.0,shoe,2.197,shoe,2.797,red,4.0,card,4.0,spoons,5.0,toy,5.197,glove,6.0,card,6.397,tables,6.997,red,8.0,chairs,8.197,green,9.0,spoons,9.397,desks,9.997,desks,10.597,shoe,11.0,hat,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,blue,1.597,bag,2.347,desks,2.947,desks,3.397,shoe,3.997,hat,4.597,shoe,5.347,sock,5.797,hat,6.547,hat,7.147,spoons,7.597,shoe,8.347,card,8.797,blue,9.547,chairs,10.147,shoe,10.747,shoe,11.197,shoe,11.797
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,hat,2.0,card,2.197,desks,2.797,red,4.0,hat,3.997,spoons,5.0,card,5.197,glove,6.0,hat,7.0,tables,6.997,blue,7.597,green,8.197,glove,8.797,blue,10.0,shoe,9.997,spoons,10.597,hat,11.197,glove,11.797
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,white,1.597,desks,2.347,white,2.947,sock,3.397,card,4.147,bag,4.597,white,5.347,card,5.797,pen,6.397,glove,7.147,card,7.747,glove,8.347,toy,8.947,desks,9.397,spoons,10.147,pen,10.747,card,11.347,sock,11.947
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,desks,2.0,white,2.197,bag,2.797,sock,3.397,spoons,4.0,card,5.0,glove,5.197,green,5.797,glove,7.0,toy,7.0,white,8.0,hat,8.197,shoe,9.0,desks,10.0,green,10.0,spoons,10.597,sock,11.197,hat,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,sock,1.597,desks,2.347,sock,2.947,blue,3.547,sock,3.997,desks,4.597,card,5.347,bag,5.947,bag,6.397,white,6.997,toy,7.597,bag,8.347,sock,8.797,tables,9.397,bag,9.997,green,10.747,blue,11.347,toy,11.797
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,desks,1.597,pen,2.0,spoons,3.0,glove,3.397,bag,4.0,glove,5.0,white,5.0,bag,5.797,red,7.0,sock,6.997,glove,7.597,tables,8.0,hat,9.0,card,10.0,desks,10.0,card,10.597,tables,11.197,desks,11.797
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,red,1.747,green,2.197,glove,2.797,bag,3.547,glove,3.997,tables,4.597,hat,5.197,sock,5.947,desks,6.397,white,7.147,blue,7.747,spoons,8.197,toy,8.797,hat,9.397,pen,9.997,desks,10.747,hat,11.347,shoe,11.947
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,shoe,2.0,glove,2.0,sock,2.877,spoons,3.477,bag,4.077,card,5.0,spoons,5.0,bag,6.0,bag,7.0,sock,7.077,glove,8.0,bag,8.277,red,8.877,desks,9.477,green,10.0,pen,11.0,green,11.0,blue,11.877
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,pen,1.677,green,2.277,bag,3.027,red,3.627,pen,4.227,spoons,4.677,glove,5.277,tables,5.877,shoe,6.477,glove,7.227,sock,7.677,toy,8.427,sock,9.027,bag,9.627,chairs,10.077,tables,10.677,desks,11.277,glove,12.027
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,glove,2.0,bag,2.0,spoons,3.0,bag,4.0,white,4.0,card,4.677,shoe,5.277,card,6.0,sock,7.0,toy,7.0,red,8.0,desks,8.277,hat,8.877,green,9.477,card,10.0,desks,11.0,desks,11.277,bag,12.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,spoons,1.677,sock,2.277,shoe,2.877,tables,3.477,card,4.077,bag,4.827,green,5.427,white,5.877,card,6.477,red,7.077,spoons,7.677,glove,8.427,glove,9.027,hat,9.627,shoe,10.077,card,10.677,green,11.427,spoons,11.877
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,shoe,2.0,blue,2.277,green,2.877,hat,4.0,tables,4.0,pen,4.677,hat,5.277,card,5.877,desks,7.0,bag,7.0,glove,8.0,shoe,8.277,chairs,9.0,red,9.477,spoons,10.0,chairs,11.0,hat,11.0,spoons,12.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,red,1.677,hat,2.427,pen,3.027,spoons,3.477,bag,4.077,white,4.827,hat,5.427,desks,6.027,card,6.477,hat,7.077,shoe,7.677,hat,8.427,tables,8.877,spoons,9.627,shoe,10.077,glove,10.677,hat,11.277,red,11.877
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,card,1.677,hat,2.277,spoons,3.0,tables,4.0,glove,4.077,bag,4.677,pen,5.277,toy,6.0,chairs,6.477,card,7.0,glove,8.0,white,8.0,green,9.0,chairs,9.477,pen,10.077,blue,11.0,white,11.0,desks,12.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,sock,1.827,spoons,2.427,card,2.877,desks,3.477,white,4.227,tables,4.827,desks,5.427,spoons,5.877,hat,6.627,desks,7.077,blue,7.677,chairs,8.277,spoons,8.877,desks,9.627,blue,10.227,toy,10.677,shoe,11.277,glove,11.877
