Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,2.568,tables,3.0,sock,3.768,hat,4.368,desks,5.0,red,5.568,chairs,6.0,red,7.0,red,8.0,tables,7.968,hat,9.0,spoons,9.168,toy,10.0,pen,10.368,chairs,11.0,hat,11.568,pen,12.0,glove,13.0
practice,0,Masker,none,2.718,none,3.168,none,3.918,none,4.518,none,4.968,none,5.718,none,6.168,none,6.768,none,7.368,none,8.118,none,8.568,none,9.318,none,9.768,none,10.518,none,10.968,none,11.718,none,12.168,none,12.768
practice,1,Target,glove,3.0,shoe,3.0,sock,3.768,shoe,4.368,spoons,5.0,red,5.568,tables,6.168,green,6.768,glove,8.0,sock,7.968,chairs,9.0,pen,9.168,toy,9.768,shoe,10.368,spoons,10.968,toy,12.0,desks,12.0,spoons,13.0
practice,1,Masker,none,2.568,none,3.168,none,3.918,none,4.518,none,4.968,none,5.718,none,6.318,none,6.918,none,7.368,none,8.118,none,8.568,none,9.318,none,9.918,none,10.518,none,11.118,none,11.568,none,12.168,none,12.768
practice,2,Target,toy,2.568,pen,3.0,bag,3.768,bag,4.368,glove,5.0,white,5.568,glove,6.168,bag,7.0,toy,7.368,desks,8.0,shoe,8.568,toy,9.168,white,9.768,bag,11.0,spoons,11.0,pen,12.0,spoons,12.168,bag,12.768
practice,2,Masker,none,2.718,none,3.168,none,3.918,none,4.518,none,4.968,none,5.718,none,6.318,none,6.768,none,7.518,none,7.968,none,8.718,none,9.318,none,9.918,none,10.368,none,10.968,none,11.568,none,12.318,none,12.918
practice,3,Target,hat,2.568,spoons,3.168,red,3.768,tables,5.0,shoe,5.0,desks,5.568,glove,6.0,pen,6.768,card,8.0,sock,8.0,white,9.0,white,9.0,shoe,10.0,desks,11.0,sock,10.968,green,12.0,sock,12.168,sock,13.0
practice,3,Masker,none,2.718,none,3.318,none,3.918,none,4.368,none,4.968,none,5.718,none,6.168,none,6.918,none,7.368,none,7.968,none,8.568,none,9.168,none,9.768,none,10.368,none,11.118,none,11.568,none,12.318,none,12.768
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,shoe,1.833,pen,3.0,glove,3.033,card,3.633,card,4.233,pen,5.0,toy,5.433,bag,6.0,shoe,6.633,blue,7.233,green,7.833,sock,8.433,toy,9.0,green,10.0,glove,10.0,glove,11.0,pen,11.433,red,12.033
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,green,1.983,toy,2.433,chairs,3.183,chairs,3.783,glove,4.383,hat,4.833,desks,5.583,chairs,6.033,desks,6.783,card,7.383,pen,7.983,red,8.583,bag,9.033,pen,9.633,card,10.233,red,10.833,sock,11.583,bag,12.183
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,green,1.833,toy,3.0,hat,3.033,red,3.633,hat,4.233,blue,4.833,sock,6.0,bag,6.033,hat,7.0,tables,7.233,spoons,7.833,hat,9.0,shoe,9.033,tables,10.0,shoe,10.233,sock,10.833,pen,11.433,tables,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,pen,1.983,spoons,2.433,chairs,3.183,spoons,3.783,card,4.383,spoons,4.983,toy,5.433,spoons,6.183,tables,6.633,sock,7.383,white,7.983,tables,8.433,chairs,9.183,white,9.633,spoons,10.383,white,10.983,toy,11.583,pen,12.033
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,white,1.833,chairs,2.433,toy,3.0,hat,3.633,shoe,4.233,chairs,4.833,red,5.433,shoe,6.0,green,6.633,toy,7.0,pen,7.833,glove,8.433,glove,9.033,blue,10.0,pen,10.0,sock,10.833,spoons,12.0,chairs,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,toy,1.983,blue,2.583,white,3.033,glove,3.783,toy,4.383,glove,4.983,toy,5.583,red,6.033,desks,6.783,toy,7.233,chairs,7.983,spoons,8.583,sock,9.183,tables,9.633,spoons,10.233,toy,10.983,blue,11.433,chairs,12.033
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,green,2.0,glove,3.0,card,3.033,tables,4.0,card,4.0,sock,5.0,green,5.433,pen,6.033,glove,7.0,desks,7.0,desks,8.0,tables,9.0,toy,9.033,toy,10.0,spoons,10.0,toy,10.833,spoons,12.0,shoe,12.033
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,desks,1.833,bag,2.433,white,3.183,toy,3.633,hat,4.233,red,4.833,glove,5.583,shoe,6.183,bag,6.633,toy,7.233,red,7.833,tables,8.433,shoe,9.183,tables,9.633,card,10.233,toy,10.983,pen,11.433,green,12.183
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,glove,1.517,hat,2.117,shoe,2.717,hat,3.0,red,4.0,chairs,4.517,blue,5.117,shoe,6.0,desks,6.317,card,6.917,desks,8.0,chairs,8.0,chairs,9.0,glove,9.0,hat,10.0,green,10.517,hat,11.117,card,12.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,blue,1.667,glove,2.267,glove,2.867,bag,3.317,toy,3.917,toy,4.667,chairs,5.267,hat,5.717,toy,6.467,bag,7.067,card,7.517,blue,8.117,chairs,8.717,blue,9.317,glove,9.917,toy,10.667,bag,11.267,red,11.717
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,tables,1.517,toy,2.117,desks,3.0,spoons,3.317,pen,3.917,glove,5.0,sock,5.0,pen,5.717,glove,6.0,bag,6.917,sock,8.0,chairs,8.0,spoons,9.0,white,9.317,toy,10.0,shoe,10.517,red,11.117,card,11.717
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,glove,1.667,chairs,2.267,chairs,2.717,white,3.467,shoe,4.067,sock,4.517,glove,5.117,glove,5.867,card,6.317,white,7.067,hat,7.517,tables,8.117,desks,8.717,bag,9.467,blue,9.917,hat,10.667,sock,11.267,pen,11.867
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,pen,2.0,sock,2.0,white,3.0,desks,3.317,hat,3.917,green,5.0,toy,5.117,pen,6.0,bag,6.0,hat,7.0,tables,8.0,chairs,8.0,glove,9.0,spoons,9.0,chairs,10.0,sock,10.517,card,11.0,chairs,12.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,sock,1.517,sock,2.117,desks,2.717,hat,3.467,hat,4.067,toy,4.517,desks,5.267,red,5.717,desks,6.317,sock,6.917,red,7.517,spoons,8.117,pen,8.717,toy,9.317,glove,9.917,white,10.667,bag,11.117,glove,11.717
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,green,2.0,sock,2.117,desks,2.717,tables,3.0,blue,4.0,bag,5.0,toy,5.117,glove,6.0,pen,6.317,hat,6.917,hat,7.517,glove,8.0,shoe,8.717,glove,9.0,white,10.0,spoons,10.517,card,11.117,hat,11.717
