Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,sock,2.0,bag,3.0,spoons,3.48,blue,4.0,hat,5.0,shoe,5.0,chairs,6.0,desks,6.48,shoe,7.08,desks,7.68,spoons,8.28,desks,8.88,blue,10.0,sock,10.0,desks,11.0,bag,11.28,white,11.88,spoons,12.48
practice,0,Masker,none,2.28,none,2.88,none,3.63,none,4.08,none,4.68,none,5.28,none,5.88,none,6.63,none,7.23,none,7.83,none,8.43,none,9.03,none,9.48,none,10.08,none,10.68,none,11.43,none,12.03,none,12.63
practice,1,Target,white,2.0,card,3.0,pen,4.0,hat,4.08,card,4.68,card,5.0,hat,5.88,pen,6.48,toy,7.0,spoons,8.0,pen,8.0,tables,9.0,pen,10.0,glove,10.0,blue,10.68,spoons,11.0,card,12.0,chairs,12.48
practice,1,Masker,none,2.28,none,2.88,none,3.48,none,4.23,none,4.83,none,5.28,none,6.03,none,6.63,none,7.08,none,7.68,none,8.28,none,8.88,none,9.48,none,10.08,none,10.83,none,11.28,none,11.88,none,12.63
practice,2,Target,sock,2.28,green,2.88,spoons,3.48,card,4.0,glove,4.68,toy,5.28,shoe,6.0,card,6.48,bag,7.0,red,7.68,toy,8.28,blue,8.88,chairs,10.0,spoons,10.08,hat,11.0,white,11.28,pen,11.88,chairs,13.0
practice,2,Masker,none,2.43,none,3.03,none,3.63,none,4.08,none,4.83,none,5.43,none,5.88,none,6.63,none,7.08,none,7.83,none,8.43,none,9.03,none,9.48,none,10.23,none,10.68,none,11.43,none,12.03,none,12.48
practice,3,Target,hat,2.28,pen,2.88,sock,3.48,card,4.08,desks,4.68,hat,5.0,glove,5.88,shoe,6.48,sock,7.0,chairs,8.0,sock,8.28,hat,8.88,desks,10.0,glove,10.08,green,11.0,card,11.28,tables,12.0,green,13.0
practice,3,Masker,none,2.43,none,3.03,none,3.63,none,4.23,none,4.83,none,5.28,none,6.03,none,6.63,none,7.08,none,7.68,none,8.43,none,9.03,none,9.48,none,10.23,none,10.68,none,11.43,none,11.88,none,12.48
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,pen,2.08,green,3.0,toy,3.0,glove,4.0,pen,4.48,tables,5.0,bag,6.0,sock,6.28,bag,6.88,tables,8.0,chairs,8.08,blue,9.0,spoons,9.28,toy,10.0,card,11.0,bag,11.0,white,12.0,red,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,glove,2.23,toy,2.68,card,3.28,white,3.88,spoons,4.63,tables,5.08,toy,5.68,spoons,6.43,red,7.03,glove,7.48,shoe,8.23,bag,8.68,bag,9.43,glove,9.88,red,10.48,tables,11.08,glove,11.68,desks,12.28
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,red,2.0,spoons,2.68,hat,3.28,glove,3.88,spoons,4.48,blue,5.08,desks,5.68,pen,6.0,glove,6.88,tables,7.48,tables,8.0,tables,9.0,toy,9.0,pen,9.88,hat,10.48,spoons,11.08,white,11.68,card,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,chairs,2.08,pen,2.83,card,3.43,pen,4.03,blue,4.63,tables,5.23,hat,5.83,spoons,6.28,red,7.03,card,7.63,bag,8.08,card,8.68,white,9.28,bag,10.03,desks,10.63,tables,11.23,tables,11.83,pen,12.28
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,toy,2.08,tables,2.68,hat,3.0,spoons,4.0,green,4.48,toy,5.0,glove,5.68,sock,6.0,desks,7.0,glove,8.0,spoons,8.0,desks,9.0,card,9.28,glove,9.88,white,11.0,spoons,11.0,chairs,12.0,card,12.28
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,tables,2.23,hat,2.83,desks,3.28,red,3.88,tables,4.63,spoons,5.08,toy,5.83,green,6.28,red,6.88,tables,7.48,shoe,8.08,card,8.68,toy,9.43,card,10.03,toy,10.48,hat,11.08,red,11.68,sock,12.43
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,pen,2.0,bag,3.0,desks,3.0,bag,4.0,pen,4.48,white,5.08,hat,5.68,red,6.0,sock,7.0,bag,7.48,tables,8.08,bag,8.68,card,9.0,shoe,9.88,bag,10.48,spoons,11.0,blue,12.0,chairs,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,green,2.08,sock,2.68,white,3.28,toy,3.88,tables,4.63,pen,5.23,green,5.83,chairs,6.28,shoe,6.88,hat,7.63,spoons,8.23,toy,8.83,chairs,9.28,pen,10.03,card,10.63,hat,11.08,spoons,11.68,bag,12.28
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,chairs,2.0,shoe,2.0,hat,2.573,white,3.0,spoons,4.0,pen,4.373,shoe,5.0,tables,6.0,toy,6.0,pen,7.0,green,7.373,pen,7.973,toy,8.573,white,9.0,pen,9.773,shoe,10.373,tables,11.0,spoons,12.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,pen,1.373,desks,1.973,spoons,2.723,hat,3.173,shoe,3.773,pen,4.523,pen,4.973,green,5.573,pen,6.173,white,6.773,chairs,7.523,pen,8.123,pen,8.723,chairs,9.173,hat,9.923,card,10.523,bag,10.973,pen,11.573
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,spoons,1.373,glove,1.973,red,3.0,card,3.0,tables,3.773,tables,4.373,pen,5.0,sock,5.573,green,6.173,glove,6.773,desks,7.373,chairs,8.0,pen,9.0,glove,9.0,pen,10.0,hat,10.373,sock,10.973,red,11.573
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,shoe,1.523,tables,2.123,pen,2.573,tables,3.173,desks,3.923,pen,4.523,white,4.973,blue,5.723,tables,6.323,tables,6.923,shoe,7.523,sock,7.973,red,8.573,bag,9.173,pen,9.773,sock,10.523,shoe,11.123,tables,11.723
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,spoons,2.0,chairs,2.0,toy,3.0,desks,3.0,spoons,4.0,white,4.373,blue,4.973,chairs,6.0,hat,6.173,toy,6.773,shoe,8.0,toy,7.973,bag,9.0,spoons,9.173,bag,9.773,hat,10.373,red,10.973,pen,11.573
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,red,1.373,shoe,1.973,chairs,2.573,hat,3.173,green,3.773,bag,4.523,sock,5.123,pen,5.573,tables,6.323,white,6.923,hat,7.373,spoons,8.123,card,8.573,pen,9.323,card,9.923,glove,10.523,desks,11.123,spoons,11.723
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,card,1.373,hat,2.0,chairs,3.0,sock,3.0,toy,3.773,green,5.0,shoe,5.0,blue,5.573,blue,6.0,sock,6.773,hat,8.0,spoons,8.0,sock,9.0,pen,9.0,spoons,9.773,spoons,10.373,chairs,11.0,shoe,12.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,tables,1.523,shoe,1.973,tables,2.573,tables,3.173,spoons,3.923,glove,4.373,chairs,4.973,bag,5.723,hat,6.173,green,6.923,chairs,7.373,shoe,7.973,bag,8.573,hat,9.173,green,9.923,hat,10.523,hat,10.973,bag,11.573
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,shoe,1.802,chairs,2.402,white,3.002,card,3.602,bag,4.0,tables,5.0,glove,5.402,red,6.0,spoons,6.602,desks,7.0,bag,8.0,spoons,9.0,toy,9.002,desks,9.602,tables,10.202,bag,11.0,card,12.0,tables,12.002
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,1.952,noise,2.552,noise,3.152,noise,3.752,noise,4.202,noise,4.802,noise,5.552,noise,6.002,noise,6.752,noise,7.202,noise,7.802,noise,8.402,noise,9.152,noise,9.752,noise,10.352,noise,10.802,noise,11.402,noise,12.152
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,chairs,1.802,white,3.0,hat,3.002,card,4.0,red,4.0,chairs,4.802,desks,5.402,chairs,6.0,toy,7.0,hat,7.202,sock,8.0,pen,8.402,bag,9.002,bag,10.0,hat,10.0,white,11.0,desks,11.402,spoons,12.002
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,1.952,noise,2.402,noise,3.152,noise,3.602,noise,4.202,noise,4.952,noise,5.552,noise,6.002,noise,6.602,noise,7.352,noise,7.802,noise,8.552,noise,9.152,noise,9.602,noise,10.202,noise,10.802,noise,11.552,noise,12.152
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,hat,2.0,pen,3.0,red,3.0,shoe,3.602,shoe,4.202,toy,5.0,white,6.0,desks,6.002,toy,6.602,hat,7.0,pen,7.802,spoons,9.0,toy,9.002,desks,10.0,spoons,10.0,toy,11.0,shoe,12.0,pen,12.0
