Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,pen,1.925,green,2.525,hat,3.0,bag,3.725,shoe,4.325,toy,4.925,white,6.0,glove,6.125,desks,7.0,shoe,7.0,glove,8.0,shoe,8.525,chairs,9.125,shoe,9.725,card,10.325,red,10.925,pen,11.525,shoe,12.0
practice,0,Masker,none,2.075,none,2.675,none,3.125,none,3.875,none,4.475,none,5.075,none,5.525,none,6.275,none,6.725,none,7.325,none,7.925,none,8.675,none,9.275,none,9.875,none,10.475,none,11.075,none,11.675,none,12.125
practice,1,Target,hat,2.0,pen,2.525,hat,3.125,tables,3.725,hat,4.0,chairs,4.925,hat,5.525,white,6.0,white,6.725,hat,7.325,toy,8.0,shoe,8.525,pen,9.125,white,9.725,shoe,10.325,shoe,11.0,hat,12.0,spoons,12.0
practice,1,Masker,none,1.925,none,2.675,none,3.275,none,3.875,none,4.325,none,5.075,none,5.675,none,6.125,none,6.875,none,7.475,none,7.925,none,8.675,none,9.275,none,9.875,none,10.475,none,10.925,none,11.525,none,12.125
practice,2,Target,sock,1.925,tables,2.525,glove,3.0,bag,4.0,shoe,4.325,glove,5.0,card,5.525,pen,6.125,shoe,7.0,chairs,7.0,blue,7.925,shoe,9.0,hat,9.125,spoons,9.725,toy,10.325,desks,10.925,hat,11.525,green,12.0
practice,2,Masker,none,2.075,none,2.675,none,3.125,none,3.725,none,4.475,none,4.925,none,5.675,none,6.275,none,6.725,none,7.325,none,8.075,none,8.525,none,9.275,none,9.875,none,10.475,none,11.075,none,11.675,none,12.125
practice,3,Target,toy,2.0,shoe,3.0,toy,3.125,sock,4.0,pen,4.325,desks,5.0,toy,5.525,chairs,6.0,sock,6.725,green,7.0,bag,7.925,red,9.0,toy,9.125,hat,9.725,hat,10.0,card,10.925,hat,11.525,toy,12.125
practice,3,Masker,none,1.925,none,2.525,none,3.275,none,3.725,none,4.475,none,4.925,none,5.675,none,6.125,none,6.875,none,7.325,none,8.075,none,8.525,none,9.275,none,9.875,none,10.325,none,11.075,none,11.675,none,12.275
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,green,1.0,spoons,2.0,blue,3.0,shoe,3.067,sock,4.0,red,4.0,spoons,4.867,shoe,6.0,chairs,6.0,hat,7.0,spoons,7.0,sock,7.867,pen,8.467,sock,9.0,chairs,10.0,toy,10.0,bag,10.867,white,11.467
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,shoe,1.267,shoe,1.867,desks,2.467,shoe,3.217,green,3.667,pen,4.267,spoons,5.017,card,5.467,bag,6.067,card,6.667,shoe,7.267,spoons,8.017,red,8.617,blue,9.067,pen,9.667,spoons,10.267,card,11.017,shoe,11.617
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,spoons,1.267,spoons,2.0,glove,2.467,shoe,3.067,card,4.0,tables,4.0,glove,5.0,bag,6.0,spoons,6.067,toy,7.0,green,7.0,desks,7.867,desks,8.467,shoe,9.067,spoons,9.667,red,10.267,green,10.867,pen,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,tables,1.417,desks,1.867,shoe,2.617,shoe,3.217,desks,3.667,desks,4.267,green,4.867,desks,5.467,desks,6.217,white,6.667,spoons,7.267,bag,8.017,white,8.617,toy,9.217,desks,9.817,spoons,10.417,shoe,11.017,spoons,11.467
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,bag,1.267,sock,1.867,pen,3.0,shoe,3.0,card,4.0,card,4.267,spoons,4.867,desks,5.467,spoons,6.0,glove,7.0,red,7.267,glove,8.0,chairs,9.0,card,9.067,card,10.0,red,10.267,shoe,10.867,toy,11.467
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,spoons,1.417,shoe,2.017,card,2.467,spoons,3.067,tables,3.667,blue,4.417,glove,5.017,chairs,5.617,glove,6.067,tables,6.667,glove,7.417,bag,7.867,hat,8.467,blue,9.217,spoons,9.667,hat,10.417,card,11.017,sock,11.617
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,hat,1.267,bag,2.0,green,3.0,bag,3.067,shoe,4.0,spoons,4.0,desks,4.867,card,6.0,bag,6.0,glove,6.667,blue,7.0,bag,7.867,chairs,8.467,desks,9.067,hat,9.667,blue,10.267,spoons,11.0,desks,11.467
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,toy,1.417,card,1.867,toy,2.467,spoons,3.217,chairs,3.667,glove,4.267,bag,5.017,tables,5.467,sock,6.067,blue,6.817,bag,7.267,white,8.017,hat,8.617,tables,9.217,bag,9.817,desks,10.417,toy,10.867,green,11.617
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,tables,3.0,red,3.216,toy,4.0,tables,4.416,red,5.0,chairs,5.616,green,6.0,glove,6.816,desks,7.416,chairs,8.016,shoe,8.616,spoons,9.216,glove,10.0,card,11.0,desks,11.0,toy,12.0,bag,12.216,desks,12.816
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,chairs,2.616,tables,3.366,green,3.816,desks,4.566,glove,5.016,sock,5.766,desks,6.216,card,6.966,desks,7.566,hat,8.166,tables,8.766,glove,9.366,red,9.816,green,10.416,tables,11.016,tables,11.616,tables,12.366,toy,12.966
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,white,3.0,blue,3.216,chairs,3.816,bag,5.0,chairs,5.0,desks,6.0,sock,6.216,hat,7.0,toy,7.416,red,8.0,bag,9.0,blue,9.0,sock,10.0,tables,11.0,pen,11.016,glove,12.0,bag,12.216,card,12.816
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,spoons,2.616,sock,3.366,blue,3.966,sock,4.416,pen,5.016,blue,5.616,sock,6.366,card,6.816,toy,7.566,shoe,8.016,sock,8.616,tables,9.216,blue,9.816,card,10.416,green,11.166,card,11.616,shoe,12.366,spoons,12.966
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,sock,2.616,tables,3.216,card,4.0,card,5.0,desks,5.0,card,6.0,toy,6.0,hat,7.0,pen,8.0,white,8.0,card,8.616,white,9.216,toy,10.0,green,10.416,shoe,11.0,pen,12.0,green,12.216,toy,12.816
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,card,2.766,card,3.366,chairs,3.816,sock,4.416,toy,5.016,green,5.616,green,6.216,spoons,6.816,toy,7.416,chairs,8.016,card,8.766,shoe,9.366,pen,9.816,pen,10.566,hat,11.016,blue,11.616,desks,12.366,toy,12.966
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,white,3.0,toy,3.216,desks,3.816,white,4.416,blue,5.0,desks,6.0,desks,6.0,sock,6.816,toy,8.0,hat,8.0,red,9.0,tables,9.216,glove,9.816,hat,11.0,sock,11.016,tables,11.616,shoe,12.216,card,12.816
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,chairs,2.616,sock,3.366,glove,3.966,desks,4.566,hat,5.016,tables,5.616,green,6.216,hat,6.966,desks,7.416,spoons,8.016,shoe,8.616,shoe,9.366,glove,9.966,blue,10.416,spoons,11.166,glove,11.766,chairs,12.366,sock,12.966
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,toy,2.797,glove,4.0,hat,4.0,desks,5.0,red,5.0,chairs,6.0,bag,6.397,red,6.997,green,8.0,glove,8.197,hat,8.797,bag,10.0,spoons,9.997,tables,10.597,hat,11.197,bag,11.797,hat,12.397,spoons,13.0
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,2.947,noise,3.397,noise,3.997,noise,4.597,noise,5.197,noise,5.797,noise,6.547,noise,7.147,noise,7.597,noise,8.347,noise,8.947,noise,9.397,noise,10.147,noise,10.747,noise,11.347,noise,11.947,noise,12.547,noise,12.997
