Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,tables,3.0,green,4.0,hat,4.083,card,5.0,toy,5.0,desks,5.883,hat,7.0,desks,7.0,spoons,7.683,tables,8.0,toy,8.883,card,9.483,spoons,10.0,desks,11.0,card,11.283,shoe,11.883,white,13.0,bag,13.0
practice,0,Masker,none,2.883,none,3.483,none,4.233,none,4.683,none,5.283,none,6.033,none,6.483,none,7.083,none,7.833,none,8.283,none,9.033,none,9.633,none,10.083,none,10.683,none,11.433,none,12.033,none,12.483,none,13.083
practice,1,Target,hat,3.0,sock,4.0,tables,4.0,glove,5.0,sock,5.283,glove,6.0,hat,7.0,red,7.083,pen,7.683,shoe,8.283,bag,9.0,white,10.0,tables,10.0,shoe,11.0,hat,11.0,tables,12.0,pen,12.483,pen,13.0
practice,1,Masker,none,2.883,none,3.483,none,4.083,none,4.683,none,5.433,none,5.883,none,6.483,none,7.233,none,7.833,none,8.433,none,8.883,none,9.483,none,10.083,none,10.683,none,11.283,none,11.883,none,12.633,none,13.083
practice,2,Target,tables,2.883,tables,3.483,red,4.083,sock,4.683,toy,5.0,white,5.883,tables,6.483,red,7.0,chairs,8.0,sock,8.0,desks,9.0,chairs,9.483,chairs,10.0,spoons,10.683,toy,11.0,glove,12.0,toy,13.0,chairs,13.0
practice,2,Masker,none,3.033,none,3.633,none,4.233,none,4.833,none,5.283,none,6.033,none,6.633,none,7.083,none,7.683,none,8.283,none,8.883,none,9.633,none,10.083,none,10.833,none,11.283,none,11.883,none,12.483,none,13.083
practice,3,Target,card,3.0,card,4.0,blue,4.0,pen,4.683,desks,5.283,card,6.0,bag,6.483,red,7.083,chairs,8.0,tables,8.283,hat,8.883,green,10.0,bag,10.083,bag,10.683,tables,11.283,hat,12.0,card,12.483,toy,13.083
practice,3,Masker,none,2.883,none,3.483,none,4.083,none,4.833,none,5.433,none,5.883,none,6.633,none,7.233,none,7.683,none,8.433,none,9.033,none,9.483,none,10.233,none,10.833,none,11.433,none,11.883,none,12.633,none,13.233
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,1.789,chairs,3.0,shoe,2.989,pen,3.589,card,4.189,desks,4.789,chairs,5.389,desks,5.989,red,7.0,glove,7.0,spoons,8.0,shoe,9.0,sock,8.989,glove,10.0,white,10.189,green,10.789,spoons,12.0,card,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,1.939,chairs,2.389,tables,3.139,chairs,3.739,glove,4.339,bag,4.939,tables,5.539,spoons,6.139,pen,6.589,spoons,7.189,glove,7.789,sock,8.389,bag,9.139,green,9.589,card,10.339,spoons,10.939,tables,11.389,red,11.989
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,chairs,2.0,bag,2.389,bag,2.989,card,4.0,bag,4.0,tables,5.0,spoons,5.389,red,6.0,hat,6.589,pen,7.189,hat,7.789,desks,9.0,bag,9.0,card,9.589,desks,10.189,sock,11.0,green,12.0,desks,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,white,1.789,card,2.539,pen,3.139,bag,3.589,green,4.189,card,4.789,red,5.539,spoons,5.989,spoons,6.739,tables,7.339,glove,7.939,hat,8.389,sock,8.989,spoons,9.739,glove,10.339,hat,10.789,spoons,11.389,bag,11.989
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,desks,1.789,sock,2.389,spoons,3.0,glove,4.0,card,4.0,pen,5.0,red,5.389,desks,5.989,blue,6.589,blue,7.0,bag,7.789,pen,9.0,white,8.989,bag,10.0,shoe,10.189,pen,10.789,sock,11.389,tables,11.989
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,toy,1.939,pen,2.539,hat,2.989,desks,3.589,green,4.189,desks,4.789,spoons,5.539,tables,6.139,desks,6.739,card,7.189,hat,7.939,white,8.389,desks,9.139,spoons,9.589,bag,10.339,blue,10.939,red,11.539,pen,12.139
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,hat,1.789,sock,3.0,tables,2.989,glove,3.589,glove,4.189,green,5.0,tables,6.0,red,6.0,toy,7.0,sock,7.0,hat,7.789,sock,9.0,bag,9.0,sock,9.589,green,10.0,card,10.789,green,12.0,glove,11.989
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,green,1.939,chairs,2.389,card,3.139,red,3.739,red,4.339,hat,4.789,sock,5.389,card,5.989,tables,6.589,bag,7.189,tables,7.939,bag,8.389,sock,8.989,white,9.739,pen,10.189,sock,10.939,sock,11.389,glove,12.139
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,spoons,2.108,desks,3.0,card,3.0,glove,3.908,desks,4.508,red,5.108,hat,6.0,shoe,6.0,shoe,7.0,red,7.508,hat,8.0,sock,9.0,blue,9.0,spoons,10.0,desks,11.0,tables,11.108,desks,11.708,pen,12.308
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,glove,2.258,pen,2.708,red,3.308,desks,4.058,sock,4.658,bag,5.258,pen,5.708,tables,6.308,glove,6.908,sock,7.658,spoons,8.108,glove,8.708,shoe,9.308,red,9.908,hat,10.508,desks,11.258,green,11.858,green,12.458
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,chairs,2.108,glove,3.0,shoe,3.308,blue,4.0,card,4.508,spoons,5.108,sock,5.708,tables,6.308,shoe,6.908,blue,7.508,spoons,8.108,desks,8.708,spoons,9.308,desks,10.0,white,11.0,bag,11.0,white,12.0,spoons,12.308
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,blue,2.258,shoe,2.708,white,3.458,glove,3.908,toy,4.658,spoons,5.258,red,5.858,card,6.458,toy,7.058,desks,7.658,bag,8.258,card,8.858,blue,9.458,bag,9.908,spoons,10.508,card,11.108,desks,11.708,tables,12.458
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,sock,2.108,tables,2.708,pen,3.0,sock,3.908,card,4.508,red,5.0,desks,6.0,desks,6.0,bag,6.908,red,7.508,blue,8.108,desks,9.0,sock,9.308,desks,9.908,card,10.508,desks,11.0,white,11.708,glove,12.308
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,red,2.258,shoe,2.858,white,3.308,shoe,4.058,shoe,4.658,hat,5.108,white,5.708,shoe,6.308,desks,7.058,spoons,7.658,hat,8.258,shoe,8.708,glove,9.458,green,10.058,glove,10.658,tables,11.108,shoe,11.858,desks,12.458
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,chairs,2.108,spoons,2.708,sock,3.308,desks,3.908,chairs,4.508,shoe,5.108,toy,5.708,shoe,6.308,desks,7.0,bag,7.508,desks,8.0,shoe,9.0,spoons,9.0,chairs,9.908,chairs,10.508,red,11.0,pen,11.708,white,12.308
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,green,2.258,sock,2.858,glove,3.458,spoons,4.058,red,4.658,tables,5.258,hat,5.858,glove,6.458,bag,6.908,sock,7.658,bag,8.108,hat,8.708,red,9.308,shoe,10.058,pen,10.658,tables,11.108,desks,11.858,pen,12.458
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,bag,2.783,white,4.0,hat,4.0,spoons,4.583,card,5.0,sock,6.0,glove,6.383,pen,6.983,desks,8.0,white,8.183,chairs,9.0,shoe,10.0,shoe,10.0,white,10.583,bag,11.0,hat,11.783,glove,12.383,sock,12.983
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,2.933,noise,3.383,noise,3.983,noise,4.733,noise,5.183,noise,5.783,noise,6.533,noise,7.133,noise,7.583,noise,8.333,noise,8.783,noise,9.383,noise,9.983,noise,10.733,noise,11.183,noise,11.933,noise,12.533,noise,13.133
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,card,2.783,bag,3.383,card,3.983,pen,4.583,bag,5.0,card,5.783,green,7.0,white,6.983,shoe,8.0,bag,8.183,tables,8.783,bag,9.383,chairs,9.983,desks,10.583,toy,11.183,pen,12.0,shoe,12.383,blue,13.0
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,2.933,noise,3.533,noise,4.133,noise,4.733,noise,5.183,noise,5.933,noise,6.383,noise,7.133,noise,7.583,noise,8.333,noise,8.933,noise,9.533,noise,10.133,noise,10.733,noise,11.333,noise,11.783,noise,12.533,noise,12.983
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,shoe,2.783,desks,3.383,white,3.983,shoe,4.583,card,5.0,pen,5.783,card,7.0,card,6.983,shoe,8.0,pen,8.183,bag,9.0,shoe,9.383,pen,9.983,hat,11.0,green,11.0,bag,12.0,glove,12.383,card,12.983
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,2.933,noise,3.533,noise,4.133,noise,4.733,noise,5.183,noise,5.933,noise,6.383,noise,7.133,noise,7.583,noise,8.333,noise,8.783,noise,9.533,noise,10.133,noise,10.583,noise,11.183,noise,11.783,noise,12.533,noise,13.133
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,spoons,3.0,glove,4.0,blue,3.983,desks,5.0,chairs,5.183,bag,6.0,card,6.383,hat,7.0,glove,7.583,spoons,8.0,spoons,8.783,hat,9.383,blue,9.983,spoons,10.583,toy,11.0,tables,12.0,spoons,13.0,red,13.0
m_noise__ild_0__itd_50__targ_l__control_0,3,Masker,noise,2.783,noise,3.383,noise,4.133,noise,4.583,noise,5.333,noise,5.783,noise,6.533,noise,6.983,noise,7.733,noise,8.183,noise,8.933,noise,9.533,noise,10.133,noise,10.733,noise,11.183,noise,11.783,noise,12.383,noise,12.983
m_noise__ild_0__itd_50__targ_r__control_0,0,Target,red,2.0,bag,3.0,hat,3.393,tables,4.0,spoons,5.0,desks,5.0,shoe,5.793,chairs,6.393,shoe,6.993,glove,8.0,chairs,8.193,glove,9.0,pen,9.393,hat,9.993,green,10.593,red,11.193,chairs,11.793,shoe,12.393
m_noise__ild_0__itd_50__targ_r__control_0,0,Masker,noise,2.193,noise,2.793,noise,3.543,noise,3.993,noise,4.593,noise,5.193,noise,5.943,noise,6.543,noise,7.143,noise,7.593,noise,8.343,noise,8.793,noise,9.543,noise,10.143,noise,10.743,noise,11.343,noise,11.943,noise,12.543
m_noise__ild_0__itd_50__targ_r__control_0,1,Target,card,2.0,spoons,3.0,blue,4.0,sock,4.0,bag,4.593,bag,5.0,red,6.0,tables,6.393,glove,6.993,spoons,7.593,tables,8.193,bag,9.0,red,10.0,spoons,9.993,hat,11.0,green,11.193,spoons,12.0,chairs,13.0
m_noise__ild_0__itd_50__targ_r__control_0,1,Masker,noise,2.193,noise,2.793,noise,3.393,noise,3.993,noise,4.743,noise,5.193,noise,5.793,noise,6.543,noise,7.143,noise,7.743,noise,8.343,noise,8.793,noise,9.393,noise,10.143,noise,10.593,noise,11.343,noise,11.793,noise,12.393
m_noise__ild_0__itd_50__targ_r__control_0,2,Target,pen,2.0,tables,2.793,pen,3.393,white,3.993,spoons,5.0,bag,5.193,hat,6.0,pen,6.393,card,7.0,green,7.593,red,8.0,shoe,8.793,toy,10.0,shoe,9.993,bag,11.0,tables,11.193,red,11.793,bag,12.393
m_noise__ild_0__itd_50__targ_r__control_0,2,Masker,noise,2.193,noise,2.943,noise,3.543,noise,4.143,noise,4.593,noise,5.343,noise,5.793,noise,6.543,noise,6.993,noise,7.743,noise,8.193,noise,8.943,noise,9.393,noise,10.143,noise,10.593,noise,11.343,noise,11.943,noise,12.543
m_noise__ild_0__itd_50__targ_r__control_0,3,Target,bag,2.0,bag,2.793,desks,4.0,card,4.0,green,5.0,spoons,5.0,toy,6.0,desks,6.393,toy,6.993,desks,8.0,tables,8.0,toy,9.0,pen,9.393,shoe,9.993,white,10.593,bag,11.193,green,11.793,blue,13.0
m_noise__ild_0__itd_50__targ_r__control_0,3,Masker,noise,2.193,noise,2.943,noise,3.393,noise,3.993,noise,4.593,noise,5.193,noise,5.793,noise,6.543,noise,7.143,noise,7.593,noise,8.193,noise,8.793,noise,9.543,noise,10.143,noise,10.743,noise,11.343,noise,11.943,noise,12.393
m_speech__ild_0__itd_500__targ_l__control_0,0,Target,bag,1.0,spoons,2.0,pen,3.0,bag,3.0,green,4.0,spoons,4.304,green,5.0,green,5.504,desks,6.104,spoons,7.0,shoe,7.0,spoons,8.0,hat,9.0,sock,9.0,hat,10.0,hat,10.0,chairs,11.0,bag,11.504
m_speech__ild_0__itd_500__targ_l__control_0,0,Masker,spoons,1.304,bag,1.904,glove,2.504,desks,3.104,desks,3.704,card,4.454,hat,4.904,bag,5.654,shoe,6.254,sock,6.704,desks,7.304,green,7.904,shoe,8.504,hat,9.104,bag,9.704,glove,10.304,green,10.904,hat,11.654
m_speech__ild_0__itd_500__targ_l__control_0,1,Target,pen,1.304,card,2.0,desks,2.504,chairs,3.0,bag,3.704,shoe,4.0,green,5.0,bag,5.504,desks,6.104,spoons,7.0,bag,7.304,pen,8.0,green,8.504,blue,9.104,spoons,9.704,toy,10.0,green,10.904,chairs,12.0
m_speech__ild_0__itd_500__targ_l__control_0,1,Masker,red,1.454,pen,1.904,white,2.654,toy,3.104,white,3.854,card,4.304,pen,4.904,desks,5.654,spoons,6.254,desks,6.704,shoe,7.454,bag,7.904,bag,8.654,glove,9.254,bag,9.854,spoons,10.304,tables,11.054,blue,11.504
m_speech__ild_0__itd_500__targ_l__control_0,2,Target,toy,1.304,green,2.0,sock,3.0,white,3.0,desks,4.0,chairs,4.304,tables,5.0,spoons,5.504,tables,6.104,hat,7.0,tables,7.304,tables,8.0,toy,9.0,desks,9.0,blue,9.704,bag,10.304,glove,11.0,hat,11.504
m_speech__ild_0__itd_500__targ_l__control_0,2,Masker,bag,1.454,toy,1.904,toy,2.504,bag,3.104,toy,3.704,tables,4.454,toy,4.904,toy,5.654,sock,6.254,blue,6.704,sock,7.454,hat,7.904,white,8.504,shoe,9.104,tables,9.854,white,10.454,card,10.904,white,11.654
m_speech__ild_0__itd_500__targ_l__control_0,3,Target,green,1.304,white,2.0,shoe,2.504,shoe,3.104,pen,4.0,tables,4.304,white,5.0,card,5.504,shoe,6.104,tables,6.704,toy,7.0,hat,8.0,shoe,9.0,chairs,9.0,card,9.704,glove,10.304,card,11.0,hat,11.504
m_speech__ild_0__itd_500__targ_l__control_0,3,Masker,desks,1.454,pen,1.904,green,2.654,chairs,3.254,card,3.704,spoons,4.454,pen,4.904,bag,5.654,glove,6.254,spoons,6.854,hat,7.304,toy,7.904,blue,8.504,spoons,9.104,white,9.854,desks,10.454,shoe,10.904,shoe,11.654
m_speech__ild_0__itd_500__targ_r__control_0,0,Target,chairs,1.064,tables,1.664,sock,2.264,hat,2.864,shoe,4.0,card,4.0,sock,5.0,white,5.0,sock,6.0,pen,6.464,blue,7.0,hat,8.0,spoons,8.264,hat,9.0,toy,10.0,glove,10.064,shoe,11.0,card,11.264
