Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,shoe,1.655,glove,2.255,white,2.855,sock,3.455,card,4.055,red,5.0,card,5.0,white,6.0,toy,7.0,bag,7.0,glove,8.0,chairs,8.0,shoe,8.855,blue,10.0,pen,10.055,bag,11.0,spoons,11.255,tables,11.855
practice,0,Masker,none,1.805,none,2.405,none,3.005,none,3.605,none,4.205,none,4.655,none,5.255,none,5.855,none,6.455,none,7.055,none,7.655,none,8.255,none,9.005,none,9.455,none,10.205,none,10.655,none,11.405,none,12.005
practice,1,Target,blue,2.0,spoons,2.0,bag,2.855,bag,4.0,spoons,4.055,card,5.0,shoe,5.0,blue,5.855,spoons,7.0,tables,7.0,hat,8.0,card,8.255,bag,8.855,shoe,10.0,shoe,10.055,shoe,10.655,pen,11.0,toy,11.855
practice,1,Masker,none,1.655,none,2.255,none,3.005,none,3.455,none,4.205,none,4.655,none,5.255,none,6.005,none,6.455,none,7.055,none,7.655,none,8.405,none,9.005,none,9.455,none,10.205,none,10.805,none,11.255,none,12.005
practice,2,Target,white,2.0,glove,2.0,tables,2.855,spoons,3.455,pen,4.0,sock,4.655,pen,5.0,spoons,6.0,hat,6.455,glove,7.0,blue,8.0,shoe,8.0,spoons,9.0,shoe,9.455,shoe,10.055,bag,10.655,desks,11.0,sock,12.0
practice,2,Masker,none,1.655,none,2.255,none,3.005,none,3.605,none,4.055,none,4.805,none,5.255,none,5.855,none,6.605,none,7.055,none,7.655,none,8.255,none,8.855,none,9.605,none,10.205,none,10.805,none,11.255,none,11.855
practice,3,Target,desks,2.0,tables,2.255,tables,3.0,shoe,4.0,shoe,4.0,toy,5.0,toy,5.0,chairs,6.0,toy,7.0,sock,7.055,pen,8.0,shoe,8.0,glove,8.855,green,9.455,red,10.055,bag,10.655,card,11.0,tables,11.855
practice,3,Masker,none,1.655,none,2.405,none,2.855,none,3.455,none,4.055,none,4.655,none,5.255,none,5.855,none,6.455,none,7.205,none,7.655,none,8.255,none,9.005,none,9.605,none,10.205,none,10.805,none,11.255,none,12.005
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,card,2.679,chairs,3.279,shoe,4.0,spoons,4.479,glove,5.079,bag,6.0,green,6.279,pen,7.0,chairs,7.479,pen,8.0,glove,9.0,chairs,9.0,pen,9.879,shoe,11.0,green,11.079,bag,12.0,pen,12.279,bag,13.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,spoons,2.829,bag,3.429,glove,3.879,chairs,4.629,bag,5.229,shoe,5.679,chairs,6.429,pen,6.879,shoe,7.629,glove,8.079,red,8.679,shoe,9.279,red,10.029,shoe,10.479,shoe,11.229,red,11.679,spoons,12.429,blue,12.879
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,bag,2.679,blue,3.279,glove,3.879,toy,5.0,toy,5.079,tables,6.0,white,6.279,hat,7.0,glove,8.0,sock,8.0,tables,8.679,toy,9.0,tables,9.879,card,10.479,sock,11.079,shoe,12.0,chairs,12.279,sock,13.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,chairs,2.829,pen,3.429,sock,4.029,bag,4.479,tables,5.229,shoe,5.679,spoons,6.429,glove,6.879,card,7.479,green,8.079,toy,8.829,pen,9.279,desks,10.029,blue,10.629,toy,11.229,white,11.679,sock,12.429,chairs,12.879
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,toy,2.679,glove,3.279,red,3.879,bag,4.479,sock,5.0,hat,6.0,bag,6.0,red,7.0,sock,7.479,blue,8.0,card,8.679,bag,9.279,hat,9.879,bag,10.479,toy,11.079,desks,12.0,toy,12.0,tables,13.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,blue,2.829,white,3.429,hat,4.029,white,4.629,spoons,5.079,toy,5.679,spoons,6.279,chairs,6.879,tables,7.629,desks,8.079,blue,8.829,toy,9.429,glove,10.029,tables,10.629,glove,11.229,hat,11.679,hat,12.279,spoons,12.879
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,white,3.0,bag,3.279,shoe,4.0,sock,4.479,chairs,5.0,shoe,6.0,spoons,6.0,tables,7.0,glove,7.479,spoons,8.079,red,9.0,red,9.0,shoe,9.879,tables,10.479,card,11.0,blue,11.679,shoe,12.279,toy,13.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,glove,2.679,glove,3.429,chairs,3.879,blue,4.629,sock,5.079,sock,5.679,white,6.279,toy,6.879,sock,7.629,glove,8.229,toy,8.679,spoons,9.279,chairs,10.029,spoons,10.629,hat,11.079,shoe,11.829,glove,12.429,shoe,12.879
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,pen,1.41,red,2.0,desks,2.61,sock,3.0,bag,3.81,tables,5.0,blue,5.0,tables,5.61,spoons,6.21,tables,6.81,glove,8.0,blue,8.01,toy,8.61,bag,9.0,bag,10.0,shoe,10.41,toy,11.01,pen,11.61
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,bag,1.56,chairs,2.01,toy,2.76,toy,3.21,bag,3.96,card,4.41,tables,5.01,shoe,5.76,pen,6.36,card,6.96,white,7.41,spoons,8.16,bag,8.76,toy,9.21,hat,9.81,desks,10.56,pen,11.16,green,11.76
