Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,2.0,tables,2.0,pen,3.0,glove,3.545,green,4.0,glove,5.0,shoe,5.345,spoons,5.945,tables,6.545,desks,7.0,toy,7.745,glove,8.0,spoons,9.0,sock,9.545,shoe,10.145,tables,10.745,sock,11.0,white,11.945
practice,0,Masker,none,1.745,none,2.345,none,2.945,none,3.695,none,4.145,none,4.745,none,5.495,none,6.095,none,6.695,none,7.145,none,7.895,none,8.345,none,8.945,none,9.695,none,10.295,none,10.895,none,11.345,none,12.095
practice,1,Target,desks,1.745,pen,2.0,card,2.945,desks,4.0,desks,4.0,sock,5.0,hat,5.0,shoe,5.945,chairs,7.0,red,7.145,glove,8.0,bag,8.345,hat,8.945,green,10.0,hat,10.145,green,11.0,red,11.0,chairs,11.945
practice,1,Masker,none,1.895,none,2.345,none,3.095,none,3.545,none,4.145,none,4.745,none,5.345,none,6.095,none,6.545,none,7.295,none,7.745,none,8.495,none,9.095,none,9.545,none,10.295,none,10.745,none,11.345,none,12.095
practice,2,Target,card,1.745,hat,2.345,chairs,2.945,sock,4.0,white,4.145,sock,4.745,red,5.0,card,5.945,card,7.0,sock,7.145,chairs,8.0,blue,8.345,card,9.0,sock,10.0,blue,10.0,glove,11.0,desks,11.345,toy,11.945
practice,2,Masker,none,1.895,none,2.495,none,3.095,none,3.545,none,4.295,none,4.895,none,5.345,none,6.095,none,6.545,none,7.295,none,7.745,none,8.495,none,8.945,none,9.545,none,10.145,none,10.745,none,11.495,none,12.095
practice,3,Target,red,1.745,tables,2.0,white,3.0,blue,3.545,pen,4.0,desks,4.745,bag,5.0,tables,6.0,hat,7.0,sock,7.145,card,7.745,tables,8.345,white,8.945,hat,10.0,shoe,10.145,sock,10.745,toy,11.0,hat,11.945
practice,3,Masker,none,1.895,none,2.345,none,2.945,none,3.695,none,4.145,none,4.895,none,5.345,none,5.945,none,6.545,none,7.295,none,7.895,none,8.495,none,9.095,none,9.545,none,10.295,none,10.895,none,11.345,none,12.095
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,bag,2.477,shoe,3.077,hat,4.0,chairs,4.277,hat,4.877,red,6.0,card,6.0,white,6.677,desks,7.0,sock,8.0,shoe,9.0,spoons,9.0,red,9.677,hat,10.277,bag,11.0,bag,12.0,blue,12.077,sock,13.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,bag,2.627,pen,3.227,chairs,3.677,green,4.427,glove,5.027,sock,5.477,sock,6.077,toy,6.827,spoons,7.277,chairs,7.877,sock,8.477,hat,9.077,sock,9.827,green,10.427,spoons,10.877,spoons,11.477,shoe,12.227,tables,12.677
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,chairs,2.477,desks,3.0,red,3.677,pen,4.277,card,5.0,tables,5.477,pen,6.0,bag,7.0,desks,7.277,toy,7.877,card,9.0,red,9.077,bag,9.677,toy,10.277,card,10.877,pen,11.477,bag,12.077,white,12.677
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,hat,2.627,glove,3.077,sock,3.827,desks,4.427,green,4.877,desks,5.627,desks,6.077,glove,6.677,glove,7.427,blue,8.027,shoe,8.477,card,9.227,chairs,9.827,card,10.427,blue,11.027,pen,11.627,sock,12.227,bag,12.827
