Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,2.0,bag,2.859,toy,4.0,bag,4.059,glove,4.659,toy,5.0,shoe,6.0,toy,6.459,toy,7.0,desks,8.0,toy,8.259,bag,9.0,white,10.0,glove,10.059,green,10.659,blue,11.259,bag,12.0,hat,13.0
practice,0,Masker,none,2.259,none,3.009,none,3.459,none,4.209,none,4.809,none,5.259,none,5.859,none,6.609,none,7.059,none,7.659,none,8.409,none,8.859,none,9.459,none,10.209,none,10.809,none,11.409,none,11.859,none,12.459
practice,1,Target,hat,2.0,card,2.859,sock,4.0,shoe,4.0,toy,4.659,blue,5.0,chairs,6.0,pen,7.0,shoe,7.059,hat,7.659,pen,8.259,pen,8.859,card,10.0,sock,10.0,desks,11.0,hat,11.0,blue,11.859,chairs,12.459
practice,1,Masker,none,2.259,none,3.009,none,3.459,none,4.059,none,4.809,none,5.259,none,5.859,none,6.459,none,7.209,none,7.809,none,8.409,none,9.009,none,9.459,none,10.059,none,10.659,none,11.259,none,12.009,none,12.609
practice,2,Target,hat,2.259,glove,3.0,spoons,3.459,glove,4.059,desks,4.659,shoe,5.0,white,6.0,spoons,7.0,sock,7.0,spoons,7.659,glove,8.259,tables,9.0,pen,10.0,spoons,10.059,glove,10.659,green,11.259,hat,12.0,blue,12.459
practice,2,Masker,none,2.409,none,2.859,none,3.609,none,4.209,none,4.809,none,5.259,none,5.859,none,6.459,none,7.059,none,7.809,none,8.409,none,8.859,none,9.459,none,10.209,none,10.809,none,11.409,none,11.859,none,12.609
practice,3,Target,card,2.259,bag,3.0,blue,3.459,green,4.0,pen,5.0,glove,5.259,pen,6.0,pen,7.0,toy,7.059,pen,8.0,pen,8.259,shoe,9.0,chairs,9.459,desks,10.059,chairs,10.659,white,11.0,white,12.0,glove,12.459
practice,3,Masker,none,2.409,none,2.859,none,3.609,none,4.059,none,4.659,none,5.409,none,5.859,none,6.459,none,7.209,none,7.659,none,8.409,none,8.859,none,9.609,none,10.209,none,10.809,none,11.259,none,11.859,none,12.609
m_speech__ild_0__itd_50__targ_l,0,Target,shoe,3.0,bag,3.474,glove,4.0,desks,5.0,hat,5.274,bag,5.874,white,7.0,white,7.074,chairs,7.674,chairs,8.0,pen,9.0,white,9.474,glove,10.074,card,10.674,spoons,11.274,tables,12.0,shoe,12.474,red,13.074
m_speech__ild_0__itd_50__targ_l,0,Masker,pen,2.874,green,3.624,card,4.074,toy,4.674,chairs,5.424,red,6.024,glove,6.474,card,7.224,sock,7.824,chairs,8.274,tables,8.874,chairs,9.624,spoons,10.224,pen,10.824,glove,11.424,glove,11.874,glove,12.624,sock,13.224
m_speech__ild_0__itd_50__targ_l,1,Target,white,3.0,pen,4.0,glove,4.074,card,4.674,toy,5.274,bag,6.0,blue,7.0,toy,7.074,sock,8.0,white,8.274,spoons,9.0,pen,10.0,desks,10.0,sock,11.0,sock,11.0,card,11.874,pen,13.0,tables,13.0
m_speech__ild_0__itd_50__targ_l,1,Masker,spoons,2.874,bag,3.474,sock,4.224,green,4.824,tables,5.424,hat,5.874,toy,6.474,sock,7.224,red,7.674,bag,8.424,shoe,8.874,tables,9.474,blue,10.074,tables,10.674,pen,11.274,red,12.024,spoons,12.474,sock,13.074
m_speech__ild_0__itd_50__targ_l,2,Target,pen,3.0,spoons,3.474,green,4.074,blue,5.0,sock,5.0,white,6.0,spoons,6.474,desks,7.0,glove,8.0,sock,8.274,tables,8.874,spoons,10.0,white,10.074,hat,11.0,glove,11.274,sock,11.874,hat,12.474,toy,13.0
m_speech__ild_0__itd_50__targ_l,2,Masker,desks,2.874,blue,3.624,hat,4.224,glove,4.674,blue,5.274,spoons,5.874,tables,6.624,glove,7.074,sock,7.674,spoons,8.424,blue,9.024,spoons,9.474,glove,10.224,glove,10.674,glove,11.424,hat,12.024,toy,12.624,spoons,13.074
m_speech__ild_0__itd_50__targ_l,3,Target,card,3.0,shoe,4.0,chairs,4.0,card,5.0,blue,5.0,sock,5.874,chairs,6.474,sock,7.074,chairs,8.0,green,8.0,chairs,8.874,white,10.0,pen,10.0,toy,10.674,sock,11.274,pen,12.0,desks,13.0,tables,13.074
m_speech__ild_0__itd_50__targ_l,3,Masker,shoe,2.874,sock,3.474,card,4.074,shoe,4.674,toy,5.274,shoe,6.024,red,6.624,spoons,7.224,card,7.674,toy,8.274,white,9.024,pen,9.474,bag,10.074,sock,10.824,chairs,11.424,toy,11.874,shoe,12.474,chairs,13.224
m_speech__ild_0__itd_50__targ_r,0,Target,green,3.0,spoons,4.0,toy,3.977,pen,5.0,tables,5.0,toy,5.777,toy,7.0,shoe,6.977,pen,8.0,spoons,8.177,pen,8.777,sock,10.0,spoons,9.977,hat,11.0,toy,11.0,toy,12.0,blue,12.377,bag,13.0
m_speech__ild_0__itd_50__targ_r,0,Masker,pen,2.777,chairs,3.377,blue,4.127,white,4.577,bag,5.177,blue,5.927,blue,6.377,glove,7.127,chairs,7.577,pen,8.327,toy,8.927,toy,9.377,bag,10.127,bag,10.577,tables,11.177,spoons,11.777,spoons,12.527,toy,12.977
m_speech__ild_0__itd_50__targ_r,1,Target,card,2.777,sock,4.0,spoons,4.0,white,5.0,pen,5.177,tables,5.777,spoons,6.377,hat,6.977,card,8.0,spoons,8.0,bag,9.0,green,10.0,desks,10.0,glove,11.0,chairs,11.177,spoons,12.0,blue,13.0,spoons,13.0
m_speech__ild_0__itd_50__targ_r,1,Masker,blue,2.927,hat,3.377,card,3.977,glove,4.577,tables,5.327,spoons,5.927,toy,6.527,spoons,7.127,desks,7.577,toy,8.177,hat,8.777,card,9.377,glove,9.977,green,10.577,shoe,11.327,spoons,11.777,desks,12.377,blue,12.977
m_speech__ild_0__itd_50__targ_r,2,Target,sock,3.0,tables,4.0,white,3.977,blue,4.577,shoe,5.0,bag,6.0,chairs,7.0,pen,7.0,chairs,7.577,sock,8.0,desks,9.0,tables,9.377,blue,10.0,desks,11.0,glove,11.0,tables,12.0,bag,12.377,blue,13.0
