Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,1.0,desks,1.881,glove,3.0,shoe,3.081,glove,4.0,desks,4.0,card,4.881,blue,6.0,pen,6.0,card,6.681,pen,7.0,blue,7.881,spoons,8.481,chairs,9.0,red,10.0,card,10.281,bag,11.0,blue,12.0
practice,0,Masker,none,1.281,none,2.031,none,2.481,none,3.231,none,3.681,none,4.281,none,5.031,none,5.481,none,6.081,none,6.831,none,7.281,none,8.031,none,8.631,none,9.081,none,9.681,none,10.431,none,10.881,none,11.481
practice,1,Target,card,1.0,desks,2.0,blue,3.0,card,3.081,card,3.681,sock,4.0,card,4.881,card,5.481,tables,6.0,desks,7.0,chairs,7.281,tables,8.0,blue,8.481,hat,9.081,tables,9.681,glove,10.281,pen,11.0,card,11.481
practice,1,Masker,none,1.281,none,1.881,none,2.481,none,3.231,none,3.831,none,4.281,none,5.031,none,5.631,none,6.081,none,6.681,none,7.431,none,7.881,none,8.631,none,9.231,none,9.831,none,10.431,none,10.881,none,11.631
practice,2,Target,pen,1.281,blue,1.881,chairs,2.481,white,3.0,chairs,4.0,tables,4.0,shoe,4.881,hat,6.0,spoons,6.0,glove,7.0,card,7.281,shoe,7.881,chairs,9.0,card,9.0,red,9.681,blue,10.281,shoe,10.881,chairs,11.481
practice,2,Masker,none,1.431,none,2.031,none,2.631,none,3.081,none,3.681,none,4.281,none,5.031,none,5.481,none,6.081,none,6.681,none,7.431,none,8.031,none,8.481,none,9.081,none,9.831,none,10.431,none,11.031,none,11.631
practice,3,Target,glove,1.281,chairs,1.881,red,2.481,card,3.081,hat,3.681,hat,4.281,bag,4.881,bag,5.481,hat,6.0,white,7.0,desks,7.281,glove,8.0,toy,8.481,card,9.081,glove,9.681,glove,10.0,sock,10.881,shoe,12.0
practice,3,Masker,none,1.431,none,2.031,none,2.631,none,3.231,none,3.831,none,4.431,none,5.031,none,5.631,none,6.081,none,6.681,none,7.431,none,7.881,none,8.631,none,9.231,none,9.831,none,10.281,none,11.031,none,11.481
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,2.0,spoons,2.769,blue,4.0,desks,3.969,glove,4.569,shoe,5.0,pen,5.769,green,6.369,sock,7.0,spoons,8.0,blue,8.0,red,9.0,desks,10.0,card,9.969,pen,11.0,shoe,11.0,spoons,12.0,glove,12.369
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,spoons,2.169,bag,2.919,pen,3.369,bag,4.119,green,4.719,glove,5.169,red,5.919,glove,6.519,glove,6.969,shoe,7.569,hat,8.169,sock,8.769,sock,9.369,desks,10.119,glove,10.569,sock,11.169,white,11.769,desks,12.519
