Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,green,2.802,desks,4.0,red,4.002,shoe,4.602,tables,5.202,shoe,6.0,bag,7.0,shoe,7.002,shoe,7.602,pen,8.202,red,9.0,bag,10.0,sock,10.0,tables,10.602,desks,11.0,tables,12.0,red,13.0,glove,13.0
practice,0,Masker,none,2.952,none,3.402,none,4.152,none,4.752,none,5.352,none,5.802,none,6.402,none,7.152,none,7.752,none,8.352,none,8.802,none,9.402,none,10.002,none,10.752,none,11.202,none,11.802,none,12.402,none,13.002
practice,1,Target,pen,2.802,spoons,4.0,sock,4.002,card,4.602,chairs,5.202,desks,6.0,spoons,6.402,toy,7.002,glove,7.602,toy,8.202,blue,9.0,desks,9.402,blue,10.002,card,11.0,blue,11.202,glove,12.0,chairs,13.0,spoons,13.0
practice,1,Masker,none,2.952,none,3.402,none,4.152,none,4.752,none,5.352,none,5.802,none,6.552,none,7.152,none,7.752,none,8.352,none,8.802,none,9.552,none,10.152,none,10.602,none,11.352,none,11.802,none,12.402,none,13.002
practice,2,Target,chairs,3.0,pen,4.0,shoe,4.0,card,5.0,toy,5.202,white,6.0,pen,7.0,shoe,7.0,tables,7.602,spoons,8.0,white,8.802,pen,10.0,blue,10.002,red,10.602,pen,11.0,chairs,11.802,hat,12.402,desks,13.0
practice,2,Masker,none,2.802,none,3.402,none,4.002,none,4.602,none,5.352,none,5.802,none,6.402,none,7.002,none,7.752,none,8.202,none,8.952,none,9.402,none,10.152,none,10.752,none,11.202,none,11.952,none,12.552,none,13.002
practice,3,Target,toy,2.802,tables,4.0,tables,4.0,red,5.0,sock,5.0,glove,5.802,desks,7.0,spoons,7.002,red,8.0,tables,8.0,sock,9.0,tables,10.0,sock,10.0,hat,11.0,card,11.0,chairs,11.802,shoe,13.0,tables,13.002
practice,3,Masker,none,2.952,none,3.402,none,4.002,none,4.602,none,5.202,none,5.952,none,6.402,none,7.152,none,7.602,none,8.202,none,8.802,none,9.402,none,10.002,none,10.602,none,11.202,none,11.952,none,12.402,none,13.152
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,toy,2.064,hat,2.664,tables,3.264,chairs,3.864,hat,4.464,card,5.0,hat,5.664,tables,6.0,card,7.0,hat,7.464,toy,8.0,chairs,9.0,pen,9.264,toy,9.864,pen,11.0,red,11.0,blue,11.664,shoe,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,glove,2.214,white,2.814,glove,3.414,sock,4.014,tables,4.614,green,5.064,card,5.814,hat,6.264,chairs,6.864,green,7.614,hat,8.064,spoons,8.664,hat,9.414,pen,10.014,sock,10.464,spoons,11.064,tables,11.814,hat,12.264
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,chairs,2.0,toy,3.0,glove,3.264,shoe,3.864,bag,5.0,sock,5.0,glove,6.0,bag,6.264,green,6.864,tables,8.0,bag,8.064,spoons,9.0,pen,9.0,spoons,10.0,white,11.0,card,11.064,shoe,12.0,toy,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,white,2.064,spoons,2.664,white,3.414,pen,4.014,glove,4.464,card,5.064,hat,5.664,glove,6.414,bag,7.014,hat,7.464,glove,8.214,white,8.664,toy,9.264,desks,9.864,tables,10.464,desks,11.214,bag,11.664,white,12.264
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,glove,2.0,bag,3.0,spoons,3.0,pen,3.864,toy,4.464,spoons,5.0,toy,6.0,tables,6.264,blue,7.0,red,7.464,tables,8.0,sock,9.0,green,9.264,card,10.0,desks,11.0,pen,11.0,sock,12.0,desks,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,sock,2.064,card,2.664,red,3.264,red,4.014,blue,4.614,white,5.064,card,5.664,sock,6.414,chairs,6.864,bag,7.614,bag,8.064,shoe,8.664,chairs,9.414,sock,9.864,glove,10.464,chairs,11.064,card,11.664,shoe,12.264
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,green,2.064,glove,2.664,red,3.264,hat,3.864,shoe,5.0,white,5.064,pen,6.0,glove,6.0,card,6.864,toy,8.0,tables,8.0,card,8.664,sock,9.0,red,9.864,shoe,11.0,bag,11.0,spoons,11.664,glove,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,hat,2.214,hat,2.814,toy,3.414,glove,4.014,toy,4.464,card,5.214,card,5.664,red,6.264,desks,7.014,tables,7.464,card,8.064,bag,8.814,desks,9.264,pen,10.014,toy,10.464,desks,11.064,bag,11.814,white,12.264
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,pen,2.0,shoe,1.997,shoe,2.597,bag,3.197,card,3.797,hat,4.397,spoons,5.0,shoe,5.597,green,6.197,sock,7.0,glove,7.397,card,8.0,bag,9.0,white,9.197,chairs,10.0,shoe,10.397,toy,11.0,bag,11.597
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,green,1.397,sock,2.147,sock,2.747,blue,3.347,toy,3.947,bag,4.547,sock,4.997,chairs,5.747,shoe,6.347,shoe,6.797,shoe,7.547,hat,7.997,pen,8.597,bag,9.347,spoons,9.797,pen,10.547,sock,10.997,spoons,11.747
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,glove,2.0,bag,1.997,chairs,2.597,pen,3.197,hat,3.797,pen,5.0,toy,4.997,chairs,5.597,pen,6.0,pen,6.797,blue,7.397,red,8.0,toy,8.597,chairs,9.197,glove,10.0,toy,11.0,tables,11.0,sock,11.597
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,toy,1.397,shoe,2.147,pen,2.747,toy,3.347,shoe,3.947,sock,4.397,chairs,5.147,white,5.747,pen,6.197,tables,6.947,desks,7.547,pen,7.997,sock,8.747,tables,9.347,toy,9.797,sock,10.397,white,10.997,shoe,11.747
