Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,bag,1.0,toy,1.738,chairs,2.338,spoons,3.0,shoe,3.538,green,4.0,desks,4.738,spoons,5.338,pen,5.938,shoe,7.0,sock,7.138,red,7.738,toy,8.0,blue,9.0,shoe,9.538,sock,10.0,card,11.0,shoe,11.0
practice,0,Masker,none,1.138,none,1.888,none,2.488,none,2.938,none,3.688,none,4.138,none,4.888,none,5.488,none,6.088,none,6.538,none,7.288,none,7.888,none,8.338,none,8.938,none,9.688,none,10.138,none,10.738,none,11.338
practice,1,Target,hat,1.0,glove,2.0,card,2.0,desks,3.0,hat,4.0,glove,4.138,glove,5.0,hat,5.338,toy,5.938,glove,6.538,green,7.138,toy,7.738,hat,8.0,white,9.0,white,9.538,toy,10.0,hat,11.0,spoons,11.338
practice,1,Masker,none,1.138,none,1.738,none,2.338,none,2.938,none,3.538,none,4.288,none,4.738,none,5.488,none,6.088,none,6.688,none,7.288,none,7.888,none,8.338,none,8.938,none,9.688,none,10.138,none,10.738,none,11.488
practice,2,Target,shoe,1.0,desks,2.0,blue,2.338,spoons,2.938,hat,4.0,toy,4.138,shoe,4.738,desks,5.338,bag,5.938,shoe,6.538,chairs,7.138,hat,7.738,spoons,8.338,bag,9.0,tables,10.0,hat,10.0,blue,11.0,blue,11.0
practice,2,Masker,none,1.138,none,1.738,none,2.488,none,3.088,none,3.538,none,4.288,none,4.888,none,5.488,none,6.088,none,6.688,none,7.288,none,7.888,none,8.488,none,8.938,none,9.538,none,10.138,none,10.738,none,11.338
practice,3,Target,card,1.0,bag,1.738,shoe,2.338,red,3.0,glove,3.538,chairs,4.138,sock,5.0,blue,5.338,spoons,5.938,desks,7.0,spoons,7.138,bag,8.0,desks,8.338,shoe,8.938,glove,10.0,green,10.0,green,10.738,spoons,11.338
practice,3,Masker,none,1.138,none,1.888,none,2.488,none,2.938,none,3.688,none,4.288,none,4.738,none,5.488,none,6.088,none,6.538,none,7.288,none,7.738,none,8.488,none,9.088,none,9.538,none,10.138,none,10.888,none,11.488
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,glove,2.0,toy,3.0,sock,3.0,toy,3.78,blue,5.0,hat,4.98,card,6.0,toy,6.0,glove,6.78,hat,8.0,glove,8.0,sock,9.0,glove,9.0,white,10.0,tables,11.0,sock,10.98,pen,11.58,sock,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,tables,1.98,bag,2.58,red,3.18,red,3.93,spoons,4.38,glove,5.13,hat,5.58,hat,6.18,card,6.93,glove,7.38,desks,7.98,red,8.58,toy,9.18,sock,9.78,bag,10.38,toy,11.13,sock,11.73,bag,12.18
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,desks,1.98,green,3.0,toy,3.18,tables,3.78,pen,5.0,glove,5.0,sock,6.0,hat,6.0,blue,6.78,shoe,7.38,sock,8.0,sock,8.58,chairs,9.18,chairs,9.78,red,10.38,hat,10.98,chairs,12.0,tables,12.18
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,blue,2.13,glove,2.58,glove,3.33,desks,3.93,tables,4.38,pen,4.98,spoons,5.58,white,6.18,bag,6.93,sock,7.53,white,7.98,bag,8.73,white,9.33,tables,9.93,toy,10.53,card,11.13,shoe,11.58,glove,12.33
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,spoons,2.0,tables,2.58,card,3.0,blue,4.0,hat,5.0,desks,5.0,tables,6.0,bag,6.0,pen,6.78,hat,7.38,blue,8.0,green,9.0,tables,9.0,tables,10.0,desks,11.0,glove,10.98,tables,11.58,toy,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,pen,1.98,tables,2.73,hat,3.18,pen,3.78,blue,4.38,pen,4.98,pen,5.58,toy,6.18,green,6.93,hat,7.53,pen,7.98,tables,8.58,pen,9.18,tables,9.78,chairs,10.38,bag,11.13,tables,11.73,pen,12.18
