Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,blue,2.0,blue,2.584,card,3.184,green,3.784,pen,4.384,bag,5.0,pen,5.584,chairs,6.0,shoe,7.0,chairs,8.0,glove,7.984,spoons,9.0,red,9.184,bag,9.784,spoons,10.384,card,10.984,hat,11.584,card,12.0
practice,0,Masker,none,1.984,none,2.734,none,3.334,none,3.934,none,4.534,none,4.984,none,5.734,none,6.184,none,6.784,none,7.384,none,8.134,none,8.584,none,9.334,none,9.934,none,10.534,none,11.134,none,11.734,none,12.184
practice,1,Target,desks,1.984,hat,2.584,spoons,3.184,hat,4.0,toy,4.384,white,5.0,desks,5.584,shoe,6.0,hat,6.784,toy,7.384,bag,7.984,green,8.584,bag,9.184,blue,10.0,bag,10.384,hat,10.984,tables,12.0,desks,12.184
practice,1,Masker,none,2.134,none,2.734,none,3.334,none,3.784,none,4.534,none,4.984,none,5.734,none,6.184,none,6.934,none,7.534,none,8.134,none,8.734,none,9.334,none,9.784,none,10.534,none,11.134,none,11.584,none,12.334
practice,2,Target,glove,2.0,desks,2.584,sock,3.184,shoe,3.784,spoons,5.0,bag,5.0,desks,6.0,red,6.184,sock,7.0,chairs,7.384,glove,7.984,sock,9.0,hat,9.184,glove,10.0,red,11.0,chairs,11.0,sock,12.0,chairs,12.0
practice,2,Masker,none,1.984,none,2.734,none,3.334,none,3.934,none,4.384,none,4.984,none,5.584,none,6.334,none,6.784,none,7.534,none,8.134,none,8.584,none,9.334,none,9.784,none,10.384,none,10.984,none,11.584,none,12.184
practice,3,Target,red,2.0,sock,3.0,glove,3.0,card,4.0,tables,4.384,chairs,5.0,sock,6.0,red,6.0,hat,6.784,sock,8.0,bag,8.0,chairs,8.584,card,9.0,card,9.784,bag,10.384,bag,11.0,sock,11.584,spoons,12.0
practice,3,Masker,none,1.984,none,2.584,none,3.184,none,3.784,none,4.534,none,4.984,none,5.584,none,6.184,none,6.934,none,7.384,none,7.984,none,8.734,none,9.184,none,9.934,none,10.534,none,10.984,none,11.734,none,12.184
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,white,2.0,bag,2.653,tables,3.0,spoons,3.853,green,5.0,glove,5.0,pen,5.653,sock,6.253,bag,7.0,green,8.0,shoe,8.053,glove,9.0,glove,9.0,desks,10.0,shoe,10.453,desks,11.0,hat,11.653,sock,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,shoe,2.053,card,2.803,hat,3.253,green,4.003,card,4.453,chairs,5.053,spoons,5.803,card,6.403,toy,6.853,spoons,7.453,hat,8.203,sock,8.653,blue,9.253,sock,9.853,white,10.603,bag,11.053,hat,11.803,sock,12.253
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,chairs,2.0,glove,3.0,pen,3.0,hat,4.0,glove,5.0,bag,5.0,green,6.0,desks,6.253,spoons,7.0,spoons,7.453,sock,8.0,pen,8.653,pen,9.0,spoons,9.853,bag,10.453,bag,11.053,glove,11.653,green,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,desks,2.053,green,2.653,pen,3.253,blue,3.853,glove,4.453,pen,5.053,desks,5.653,bag,6.403,tables,6.853,toy,7.603,glove,8.053,shoe,8.803,sock,9.253,red,10.003,desks,10.603,glove,11.203,glove,11.803,glove,12.253
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,sock,2.053,blue,2.653,tables,3.0,card,4.0,shoe,4.453,sock,5.053,red,5.653,hat,6.253,toy,7.0,glove,8.0,blue,8.053,pen,9.0,desks,9.0,red,10.0,desks,10.453,tables,11.0,card,11.653,bag,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,green,2.203,tables,2.803,chairs,3.253,sock,3.853,hat,4.603,tables,5.203,toy,5.803,tables,6.403,blue,6.853,toy,7.453,hat,8.203,shoe,8.653,chairs,9.253,tables,9.853,pen,10.603,spoons,11.053,shoe,11.803,chairs,12.253
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,green,2.053,glove,3.0,sock,3.0,chairs,4.0,red,5.0,sock,5.053,toy,6.0,sock,6.0,pen,6.853,glove,8.0,spoons,8.0,shoe,8.653,card,9.0,toy,9.853,pen,11.0,tables,11.053,red,12.0,white,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,toy,2.203,tables,2.653,green,3.253,spoons,3.853,pen,4.453,tables,5.203,sock,5.653,glove,6.253,spoons,7.003,desks,7.453,hat,8.053,sock,8.803,green,9.253,sock,10.003,tables,10.453,bag,11.203,glove,11.653,toy,12.253
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,bag,2.268,tables,3.0,desks,3.468,hat,4.0,shoe,5.0,glove,5.268,sock,6.0,desks,7.0,pen,7.0,hat,7.668,tables,8.268,card,9.0,white,9.468,chairs,10.068,tables,10.668,pen,11.268,blue,12.0,white,12.468
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,sock,2.418,card,2.868,red,3.618,chairs,4.068,pen,4.668,tables,5.418,pen,5.868,chairs,6.468,bag,7.068,desks,7.818,desks,8.418,pen,8.868,pen,9.618,pen,10.218,white,10.818,green,11.418,tables,11.868,card,12.618
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,toy,2.0,desks,3.0,pen,3.468,bag,4.068,bag,4.668,sock,5.0,hat,5.868,card,6.468,toy,7.068,tables,7.668,bag,8.268,hat,8.868,red,10.0,bag,10.068,toy,10.668,green,11.0,shoe,12.0,bag,12.468
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,red,2.268,toy,2.868,desks,3.618,blue,4.218,glove,4.818,tables,5.268,tables,6.018,desks,6.618,pen,7.218,chairs,7.818,red,8.418,chairs,9.018,shoe,9.468,white,10.218,toy,10.818,sock,11.268,tables,11.868,tables,12.618
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,chairs,2.268,sock,3.0,card,4.0,desks,4.0,green,5.0,chairs,5.268,spoons,6.0,sock,6.468,bag,7.068,spoons,7.668,bag,8.268,sock,9.0,green,9.468,hat,10.0,chairs,10.668,hat,11.268,red,11.868,chairs,13.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,pen,2.418,hat,2.868,pen,3.468,blue,4.068,bag,4.668,toy,5.418,tables,5.868,green,6.618,red,7.218,sock,7.818,bag,8.418,shoe,8.868,spoons,9.618,toy,10.068,glove,10.818,toy,11.418,glove,12.018,spoons,12.468
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,pen,2.268,chairs,2.868,spoons,3.468,spoons,4.068,pen,4.668,toy,5.268,hat,6.0,bag,6.468,white,7.068,toy,7.668,spoons,8.0,red,9.0,desks,10.0,toy,10.068,red,10.668,chairs,11.0,desks,11.868,tables,13.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,chairs,2.418,sock,3.018,white,3.618,spoons,4.218,glove,4.818,spoons,5.418,pen,5.868,white,6.618,bag,7.218,pen,7.818,glove,8.268,spoons,8.868,glove,9.468,pen,10.218,desks,10.818,toy,11.268,spoons,12.018,white,12.468
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,glove,2.0,green,2.0,bag,2.726,red,3.0,hat,4.0,sock,5.0,desks,5.126,glove,5.726,desks,6.326,sock,7.0,blue,8.0,tables,8.126,sock,8.726,hat,9.0,card,9.926,white,11.0,hat,11.126,bag,12.0
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,1.526,noise,2.126,noise,2.876,noise,3.326,noise,3.926,noise,4.526,noise,5.276,noise,5.876,noise,6.476,noise,6.926,noise,7.526,noise,8.276,noise,8.876,noise,9.326,noise,10.076,noise,10.526,noise,11.276,noise,11.726
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,red,2.0,glove,2.126,blue,2.726,bag,3.326,hat,4.0,desks,4.526,sock,5.0,bag,6.0,pen,6.326,tables,6.926,red,8.0,bag,8.0,card,8.726,bag,9.0,pen,9.926,pen,11.0,pen,11.126,toy,12.0
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,1.526,noise,2.276,noise,2.876,noise,3.476,noise,3.926,noise,4.676,noise,5.126,noise,5.726,noise,6.476,noise,7.076,noise,7.526,noise,8.126,noise,8.876,noise,9.326,noise,10.076,noise,10.526,noise,11.276,noise,11.726
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,chairs,2.0,white,2.0,sock,2.726,desks,3.0,shoe,4.0,chairs,4.526,chairs,5.0,red,5.726,toy,6.326,hat,7.0,desks,8.0,bag,8.0,white,8.726,toy,9.326,blue,10.0,chairs,10.526,spoons,11.0,hat,11.726
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,1.526,noise,2.126,noise,2.876,noise,3.326,noise,3.926,noise,4.676,noise,5.126,noise,5.876,noise,6.476,noise,6.926,noise,7.526,noise,8.126,noise,8.876,noise,9.476,noise,9.926,noise,10.676,noise,11.126,noise,11.876
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,blue,2.0,bag,2.0,tables,2.726,hat,3.326,card,4.0,shoe,4.526,card,5.126,shoe,5.726,spoons,6.326,glove,7.0,tables,7.526,white,8.0,hat,8.726,shoe,9.0,glove,9.926,hat,11.0,toy,11.0,white,12.0
m_noise__ild_0__itd_50__targ_l__control_0,3,Masker,noise,1.526,noise,2.126,noise,2.876,noise,3.476,noise,3.926,noise,4.676,noise,5.276,noise,5.876,noise,6.476,noise,6.926,noise,7.676,noise,8.126,noise,8.876,noise,9.326,noise,10.076,noise,10.526,noise,11.126,noise,11.726
m_noise__ild_0__itd_50__targ_r__control_0,0,Target,glove,2.0,bag,3.0,bag,3.0,pen,3.681,card,4.0,desks,5.0,spoons,6.0,blue,6.0,chairs,6.681,white,7.0,card,8.0,card,9.0,shoe,9.0,chairs,9.681,shoe,10.281,card,10.881,bag,12.0,hat,12.0
m_noise__ild_0__itd_50__targ_r__control_0,0,Masker,noise,1.881,noise,2.481,noise,3.081,noise,3.831,noise,4.281,noise,4.881,noise,5.481,noise,6.081,noise,6.831,noise,7.281,noise,7.881,noise,8.481,noise,9.081,noise,9.831,noise,10.431,noise,11.031,noise,11.481,noise,12.081
m_noise__ild_0__itd_50__targ_r__control_0,1,Target,green,2.0,white,2.481,bag,3.081,chairs,4.0,bag,4.0,tables,5.0,shoe,5.481,spoons,6.081,toy,7.0,sock,7.0,red,8.0,spoons,9.0,sock,9.0,spoons,9.681,sock,10.0,spoons,11.0,sock,11.481,desks,12.081
m_noise__ild_0__itd_50__targ_r__control_0,1,Masker,noise,1.881,noise,2.631,noise,3.231,noise,3.681,noise,4.281,noise,4.881,noise,5.631,noise,6.231,noise,6.681,noise,7.281,noise,7.881,noise,8.481,noise,9.081,noise,9.831,noise,10.281,noise,10.881,noise,11.631,noise,12.231
m_noise__ild_0__itd_50__targ_r__control_0,2,Target,sock,2.0,card,3.0,toy,3.081,pen,4.0,chairs,4.0,white,4.881,white,6.0,sock,6.081,glove,6.681,pen,7.281,spoons,8.0,shoe,9.0,pen,9.081,shoe,9.681,card,10.281,pen,10.881,chairs,12.0,shoe,12.0
