Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,2.0,desks,2.014,red,3.0,sock,3.214,chairs,4.0,sock,4.414,card,5.0,pen,5.614,red,6.0,glove,7.0,spoons,8.0,chairs,8.014,sock,8.614,blue,9.0,chairs,9.814,blue,11.0,tables,11.014,toy,12.0
practice,0,Masker,none,1.414,none,2.164,none,2.614,none,3.364,none,3.814,none,4.564,none,5.014,none,5.764,none,6.214,none,6.814,none,7.414,none,8.164,none,8.764,none,9.214,none,9.964,none,10.414,none,11.164,none,11.614
practice,1,Target,blue,2.0,toy,2.0,sock,3.0,tables,3.214,spoons,4.0,red,5.0,chairs,5.014,bag,6.0,toy,6.214,red,6.814,sock,8.0,spoons,8.0,toy,8.614,pen,9.214,desks,10.0,green,10.414,desks,11.014,glove,12.0
practice,1,Masker,none,1.414,none,2.014,none,2.614,none,3.364,none,3.814,none,4.414,none,5.164,none,5.614,none,6.364,none,6.964,none,7.414,none,8.014,none,8.764,none,9.364,none,9.814,none,10.564,none,11.164,none,11.614
practice,2,Target,toy,2.0,tables,2.0,green,2.614,toy,3.0,red,4.0,tables,5.0,pen,5.014,toy,5.614,desks,6.0,shoe,7.0,spoons,8.0,blue,8.014,tables,9.0,spoons,9.214,spoons,10.0,green,10.414,shoe,11.0,toy,11.614
practice,2,Masker,none,1.414,none,2.014,none,2.764,none,3.214,none,3.814,none,4.414,none,5.164,none,5.764,none,6.214,none,6.814,none,7.414,none,8.164,none,8.614,none,9.364,none,9.814,none,10.564,none,11.014,none,11.764
practice,3,Target,toy,1.414,blue,2.0,tables,3.0,blue,3.214,desks,3.814,tables,5.0,desks,5.0,toy,5.614,bag,6.214,blue,6.814,toy,8.0,desks,8.014,desks,9.0,hat,9.214,chairs,9.814,toy,10.414,tables,11.014,desks,11.614
practice,3,Masker,none,1.564,none,2.014,none,2.614,none,3.364,none,3.964,none,4.414,none,5.014,none,5.764,none,6.364,none,6.964,none,7.414,none,8.164,none,8.614,none,9.364,none,9.964,none,10.564,none,11.164,none,11.764
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,blue,1.457,desks,2.057,shoe,3.0,sock,3.257,tables,4.0,green,4.457,chairs,5.057,shoe,5.657,shoe,6.257,hat,7.0,chairs,7.457,hat,8.0,sock,8.657,desks,9.257,blue,9.857,shoe,10.457,tables,11.0,shoe,11.657
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,card,1.607,sock,2.207,toy,2.657,chairs,3.407,white,3.857,card,4.607,hat,5.207,pen,5.807,chairs,6.407,white,6.857,bag,7.607,tables,8.057,red,8.807,toy,9.407,glove,10.007,spoons,10.607,tables,11.057,white,11.807
