Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,chairs,2.788,tables,3.388,card,4.0,card,4.588,hat,5.0,sock,6.0,chairs,6.388,blue,7.0,sock,7.588,tables,8.188,card,9.0,pen,9.388,card,10.0,pen,10.588,bag,11.0,white,11.788,white,13.0,tables,12.988
practice,0,Masker,none,2.938,none,3.538,none,3.988,none,4.738,none,5.188,none,5.788,none,6.538,none,6.988,none,7.738,none,8.338,none,8.788,none,9.538,none,9.988,none,10.738,none,11.188,none,11.938,none,12.388,none,13.138
practice,1,Target,desks,3.0,card,3.388,spoons,4.0,white,5.0,glove,5.0,tables,5.788,card,6.388,bag,7.0,toy,7.588,card,8.188,hat,9.0,tables,10.0,card,10.0,toy,11.0,chairs,11.188,glove,11.788,white,13.0,bag,12.988
practice,1,Masker,none,2.788,none,3.538,none,3.988,none,4.588,none,5.188,none,5.938,none,6.538,none,6.988,none,7.738,none,8.338,none,8.788,none,9.388,none,9.988,none,10.588,none,11.338,none,11.938,none,12.388,none,13.138
practice,2,Target,card,2.788,pen,3.388,card,4.0,card,4.588,bag,5.188,shoe,5.788,card,7.0,bag,7.0,bag,7.588,card,8.0,red,9.0,card,9.388,desks,10.0,chairs,10.588,green,11.188,card,11.788,bag,13.0,spoons,13.0
practice,2,Masker,none,2.938,none,3.538,none,3.988,none,4.738,none,5.338,none,5.938,none,6.388,none,6.988,none,7.738,none,8.188,none,8.788,none,9.538,none,9.988,none,10.738,none,11.338,none,11.938,none,12.388,none,12.988
practice,3,Target,sock,2.788,red,4.0,bag,3.988,blue,4.588,spoons,5.0,desks,5.788,toy,7.0,hat,6.988,card,8.0,toy,8.0,green,8.788,bag,9.388,shoe,10.0,white,11.0,desks,11.0,sock,12.0,tables,12.388,hat,13.0
practice,3,Masker,none,2.938,none,3.388,none,4.138,none,4.738,none,5.188,none,5.938,none,6.388,none,7.138,none,7.588,none,8.188,none,8.938,none,9.538,none,9.988,none,10.588,none,11.188,none,11.788,none,12.538,none,12.988
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,shoe,1.14,bag,2.0,blue,2.34,spoons,2.94,desks,4.0,shoe,4.0,blue,4.74,pen,5.0,chairs,6.0,spoons,6.54,sock,7.0,glove,8.0,tables,8.34,shoe,9.0,sock,9.54,card,10.0,pen,10.74,pen,11.34
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,shoe,1.29,bag,1.74,shoe,2.49,spoons,3.09,white,3.54,bag,4.14,bag,4.89,chairs,5.34,blue,5.94,sock,6.69,card,7.14,chairs,7.74,red,8.49,bag,8.94,spoons,9.69,spoons,10.14,bag,10.89,chairs,11.49
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,card,1.0,chairs,1.74,shoe,2.34,blue,2.94,card,4.0,pen,4.14,bag,4.74,shoe,5.34,bag,6.0,sock,6.54,tables,7.14,green,8.0,tables,8.34,spoons,8.94,blue,9.54,toy,10.0,tables,10.74,hat,11.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,tables,1.14,pen,1.89,sock,2.49,tables,3.09,hat,3.54,white,4.29,shoe,4.89,toy,5.49,spoons,5.94,white,6.69,bag,7.29,hat,7.74,glove,8.49,tables,9.09,sock,9.69,tables,10.14,glove,10.89,sock,11.34
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,toy,1.0,chairs,1.74,pen,2.34,desks,2.94,glove,3.54,red,4.14,hat,5.0,tables,5.0,green,6.0,bag,7.0,spoons,7.14,toy,7.74,card,8.0,toy,8.94,sock,9.54,hat,10.14,shoe,11.0,sock,11.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,chairs,1.14,bag,1.89,spoons,2.49,glove,3.09,shoe,3.69,sock,4.29,red,4.74,shoe,5.34,pen,5.94,white,6.54,desks,7.29,sock,7.89,red,8.34,sock,9.09,toy,9.69,desks,10.29,card,10.74,glove,11.34
