Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,toy,1.109,glove,1.709,sock,2.309,red,3.0,blue,4.0,tables,4.109,desks,4.709,glove,5.0,desks,6.0,white,6.509,hat,7.109,glove,8.0,pen,8.309,glove,8.909,pen,9.509,sock,10.0,sock,11.0,toy,11.309
practice,0,Masker,none,1.259,none,1.859,none,2.459,none,2.909,none,3.509,none,4.259,none,4.859,none,5.309,none,5.909,none,6.659,none,7.259,none,7.709,none,8.459,none,9.059,none,9.659,none,10.109,none,10.709,none,11.459
practice,1,Target,chairs,1.109,desks,2.0,blue,2.309,shoe,2.909,tables,3.509,desks,4.0,chairs,5.0,red,5.309,green,6.0,desks,7.0,shoe,7.0,spoons,8.0,chairs,8.0,white,8.909,tables,10.0,shoe,10.109,tables,11.0,sock,11.309
practice,1,Masker,none,1.259,none,1.709,none,2.459,none,3.059,none,3.659,none,4.109,none,4.709,none,5.459,none,5.909,none,6.509,none,7.109,none,7.709,none,8.309,none,9.059,none,9.509,none,10.259,none,10.709,none,11.459
practice,2,Target,sock,1.109,toy,2.0,blue,2.309,card,2.909,desks,3.509,spoons,4.0,blue,4.709,green,5.0,tables,5.909,spoons,6.509,desks,7.109,spoons,8.0,sock,8.309,white,8.909,toy,10.0,sock,10.109,chairs,11.0,glove,11.0
practice,2,Masker,none,1.259,none,1.709,none,2.459,none,3.059,none,3.659,none,4.109,none,4.859,none,5.309,none,6.059,none,6.659,none,7.259,none,7.709,none,8.459,none,9.059,none,9.509,none,10.259,none,10.709,none,11.309
practice,3,Target,green,1.109,red,1.709,hat,2.0,bag,3.0,sock,4.0,tables,4.109,sock,4.709,chairs,5.0,bag,5.909,sock,6.509,spoons,7.0,hat,8.0,white,8.0,tables,8.909,pen,10.0,desks,10.109,card,11.0,red,11.309
practice,3,Masker,none,1.259,none,1.859,none,2.309,none,2.909,none,3.509,none,4.259,none,4.859,none,5.309,none,6.059,none,6.659,none,7.109,none,7.709,none,8.309,none,9.059,none,9.509,none,10.259,none,10.709,none,11.459
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,tables,2.0,glove,2.0,chairs,3.0,white,3.0,pen,3.822,spoons,5.0,white,5.022,toy,6.0,bag,6.0,green,7.0,shoe,7.422,bag,8.0,shoe,8.622,pen,9.0,hat,9.822,sock,11.0,bag,11.022,red,11.622
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,toy,1.422,shoe,2.022,bag,2.622,shoe,3.222,glove,3.972,bag,4.422,shoe,5.172,shoe,5.622,shoe,6.222,glove,6.822,spoons,7.572,spoons,8.022,shoe,8.772,blue,9.222,chairs,9.972,green,10.422,white,11.172,chairs,11.772
