Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,chairs,3.0,tables,3.0,tables,4.0,chairs,4.0,hat,5.0,card,6.0,tables,6.035,white,7.0,tables,7.0,desks,8.0,tables,8.435,tables,9.035,white,9.635,green,10.0,shoe,11.0,tables,12.0,hat,12.0,chairs,12.635
practice,0,Masker,none,2.435,none,3.035,none,3.635,none,4.235,none,4.835,none,5.435,none,6.185,none,6.635,none,7.235,none,7.835,none,8.585,none,9.185,none,9.785,none,10.235,none,10.835,none,11.435,none,12.035,none,12.785
practice,1,Target,spoons,2.435,pen,3.0,green,4.0,card,4.235,toy,5.0,card,6.0,chairs,6.035,blue,7.0,card,7.235,chairs,8.0,desks,8.435,chairs,9.0,desks,10.0,glove,10.0,card,10.835,glove,11.435,green,12.0,bag,12.635
practice,1,Masker,none,2.585,none,3.035,none,3.635,none,4.385,none,4.835,none,5.435,none,6.185,none,6.635,none,7.385,none,7.835,none,8.585,none,9.035,none,9.635,none,10.235,none,10.985,none,11.585,none,12.035,none,12.785
practice,2,Target,desks,2.435,toy,3.035,pen,3.635,green,4.235,card,4.835,toy,6.0,tables,6.0,chairs,7.0,tables,7.0,pen,7.835,toy,8.435,bag,9.035,green,9.635,blue,10.0,spoons,11.0,tables,11.435,green,12.0,shoe,13.0
practice,2,Masker,none,2.585,none,3.185,none,3.785,none,4.385,none,4.985,none,5.435,none,6.035,none,6.635,none,7.235,none,7.985,none,8.585,none,9.185,none,9.785,none,10.235,none,10.835,none,11.585,none,12.035,none,12.635
practice,3,Target,toy,3.0,bag,3.035,white,3.635,tables,4.0,card,4.835,desks,6.0,hat,6.035,green,7.0,card,7.235,hat,7.835,pen,8.435,blue,9.0,tables,9.635,glove,10.0,hat,11.0,toy,12.0,toy,12.0,pen,13.0
practice,3,Masker,none,2.435,none,3.185,none,3.785,none,4.235,none,4.985,none,5.435,none,6.185,none,6.635,none,7.385,none,7.985,none,8.585,none,9.035,none,9.785,none,10.235,none,10.835,none,11.435,none,12.035,none,12.635
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,card,2.706,red,3.0,bag,3.906,shoe,4.506,green,5.0,bag,6.0,bag,6.0,spoons,7.0,shoe,7.506,bag,8.0,pen,9.0,card,9.306,bag,9.906,desks,11.0,chairs,11.106,shoe,12.0,hat,12.0,shoe,13.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,2.856,shoe,3.306,pen,4.056,desks,4.656,sock,5.106,bag,5.706,shoe,6.306,bag,6.906,green,7.656,white,8.106,glove,8.706,shoe,9.456,card,10.056,blue,10.506,hat,11.256,toy,11.706,sock,12.306,chairs,12.906
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,chairs,2.706,pen,3.306,chairs,3.906,tables,5.0,pen,5.0,desks,5.706,pen,6.0,tables,7.0,chairs,7.506,shoe,8.0,toy,9.0,card,9.306,pen,10.0,green,10.506,hat,11.0,pen,11.706,white,12.306,bag,13.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,desks,2.856,card,3.456,tables,4.056,pen,4.506,blue,5.106,tables,5.856,spoons,6.306,green,6.906,chairs,7.656,spoons,8.106,glove,8.706,spoons,9.456,blue,9.906,tables,10.656,spoons,11.106,toy,11.856,card,12.456,tables,12.906
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,toy,3.0,blue,3.0,toy,4.0,spoons,5.0,tables,5.106,bag,6.0,toy,6.0,tables,7.0,desks,7.506,pen,8.0,hat,9.0,sock,9.0,glove,10.0,green,11.0,shoe,11.0,toy,12.0,glove,12.306,bag,13.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,bag,2.706,sock,3.306,glove,3.906,hat,4.506,blue,5.256,blue,5.706,blue,6.306,bag,6.906,chairs,7.656,spoons,8.106,sock,8.706,tables,9.306,chairs,9.906,desks,10.506,tables,11.106,green,11.706,toy,12.456,chairs,12.906
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,card,2.706,card,3.306,tables,4.0,pen,4.506,tables,5.106,white,6.0,hat,6.306,chairs,6.906,toy,8.0,red,8.0,desks,8.706,tables,9.306,tables,9.906,bag,11.0,blue,11.0,sock,12.0,card,12.306,bag,12.906
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,desks,2.856,spoons,3.456,toy,3.906,red,4.656,green,5.256,chairs,5.706,spoons,6.456,shoe,7.056,bag,7.506,card,8.106,spoons,8.856,card,9.456,spoons,10.056,sock,10.506,shoe,11.106,desks,11.706,bag,12.456,card,13.056
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,bag,2.0,pen,3.0,shoe,2.98,desks,3.58,hat,4.18,sock,5.0,pen,6.0,red,6.0,card,6.58,tables,7.0,green,7.78,hat,9.0,shoe,8.98,tables,10.0,bag,10.18,green,11.0,tables,11.38,desks,11.98
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,shoe,1.78,shoe,2.38,red,3.13,shoe,3.73,sock,4.33,green,4.78,bag,5.38,sock,5.98,spoons,6.73,shoe,7.18,desks,7.93,chairs,8.38,sock,9.13,blue,9.58,pen,10.33,sock,10.78,bag,11.53,chairs,12.13
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,tables,2.0,spoons,3.0,green,2.98,red,4.0,glove,4.0,desks,5.0,glove,6.0,tables,5.98,sock,6.58,pen,7.18,sock,8.0,shoe,8.38,hat,9.0,desks,9.58,blue,10.18,bag,11.0,bag,11.38,shoe,12.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,sock,1.78,glove,2.38,desks,3.13,chairs,3.58,card,4.18,blue,4.78,tables,5.38,glove,6.13,bag,6.73,red,7.33,glove,7.78,desks,8.53,chairs,8.98,tables,9.73,hat,10.33,card,10.78,glove,11.53,chairs,11.98
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,white,1.78,card,3.0,chairs,2.98,hat,3.58,sock,4.0,toy,5.0,green,6.0,bag,5.98,bag,6.58,bag,7.18,tables,7.78,toy,8.38,chairs,8.98,spoons,10.0,toy,10.0,white,11.0,tables,12.0,toy,12.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,card,1.93,glove,2.38,glove,3.13,desks,3.73,shoe,4.18,blue,4.78,bag,5.38,sock,6.13,shoe,6.73,card,7.33,bag,7.93,green,8.53,shoe,9.13,bag,9.58,sock,10.18,sock,10.78,shoe,11.38,hat,11.98
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,card,2.0,pen,3.0,desks,2.98,tables,3.58,sock,4.0,glove,4.78,spoons,5.38,desks,6.0,chairs,7.0,green,7.18,spoons,7.78,sock,9.0,card,8.98,chairs,9.58,desks,10.18,red,11.0,tables,11.38,sock,12.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,shoe,1.78,shoe,2.38,card,3.13,chairs,3.73,green,4.18,pen,4.93,card,5.53,chairs,5.98,spoons,6.58,desks,7.33,sock,7.93,chairs,8.38,pen,9.13,hat,9.73,shoe,10.33,tables,10.78,sock,11.53,red,11.98
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,bag,3.0,toy,3.268,blue,4.0,green,5.0,desks,5.0,spoons,5.668,blue,6.0,bag,6.868,sock,8.0,spoons,8.0,hat,8.668,red,9.268,card,10.0,toy,10.468,chairs,11.068,tables,12.0,sock,12.0,bag,12.868
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,2.668,noise,3.418,noise,3.868,noise,4.468,noise,5.068,noise,5.818,noise,6.268,noise,7.018,noise,7.468,noise,8.068,noise,8.818,noise,9.418,noise,9.868,noise,10.618,noise,11.218,noise,11.668,noise,12.268,noise,13.018
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,tables,3.0,glove,3.0,spoons,3.868,card,5.0,desks,5.068,chairs,5.668,bag,6.0,bag,6.868,hat,8.0,glove,8.0,bag,9.0,blue,9.268,green,9.868,chairs,10.468,green,11.0,tables,12.0,tables,12.0,blue,13.0
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,2.668,noise,3.268,noise,4.018,noise,4.468,noise,5.218,noise,5.818,noise,6.268,noise,7.018,noise,7.468,noise,8.068,noise,8.668,noise,9.418,noise,10.018,noise,10.618,noise,11.068,noise,11.668,noise,12.268,noise,12.868
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,glove,3.0,blue,3.268,tables,4.0,shoe,4.468,sock,5.0,desks,6.0,green,6.268,sock,7.0,green,8.0,tables,8.068,pen,8.668,toy,9.0,green,10.0,hat,10.468,toy,11.068,desks,11.668,sock,12.0,toy,13.0
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,2.668,noise,3.418,noise,3.868,noise,4.618,noise,5.068,noise,5.668,noise,6.418,noise,6.868,noise,7.468,noise,8.218,noise,8.818,noise,9.268,noise,9.868,noise,10.618,noise,11.218,noise,11.818,noise,12.268,noise,12.868
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,desks,3.0,spoons,3.0,white,4.0,bag,4.468,spoons,5.0,tables,6.0,glove,6.0,chairs,6.868,hat,7.468,shoe,8.0,red,8.668,chairs,9.268,hat,9.868,white,11.0,sock,11.0,spoons,11.668,toy,12.268,toy,12.868
m_noise__ild_0__itd_50__targ_l__control_0,3,Masker,noise,2.668,noise,3.268,noise,3.868,noise,4.618,noise,5.068,noise,5.668,noise,6.268,noise,7.018,noise,7.618,noise,8.068,noise,8.818,noise,9.418,noise,10.018,noise,10.468,noise,11.068,noise,11.818,noise,12.418,noise,13.018
