Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,shoe,2.0,glove,2.509,white,3.109,bag,3.709,blue,4.309,chairs,4.909,bag,5.509,glove,6.109,pen,6.709,desks,7.0,blue,8.0,toy,8.509,pen,9.0,tables,10.0,shoe,10.309,white,10.909,spoons,11.509,bag,12.0
practice,0,Masker,none,1.909,none,2.659,none,3.259,none,3.859,none,4.459,none,5.059,none,5.659,none,6.259,none,6.859,none,7.309,none,7.909,none,8.659,none,9.109,none,9.709,none,10.459,none,11.059,none,11.659,none,12.109
practice,1,Target,pen,2.0,sock,2.509,shoe,3.109,green,3.709,shoe,4.309,tables,4.909,chairs,5.509,hat,6.109,shoe,6.709,card,7.0,green,8.0,tables,9.0,toy,9.109,tables,10.0,desks,10.309,hat,10.909,blue,11.509,shoe,12.0
practice,1,Masker,none,1.909,none,2.659,none,3.259,none,3.859,none,4.459,none,5.059,none,5.659,none,6.259,none,6.859,none,7.309,none,7.909,none,8.509,none,9.259,none,9.709,none,10.459,none,11.059,none,11.659,none,12.109
practice,2,Target,bag,2.0,white,3.0,bag,3.0,spoons,4.0,hat,4.309,bag,4.909,green,5.509,sock,6.0,pen,7.0,chairs,7.0,bag,7.909,spoons,9.0,glove,9.0,card,9.709,shoe,10.0,bag,10.909,bag,12.0,sock,12.0
practice,2,Masker,none,1.909,none,2.509,none,3.109,none,3.709,none,4.459,none,5.059,none,5.659,none,6.109,none,6.709,none,7.309,none,8.059,none,8.509,none,9.109,none,9.859,none,10.309,none,11.059,none,11.509,none,12.109
practice,3,Target,desks,2.0,tables,2.509,bag,3.0,white,4.0,card,4.0,green,4.909,toy,6.0,sock,6.109,toy,7.0,card,7.0,glove,7.909,bag,9.0,blue,9.0,shoe,9.709,green,10.309,spoons,10.909,card,11.509,bag,12.0
practice,3,Masker,none,1.909,none,2.659,none,3.109,none,3.709,none,4.309,none,5.059,none,5.509,none,6.259,none,6.709,none,7.309,none,8.059,none,8.509,none,9.109,none,9.859,none,10.459,none,11.059,none,11.659,none,12.109
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,bag,3.0,card,3.297,sock,4.0,desks,5.0,glove,5.097,spoons,6.0,card,6.297,green,6.897,card,7.497,pen,8.097,blue,8.697,sock,9.297,tables,9.897,pen,10.497,tables,11.097,card,12.0,red,12.0,desks,13.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,hat,2.697,sock,3.447,green,3.897,shoe,4.497,card,5.247,card,5.697,chairs,6.447,card,7.047,shoe,7.647,green,8.247,sock,8.847,hat,9.447,bag,10.047,tables,10.647,card,11.247,green,11.697,card,12.297,red,12.897
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,card,2.697,sock,3.0,blue,3.897,shoe,4.497,shoe,5.097,toy,5.697,spoons,6.297,card,7.0,bag,8.0,glove,8.097,green,9.0,red,9.0,toy,10.0,blue,10.497,toy,11.0,hat,11.697,bag,12.0,pen,12.897
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,red,2.847,pen,3.297,hat,4.047,glove,4.647,pen,5.247,pen,5.847,sock,6.447,sock,6.897,sock,7.497,shoe,8.247,hat,8.697,pen,9.297,spoons,9.897,shoe,10.647,bag,11.097,shoe,11.847,green,12.297,toy,13.047
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,toy,3.0,blue,3.0,desks,3.897,hat,5.0,bag,5.0,hat,6.0,bag,6.297,red,7.0,pen,7.497,card,8.0,green,8.697,card,9.0,green,9.897,desks,11.0,glove,11.097,shoe,11.697,shoe,12.297,sock,13.0
