Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,shoe,1.0,white,1.741,red,2.341,blue,2.941,glove,3.541,toy,4.0,shoe,4.741,glove,5.341,hat,6.0,spoons,6.541,toy,7.0,desks,7.741,hat,8.341,bag,9.0,shoe,9.541,card,10.0,chairs,10.741,spoons,11.341
practice,0,Masker,none,1.141,none,1.891,none,2.491,none,3.091,none,3.691,none,4.141,none,4.891,none,5.491,none,5.941,none,6.691,none,7.141,none,7.891,none,8.491,none,8.941,none,9.691,none,10.141,none,10.891,none,11.491
practice,1,Target,hat,1.0,spoons,2.0,sock,2.341,shoe,3.0,bag,3.541,tables,4.141,bag,5.0,desks,5.341,green,5.941,glove,6.541,spoons,7.0,tables,8.0,bag,8.341,bag,9.0,spoons,9.541,glove,10.141,hat,11.0,green,11.0
practice,1,Masker,none,1.141,none,1.741,none,2.491,none,2.941,none,3.691,none,4.291,none,4.741,none,5.491,none,6.091,none,6.691,none,7.141,none,7.741,none,8.491,none,8.941,none,9.691,none,10.291,none,10.741,none,11.341
practice,2,Target,bag,1.141,tables,1.741,shoe,2.341,shoe,2.941,bag,3.541,sock,4.141,glove,4.741,toy,5.341,hat,5.941,spoons,6.541,pen,7.0,blue,7.741,pen,8.0,sock,8.941,red,9.541,green,10.141,hat,10.741,shoe,11.0
practice,2,Masker,none,1.291,none,1.891,none,2.491,none,3.091,none,3.691,none,4.291,none,4.891,none,5.491,none,6.091,none,6.691,none,7.141,none,7.891,none,8.341,none,9.091,none,9.691,none,10.291,none,10.891,none,11.341
practice,3,Target,card,1.0,red,2.0,shoe,2.0,hat,2.941,red,3.541,bag,4.141,pen,4.741,pen,5.341,hat,5.941,chairs,7.0,pen,7.0,desks,7.741,toy,8.341,shoe,9.0,tables,9.541,chairs,10.0,desks,11.0,bag,11.341
practice,3,Masker,none,1.141,none,1.741,none,2.341,none,3.091,none,3.691,none,4.291,none,4.891,none,5.491,none,6.091,none,6.541,none,7.141,none,7.891,none,8.491,none,8.941,none,9.691,none,10.141,none,10.741,none,11.491
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,toy,1.0,card,2.0,desks,2.0,bag,3.0,hat,4.0,desks,4.121,red,4.721,chairs,5.0,pen,6.0,red,6.521,tables,7.0,sock,8.0,tables,8.0,shoe,8.921,tables,10.0,pen,10.121,chairs,10.721,red,11.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,white,1.121,white,1.721,bag,2.321,card,2.921,card,3.521,pen,4.271,hat,4.871,white,5.321,spoons,5.921,tables,6.671,spoons,7.121,chairs,7.721,shoe,8.321,tables,9.071,green,9.521,desks,10.271,card,10.871,chairs,11.321
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,tables,1.0,white,2.0,bag,2.0,bag,3.0,tables,4.0,white,4.121,glove,4.721,pen,5.0,shoe,5.921,bag,6.521,sock,7.121,glove,8.0,card,8.0,tables,8.921,card,10.0,glove,10.121,bag,10.721,tables,11.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,bag,1.121,card,1.721,toy,2.321,white,2.921,glove,3.521,bag,4.271,toy,4.871,blue,5.321,glove,6.071,glove,6.671,bag,7.271,spoons,7.721,shoe,8.321,sock,9.071,spoons,9.521,chairs,10.271,blue,10.871,shoe,11.321
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,shoe,1.0,glove,2.0,red,2.321,toy,3.0,chairs,4.0,toy,4.0,pen,4.721,desks,5.0,spoons,6.0,toy,7.0,tables,7.0,spoons,7.721,green,8.0,card,9.0,card,10.0,card,10.0,glove,10.721,toy,11.321
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,toy,1.121,desks,1.721,shoe,2.471,red,2.921,bag,3.521,tables,4.121,desks,4.871,glove,5.321,hat,5.921,blue,6.521,glove,7.121,card,7.871,hat,8.321,chairs,8.921,bag,9.521,sock,10.121,shoe,10.871,sock,11.471
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,spoons,1.0,red,1.721,spoons,2.0,green,2.921,toy,4.0,card,4.121,shoe,4.721,glove,5.321,tables,6.0,spoons,6.521,spoons,7.121,sock,7.721,toy,8.0,tables,8.921,desks,10.0,shoe,10.0,glove,10.721,toy,11.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,chairs,1.121,shoe,1.871,pen,2.321,toy,3.071,card,3.521,hat,4.271,sock,4.871,glove,5.471,chairs,5.921,sock,6.671,glove,7.271,desks,7.871,white,8.321,red,9.071,bag,9.521,red,10.121,chairs,10.871,tables,11.321
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,sock,2.829,red,4.0,shoe,4.0,bag,5.0,sock,5.0,blue,6.0,chairs,6.429,hat,7.029,toy,8.0,glove,8.229,pen,8.829,blue,10.0,spoons,10.0,chairs,10.629,shoe,11.229,sock,12.0,glove,13.0,desks,13.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,chairs,2.979,bag,3.429,glove,4.029,glove,4.629,tables,5.229,glove,5.829,sock,6.579,bag,7.179,desks,7.629,chairs,8.379,sock,8.979,card,9.429,card,10.029,red,10.779,bag,11.379,glove,11.829,glove,12.429,red,13.029
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,pen,2.829,tables,3.429,toy,4.0,white,4.629,chairs,5.0,card,5.829,card,7.0,bag,7.0,card,7.629,chairs,8.0,shoe,9.0,card,10.0,spoons,10.029,bag,10.629,card,11.0,desks,11.829,card,13.0,white,13.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,chairs,2.979,desks,3.579,spoons,4.029,toy,4.779,pen,5.229,spoons,5.979,desks,6.429,tables,7.029,bag,7.779,desks,8.229,spoons,8.829,spoons,9.429,shoe,10.179,red,10.779,white,11.229,desks,11.979,desks,12.429,shoe,13.029
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,card,3.0,tables,4.0,card,4.0,toy,5.0,sock,5.229,blue,5.829,toy,7.0,blue,7.0,sock,7.629,red,8.229,shoe,9.0,toy,9.429,sock,10.0,green,10.629,glove,11.229,tables,11.829,hat,13.0,spoons,13.029
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,blue,2.829,tables,3.429,shoe,4.029,white,4.629,hat,5.379,sock,5.979,red,6.429,shoe,7.029,red,7.779,pen,8.379,hat,8.829,desks,9.579,bag,10.029,card,10.779,pen,11.379,tables,11.979,tables,12.429,tables,13.179
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,white,2.829,spoons,4.0,sock,4.0,chairs,4.629,bag,5.229,shoe,5.829,spoons,6.429,spoons,7.0,red,7.629,card,8.0,chairs,8.829,pen,9.429,desks,10.029,shoe,10.629,tables,11.229,bag,11.829,blue,13.0,toy,13.029
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,desks,2.979,hat,3.429,spoons,4.029,spoons,4.779,blue,5.379,chairs,5.979,chairs,6.579,blue,7.029,glove,7.779,spoons,8.229,toy,8.979,chairs,9.579,toy,10.179,red,10.779,sock,11.379,card,11.979,pen,12.429,spoons,13.179
