Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,shoe,3.0,desks,3.197,toy,4.0,white,4.397,toy,4.997,toy,6.0,green,6.197,blue,6.797,card,7.397,glove,8.0,tables,8.597,green,9.0,glove,10.0,toy,11.0,glove,10.997,card,12.0,chairs,12.0,toy,12.797
practice,0,Masker,none,2.597,none,3.347,none,3.797,none,4.547,none,5.147,none,5.597,none,6.347,none,6.947,none,7.547,none,7.997,none,8.747,none,9.197,none,9.797,none,10.397,none,11.147,none,11.597,none,12.197,none,12.947
practice,1,Target,hat,2.597,card,3.0,shoe,4.0,card,4.397,bag,5.0,hat,6.0,red,6.0,sock,7.0,bag,8.0,hat,8.0,bag,8.597,desks,9.0,hat,10.0,chairs,10.397,red,11.0,hat,12.0,bag,12.0,toy,12.797
practice,1,Masker,none,2.747,none,3.197,none,3.797,none,4.547,none,4.997,none,5.597,none,6.197,none,6.797,none,7.397,none,7.997,none,8.747,none,9.197,none,9.797,none,10.547,none,10.997,none,11.597,none,12.197,none,12.947
practice,2,Target,desks,3.0,desks,3.0,sock,4.0,blue,4.397,glove,5.0,bag,6.0,glove,6.0,pen,7.0,red,7.397,hat,8.0,chairs,9.0,desks,9.0,chairs,10.0,bag,10.397,blue,11.0,red,11.597,hat,12.0,tables,12.797
practice,2,Masker,none,2.597,none,3.197,none,3.797,none,4.547,none,4.997,none,5.597,none,6.197,none,6.797,none,7.547,none,7.997,none,8.597,none,9.197,none,9.797,none,10.547,none,10.997,none,11.747,none,12.197,none,12.947
practice,3,Target,red,2.597,pen,3.0,chairs,3.797,shoe,4.397,white,5.0,blue,6.0,toy,6.0,chairs,7.0,toy,7.397,shoe,8.0,spoons,9.0,toy,9.0,sock,9.797,sock,11.0,chairs,10.997,toy,11.597,pen,12.0,hat,13.0
practice,3,Masker,none,2.747,none,3.197,none,3.947,none,4.547,none,4.997,none,5.597,none,6.197,none,6.797,none,7.547,none,7.997,none,8.597,none,9.197,none,9.947,none,10.397,none,11.147,none,11.747,none,12.197,none,12.797
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,tables,2.105,desks,3.0,chairs,3.0,desks,4.0,desks,5.0,tables,5.105,hat,5.705,chairs,6.305,red,6.905,glove,8.0,red,8.105,red,9.0,hat,9.305,glove,10.0,bag,10.505,toy,11.0,green,11.705,sock,12.305
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,white,2.255,glove,2.705,blue,3.305,glove,3.905,hat,4.505,white,5.255,toy,5.855,tables,6.455,chairs,7.055,glove,7.505,chairs,8.255,spoons,8.705,pen,9.455,pen,9.905,hat,10.655,sock,11.105,chairs,11.855,blue,12.455
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,white,2.105,hat,2.705,pen,3.0,spoons,3.905,toy,5.0,shoe,5.105,sock,5.705,card,6.305,hat,7.0,bag,8.0,toy,8.105,tables,8.705,tables,9.305,chairs,9.905,bag,11.0,toy,11.105,blue,11.705,card,12.305
