Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,shoe,2.382,hat,2.982,red,3.582,green,4.182,white,5.0,hat,6.0,card,5.982,shoe,7.0,spoons,7.0,desks,7.782,toy,8.382,green,9.0,toy,9.582,shoe,10.0,hat,10.782,shoe,11.382,bag,11.982,bag,12.582
practice,0,Masker,none,2.532,none,3.132,none,3.732,none,4.332,none,4.782,none,5.382,none,6.132,none,6.582,none,7.182,none,7.932,none,8.532,none,8.982,none,9.732,none,10.182,none,10.932,none,11.532,none,12.132,none,12.732
practice,1,Target,desks,3.0,red,3.0,red,3.582,tables,4.182,sock,5.0,chairs,6.0,hat,6.0,green,7.0,shoe,7.182,spoons,8.0,bag,9.0,glove,9.0,hat,9.582,glove,10.182,sock,10.782,tables,11.382,toy,12.0,bag,13.0
practice,1,Masker,none,2.382,none,2.982,none,3.732,none,4.332,none,4.782,none,5.382,none,5.982,none,6.582,none,7.332,none,7.782,none,8.382,none,8.982,none,9.732,none,10.332,none,10.932,none,11.532,none,11.982,none,12.582
practice,2,Target,desks,2.382,spoons,3.0,toy,4.0,blue,4.182,shoe,5.0,hat,6.0,desks,5.982,spoons,6.582,chairs,7.0,shoe,7.782,toy,9.0,spoons,9.0,desks,9.582,chairs,10.0,desks,10.782,blue,11.382,hat,11.982,toy,12.582
practice,2,Masker,none,2.532,none,2.982,none,3.582,none,4.332,none,4.782,none,5.382,none,6.132,none,6.732,none,7.182,none,7.932,none,8.382,none,8.982,none,9.732,none,10.182,none,10.932,none,11.532,none,12.132,none,12.732
practice,3,Target,tables,2.382,bag,2.982,white,4.0,pen,4.182,hat,4.782,glove,5.382,white,5.982,pen,6.582,glove,7.0,card,7.782,shoe,9.0,card,9.0,red,9.582,spoons,10.0,bag,10.782,desks,11.382,spoons,12.0,card,13.0
practice,3,Masker,none,2.532,none,3.132,none,3.582,none,4.332,none,4.932,none,5.532,none,6.132,none,6.732,none,7.182,none,7.932,none,8.382,none,8.982,none,9.732,none,10.182,none,10.932,none,11.532,none,11.982,none,12.582
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,glove,2.0,tables,2.506,blue,3.0,spoons,3.706,hat,4.0,desks,4.906,hat,5.506,card,6.106,chairs,7.0,white,7.306,chairs,8.0,glove,8.506,tables,9.0,shoe,10.0,bag,10.0,shoe,10.906,spoons,12.0,chairs,12.106
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,1.906,sock,2.656,spoons,3.106,bag,3.856,shoe,4.306,glove,5.056,chairs,5.656,tables,6.256,tables,6.706,desks,7.456,green,7.906,blue,8.656,card,9.106,chairs,9.706,hat,10.306,glove,11.056,shoe,11.506,desks,12.256
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,chairs,1.906,pen,3.0,pen,3.106,green,4.0,card,4.0,white,4.906,glove,6.0,spoons,6.106,pen,6.706,bag,7.306,card,8.0,glove,9.0,toy,9.0,hat,10.0,pen,10.0,blue,11.0,toy,11.506,desks,12.0
