Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,desks,2.0,hat,3.0,card,3.0,hat,3.862,red,5.0,glove,5.0,tables,6.0,hat,6.262,sock,6.862,hat,8.0,green,8.0,blue,9.0,shoe,9.0,sock,9.862,chairs,10.462,tables,11.062,hat,12.0,white,12.0
practice,0,Masker,none,2.062,none,2.662,none,3.262,none,4.012,none,4.462,none,5.062,none,5.662,none,6.412,none,7.012,none,7.462,none,8.062,none,8.662,none,9.262,none,10.012,none,10.612,none,11.212,none,11.662,none,12.262
practice,1,Target,card,2.0,shoe,2.662,glove,3.262,toy,4.0,red,4.462,bag,5.0,pen,5.662,tables,6.0,chairs,7.0,pen,8.0,spoons,8.0,desks,8.662,card,9.262,desks,9.862,bag,11.0,red,11.0,glove,12.0,card,12.262
practice,1,Masker,none,2.062,none,2.812,none,3.412,none,3.862,none,4.612,none,5.062,none,5.812,none,6.262,none,6.862,none,7.462,none,8.062,none,8.812,none,9.412,none,10.012,none,10.462,none,11.062,none,11.662,none,12.412
practice,2,Target,hat,2.0,glove,2.662,pen,3.0,hat,4.0,card,4.462,chairs,5.062,sock,6.0,desks,6.262,pen,6.862,green,7.462,red,8.062,chairs,8.662,spoons,9.262,hat,9.862,chairs,11.0,card,11.062,hat,11.662,chairs,12.262
practice,2,Masker,none,2.062,none,2.812,none,3.262,none,3.862,none,4.612,none,5.212,none,5.662,none,6.412,none,7.012,none,7.612,none,8.212,none,8.812,none,9.412,none,10.012,none,10.462,none,11.212,none,11.812,none,12.412
practice,3,Target,pen,2.062,card,2.662,toy,3.0,blue,3.862,hat,5.0,pen,5.062,spoons,6.0,hat,6.262,card,6.862,bag,8.0,toy,8.062,sock,9.0,tables,9.0,shoe,10.0,bag,10.462,card,11.062,blue,12.0,tables,12.0
practice,3,Masker,none,2.212,none,2.812,none,3.262,none,4.012,none,4.462,none,5.212,none,5.662,none,6.412,none,7.012,none,7.462,none,8.212,none,8.662,none,9.262,none,9.862,none,10.612,none,11.212,none,11.662,none,12.262
m_speech__ild_0__itd_50__targ_l,0,Target,card,2.0,tables,2.239,hat,3.0,spoons,3.439,glove,4.0,chairs,5.0,shoe,5.239,sock,5.839,spoons,6.439,hat,7.0,spoons,8.0,hat,8.239,hat,8.839,red,10.0,tables,10.039,green,10.639,glove,11.0,spoons,12.0
m_speech__ild_0__itd_50__targ_l,0,Masker,red,1.639,hat,2.389,tables,2.839,hat,3.589,pen,4.039,hat,4.639,card,5.389,chairs,5.989,hat,6.589,bag,7.039,green,7.639,chairs,8.389,hat,8.989,toy,9.439,shoe,10.189,card,10.789,hat,11.239,glove,11.839
m_speech__ild_0__itd_50__targ_l,1,Target,tables,2.0,bag,2.239,glove,3.0,glove,3.439,hat,4.0,tables,5.0,card,5.0,hat,6.0,shoe,6.439,desks,7.0,white,7.639,green,8.0,glove,8.839,chairs,10.0,bag,10.0,shoe,11.0,pen,11.0,hat,11.839
m_speech__ild_0__itd_50__targ_l,1,Masker,hat,1.639,chairs,2.389,pen,2.839,bag,3.589,green,4.039,card,4.639,red,5.239,hat,5.839,hat,6.589,spoons,7.039,shoe,7.789,hat,8.239,desks,8.989,card,9.439,sock,10.039,bag,10.639,bag,11.239,bag,11.989
m_speech__ild_0__itd_50__targ_l,2,Target,glove,2.0,pen,2.0,hat,3.0,chairs,4.0,tables,4.039,blue,4.639,bag,5.0,red,5.839,hat,6.439,pen,7.0,white,8.0,bag,8.0,glove,8.839,desks,10.0,chairs,10.039,white,11.0,hat,11.239,pen,12.0
m_speech__ild_0__itd_50__targ_l,2,Masker,hat,1.639,white,2.239,green,2.839,hat,3.439,hat,4.189,sock,4.789,hat,5.239,tables,5.989,bag,6.589,hat,7.039,pen,7.639,tables,8.239,pen,8.989,red,9.439,hat,10.189,tables,10.639,hat,11.389,sock,11.839
m_speech__ild_0__itd_50__targ_l,3,Target,spoons,1.639,green,2.239,red,2.839,sock,3.439,chairs,4.0,desks,5.0,bag,5.0,chairs,5.839,bag,6.439,white,7.039,red,8.0,chairs,8.0,hat,9.0,glove,10.0,sock,10.0,hat,10.639,spoons,11.239,chairs,11.839
m_speech__ild_0__itd_50__targ_l,3,Masker,spoons,1.789,spoons,2.389,bag,2.989,green,3.589,white,4.039,glove,4.639,red,5.239,spoons,5.989,bag,6.589,desks,7.189,shoe,7.639,sock,8.239,hat,8.839,spoons,9.439,bag,10.039,spoons,10.789,hat,11.389,shoe,11.989
m_speech__ild_0__itd_50__targ_r,0,Target,chairs,1.193,toy,1.793,card,2.393,toy,2.993,chairs,3.593,bag,4.193,red,5.0,toy,6.0,bag,6.0,spoons,6.593,chairs,7.193,blue,8.0,hat,8.393,green,8.993,chairs,10.0,white,10.0,card,11.0,hat,11.393
m_speech__ild_0__itd_50__targ_r,0,Masker,toy,1.343,hat,1.943,hat,2.543,spoons,3.143,shoe,3.743,chairs,4.343,pen,4.793,hat,5.393,hat,5.993,card,6.743,card,7.343,card,7.793,red,8.543,chairs,9.143,toy,9.593,toy,10.193,white,10.793,card,11.543
m_speech__ild_0__itd_50__targ_r,1,Target,red,1.193,chairs,2.0,pen,3.0,spoons,3.0,desks,3.593,pen,4.193,sock,5.0,glove,5.393,tables,6.0,card,7.0,green,7.0,pen,7.793,shoe,9.0,spoons,8.993,desks,9.593,green,10.193,desks,10.793,white,11.393
m_speech__ild_0__itd_50__targ_r,1,Masker,glove,1.343,spoons,1.793,green,2.393,red,2.993,glove,3.743,pen,4.343,tables,4.793,sock,5.543,spoons,5.993,tables,6.593,tables,7.193,card,7.943,pen,8.393,spoons,9.143,desks,9.743,toy,10.343,card,10.943,toy,11.543
m_speech__ild_0__itd_50__targ_r,2,Target,desks,1.193,pen,1.793,card,3.0,glove,2.993,desks,3.593,shoe,4.0,glove,4.793,chairs,5.393,hat,6.0,spoons,7.0,red,7.193,chairs,7.793,card,8.393,hat,8.993,toy,9.593,bag,10.193,pen,11.0,blue,11.393
m_speech__ild_0__itd_50__targ_r,2,Masker,tables,1.343,sock,1.943,pen,2.393,bag,3.143,toy,3.743,green,4.193,white,4.943,tables,5.543,card,5.993,card,6.593,glove,7.343,spoons,7.943,spoons,8.543,glove,9.143,chairs,9.743,chairs,10.343,toy,10.793,glove,11.543
m_speech__ild_0__itd_50__targ_r,3,Target,card,1.193,tables,1.793,sock,3.0,white,2.993,bag,4.0,hat,4.0,toy,4.793,chairs,5.393,sock,5.993,desks,6.593,card,7.193,white,7.793,pen,8.393,glove,8.993,toy,9.593,red,10.193,green,10.793,card,11.393
m_speech__ild_0__itd_50__targ_r,3,Masker,glove,1.343,toy,1.943,green,2.393,card,3.143,glove,3.593,sock,4.193,glove,4.943,spoons,5.543,tables,6.143,tables,6.743,spoons,7.343,glove,7.943,glove,8.543,toy,9.143,white,9.743,sock,10.343,desks,10.943,glove,11.543
m_noise__ild_0__itd_50__targ_l,0,Target,pen,2.0,shoe,2.0,sock,2.595,glove,3.0,green,3.795,white,4.395,tables,5.0,hat,6.0,tables,6.0,glove,6.795,spoons,8.0,bag,7.995,tables,9.0,red,9.195,green,9.795,hat,11.0,sock,10.995,shoe,11.595
m_noise__ild_0__itd_50__targ_l,0,Masker,noise,1.395,noise,1.995,noise,2.745,noise,3.195,noise,3.945,noise,4.545,noise,4.995,noise,5.595,noise,6.195,noise,6.945,noise,7.395,noise,8.145,noise,8.595,noise,9.345,noise,9.945,noise,10.395,noise,11.145,noise,11.745
m_noise__ild_0__itd_50__targ_l,1,Target,desks,2.0,sock,1.995,green,3.0,sock,3.0,pen,4.0,spoons,5.0,white,4.995,tables,5.595,blue,6.195,spoons,6.795,toy,7.395,sock,8.0,white,9.0,card,9.0,sock,10.0,desks,10.395,pen,11.0,card,12.0
m_noise__ild_0__itd_50__targ_l,1,Masker,noise,1.395,noise,2.145,noise,2.595,noise,3.195,noise,3.795,noise,4.395,noise,5.145,noise,5.745,noise,6.345,noise,6.945,noise,7.545,noise,7.995,noise,8.595,noise,9.195,noise,9.795,noise,10.545,noise,10.995,noise,11.595
m_noise__ild_0__itd_50__targ_l,2,Target,green,1.395,hat,1.995,sock,3.0,hat,3.0,green,3.795,hat,5.0,hat,4.995,hat,6.0,chairs,6.0,bag,7.0,tables,8.0,bag,7.995,hat,8.595,spoons,9.195,sock,10.0,hat,11.0,hat,10.995,bag,12.0
m_noise__ild_0__itd_50__targ_l,2,Masker,noise,1.545,noise,2.145,noise,2.595,noise,3.195,noise,3.945,noise,4.395,noise,5.145,noise,5.595,noise,6.195,noise,6.795,noise,7.395,noise,8.145,noise,8.745,noise,9.345,noise,9.795,noise,10.395,noise,11.145,noise,11.595
m_noise__ild_0__itd_50__targ_l,3,Target,chairs,1.395,spoons,2.0,hat,2.595,white,3.195,tables,3.795,sock,5.0,tables,5.0,pen,6.0,toy,6.195,chairs,6.795,glove,8.0,green,7.995,white,8.595,desks,9.0,tables,9.795,card,10.395,shoe,10.995,chairs,11.595
m_noise__ild_0__itd_50__targ_l,3,Masker,noise,1.545,noise,1.995,noise,2.745,noise,3.345,noise,3.945,noise,4.395,noise,4.995,noise,5.595,noise,6.345,noise,6.945,noise,7.395,noise,8.145,noise,8.745,noise,9.195,noise,9.945,noise,10.545,noise,11.145,noise,11.745
m_noise__ild_0__itd_50__targ_r,0,Target,pen,3.0,card,3.331,desks,4.0,pen,4.531,white,5.0,green,5.731,blue,6.331,glove,6.931,tables,7.531,bag,8.0,toy,9.0,chairs,9.331,white,10.0,desks,10.531,bag,11.131,chairs,12.0,sock,12.331,card,13.0
m_noise__ild_0__itd_50__targ_r,0,Masker,noise,2.731,noise,3.481,noise,3.931,noise,4.681,noise,5.131,noise,5.881,noise,6.481,noise,7.081,noise,7.681,noise,8.131,noise,8.731,noise,9.481,noise,9.931,noise,10.681,noise,11.281,noise,11.731,noise,12.481,noise,12.931
m_noise__ild_0__itd_50__targ_r,1,Target,glove,2.731,shoe,3.331,green,4.0,green,4.531,desks,5.0,green,5.731,shoe,6.331,hat,7.0,desks,8.0,tables,8.0,hat,8.731,desks,9.331,blue,10.0,desks,11.0,card,11.0,toy,11.731,card,12.0,glove,12.931
m_noise__ild_0__itd_50__targ_r,1,Masker,noise,2.881,noise,3.481,noise,3.931,noise,4.681,noise,5.131,noise,5.881,noise,6.481,noise,6.931,noise,7.531,noise,8.131,noise,8.881,noise,9.481,noise,9.931,noise,10.531,noise,11.131,noise,11.881,noise,12.331,noise,13.081
m_noise__ild_0__itd_50__targ_r,2,Target,card,2.731,chairs,3.0,desks,4.0,toy,5.0,hat,5.0,desks,5.731,shoe,6.331,glove,7.0,hat,7.531,blue,8.131,toy,8.731,red,9.331,card,10.0,pen,11.0,white,11.0,pen,11.731,hat,12.331,pen,12.931
m_noise__ild_0__itd_50__targ_r,2,Masker,noise,2.881,noise,3.331,noise,3.931,noise,4.531,noise,5.131,noise,5.881,noise,6.481,noise,6.931,noise,7.681,noise,8.281,noise,8.881,noise,9.481,noise,9.931,noise,10.531,noise,11.131,noise,11.881,noise,12.481,noise,13.081
m_noise__ild_0__itd_50__targ_r,3,Target,tables,3.0,chairs,3.331,shoe,3.931,chairs,4.531,white,5.0,chairs,6.0,shoe,6.0,toy,7.0,pen,7.531,bag,8.0,bag,8.731,card,9.0,toy,9.931,blue,11.0,spoons,11.131,spoons,12.0,pen,12.0,sock,12.931
m_noise__ild_0__itd_50__targ_r,3,Masker,noise,2.731,noise,3.481,noise,4.081,noise,4.681,noise,5.131,noise,5.731,noise,6.331,noise,6.931,noise,7.681,noise,8.131,noise,8.881,noise,9.331,noise,10.081,noise,10.531,noise,11.281,noise,11.731,noise,12.331,noise,13.081
m_speech__ild_0__itd_500__targ_l,0,Target,shoe,2.532,sock,3.132,desks,4.0,hat,4.332,card,4.932,blue,6.0,white,6.0,desks,7.0,chairs,7.0,toy,8.0,chairs,9.0,chairs,9.132,tables,9.732,card,10.0,toy,11.0,tables,11.532,pen,12.0,hat,12.732
m_speech__ild_0__itd_500__targ_l,0,Masker,tables,2.682,hat,3.282,sock,3.732,sock,4.482,hat,5.082,spoons,5.532,shoe,6.132,bag,6.732,chairs,7.332,white,7.932,hat,8.532,chairs,9.282,red,9.882,sock,10.332,bag,10.932,glove,11.682,spoons,12.132,pen,12.882
m_speech__ild_0__itd_500__targ_l,1,Target,green,2.532,shoe,3.132,blue,3.732,card,4.332,shoe,4.932,card,5.532,card,6.0,spoons,6.732,bag,7.0,tables,8.0,hat,8.532,chairs,9.132,card,10.0,hat,10.0,toy,11.0,hat,11.532,desks,12.132,bag,12.732
m_speech__ild_0__itd_500__targ_l,1,Masker,shoe,2.682,spoons,3.282,glove,3.882,glove,4.482,hat,5.082,chairs,5.682,sock,6.132,sock,6.882,card,7.332,spoons,7.932,glove,8.682,shoe,9.282,spoons,9.732,white,10.332,shoe,10.932,white,11.682,shoe,12.282,desks,12.882
m_speech__ild_0__itd_500__targ_l,2,Target,glove,2.532,sock,3.132,toy,3.732,glove,4.332,spoons,4.932,pen,6.0,red,6.0,glove,7.0,sock,7.0,blue,8.0,glove,8.532,tables,9.0,toy,9.732,glove,10.332,shoe,11.0,pen,11.532,bag,12.132,spoons,12.732
m_speech__ild_0__itd_500__targ_l,2,Masker,hat,2.682,glove,3.282,glove,3.882,blue,4.482,green,5.082,blue,5.532,desks,6.132,chairs,6.732,chairs,7.332,shoe,7.932,desks,8.682,shoe,9.132,hat,9.882,white,10.482,bag,10.932,bag,11.682,spoons,12.282,hat,12.882
m_speech__ild_0__itd_500__targ_l,3,Target,hat,3.0,pen,3.0,tables,4.0,pen,4.332,toy,5.0,spoons,6.0,pen,6.132,hat,7.0,red,7.0,pen,7.932,white,9.0,tables,9.132,sock,10.0,pen,10.332,green,10.932,pen,11.532,pen,12.0,white,12.732
m_speech__ild_0__itd_500__targ_l,3,Masker,tables,2.532,hat,3.132,tables,3.732,green,4.482,pen,4.932,pen,5.532,tables,6.282,tables,6.732,tables,7.332,blue,8.082,pen,8.532,chairs,9.282,hat,9.732,tables,10.482,pen,11.082,shoe,11.682,bag,12.132,pen,12.882
m_speech__ild_0__itd_500__targ_r,0,Target,toy,2.536,shoe,3.0,hat,4.0,chairs,4.336,white,5.0,hat,5.536,bag,6.136,bag,6.736,chairs,7.336,glove,8.0,red,8.536,green,9.0,shoe,9.736,green,10.336,chairs,10.936,glove,11.536,shoe,12.136,sock,12.736
m_speech__ild_0__itd_500__targ_r,0,Masker,sock,2.686,blue,3.136,green,3.736,tables,4.486,chairs,4.936,hat,5.686,toy,6.286,glove,6.886,shoe,7.486,bag,7.936,glove,8.686,tables,9.136,green,9.886,chairs,10.486,white,11.086,bag,11.686,tables,12.286,tables,12.886
m_speech__ild_0__itd_500__targ_r,1,Target,glove,2.536,spoons,3.136,pen,4.0,hat,4.336,blue,5.0,desks,6.0,chairs,6.0,hat,6.736,hat,7.336,desks,7.936,pen,8.536,blue,9.0,spoons,9.736,white,10.336,hat,10.936,sock,11.536,glove,12.136,desks,12.736
m_speech__ild_0__itd_500__targ_r,1,Masker,red,2.686,hat,3.286,card,3.736,desks,4.486,spoons,4.936,blue,5.536,white,6.136,hat,6.886,desks,7.486,red,8.086,glove,8.686,card,9.136,tables,9.886,card,10.486,chairs,11.086,card,11.686,shoe,12.286,desks,12.886
m_speech__ild_0__itd_500__targ_r,2,Target,chairs,3.0,spoons,3.0,pen,3.736,sock,4.0,white,5.0,glove,6.0,tables,6.0,tables,7.0,desks,7.0,bag,8.0,bag,8.536,card,9.136,glove,10.0,blue,10.0,glove,10.936,card,11.536,hat,12.0,tables,12.736
