Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,chairs,1.117,tables,2.0,toy,2.317,shoe,3.0,bag,3.517,chairs,4.0,green,5.0,pen,5.317,desks,5.917,red,7.0,sock,7.0,hat,7.717,shoe,8.317,hat,8.917,desks,10.0,card,10.117,spoons,11.0,chairs,11.317
practice,0,Masker,none,1.267,none,1.717,none,2.467,none,2.917,none,3.667,none,4.117,none,4.717,none,5.467,none,6.067,none,6.517,none,7.117,none,7.867,none,8.467,none,9.067,none,9.517,none,10.267,none,10.717,none,11.467
practice,1,Target,tables,1.117,toy,1.717,white,2.0,hat,2.917,bag,3.517,pen,4.0,shoe,4.717,tables,5.317,pen,5.917,glove,7.0,toy,7.0,desks,8.0,pen,8.0,glove,8.917,shoe,10.0,blue,10.117,hat,11.0,pen,11.317
practice,1,Masker,none,1.267,none,1.867,none,2.317,none,3.067,none,3.667,none,4.117,none,4.867,none,5.467,none,6.067,none,6.517,none,7.117,none,7.717,none,8.317,none,9.067,none,9.517,none,10.267,none,10.717,none,11.467
practice,2,Target,hat,1.117,tables,2.0,hat,2.317,glove,2.917,sock,4.0,red,4.117,white,4.717,spoons,5.0,bag,5.917,hat,7.0,glove,7.0,shoe,8.0,bag,8.0,chairs,9.0,bag,10.0,glove,10.117,bag,10.717,hat,11.317
practice,2,Masker,none,1.267,none,1.717,none,2.467,none,3.067,none,3.517,none,4.267,none,4.867,none,5.317,none,6.067,none,6.517,none,7.117,none,7.717,none,8.317,none,8.917,none,9.517,none,10.267,none,10.867,none,11.467
practice,3,Target,chairs,1.117,chairs,2.0,toy,2.317,chairs,3.0,white,3.517,chairs,4.117,card,5.0,desks,5.317,pen,6.0,card,7.0,toy,7.117,card,8.0,sock,8.317,chairs,8.917,chairs,9.517,glove,10.117,chairs,10.717,white,11.0
practice,3,Masker,none,1.267,none,1.717,none,2.467,none,2.917,none,3.667,none,4.267,none,4.717,none,5.467,none,5.917,none,6.517,none,7.267,none,7.717,none,8.467,none,9.067,none,9.667,none,10.267,none,10.867,none,11.317
m_speech__ild_0__itd_50__targ_l,0,Target,green,3.0,desks,3.242,sock,3.842,tables,4.442,spoons,5.0,hat,5.642,bag,6.0,pen,6.842,hat,8.0,glove,8.042,white,8.642,blue,9.0,bag,10.0,tables,11.0,bag,11.0,desks,11.642,pen,12.0,card,12.842
m_speech__ild_0__itd_50__targ_l,0,Masker,spoons,2.642,tables,3.392,hat,3.992,hat,4.592,green,5.042,white,5.792,tables,6.242,hat,6.992,tables,7.442,white,8.192,pen,8.792,card,9.242,card,9.842,spoons,10.442,sock,11.042,red,11.792,spoons,12.242,bag,12.992
