Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,spoons,1.046,bag,2.0,glove,2.0,desks,2.846,tables,4.0,glove,4.0,sock,4.646,tables,5.246,pen,5.846,glove,6.446,chairs,7.046,white,8.0,spoons,8.246,desks,9.0,pen,9.446,blue,10.046,desks,10.646,tables,11.246
practice,0,Masker,none,1.196,none,1.646,none,2.246,none,2.996,none,3.446,none,4.046,none,4.796,none,5.396,none,5.996,none,6.596,none,7.196,none,7.646,none,8.396,none,8.846,none,9.596,none,10.196,none,10.796,none,11.396
practice,1,Target,card,1.0,pen,1.646,bag,2.0,card,3.0,white,4.0,shoe,4.046,card,4.646,toy,5.0,chairs,6.0,shoe,6.446,toy,7.046,card,8.0,bag,8.0,card,9.0,spoons,9.446,desks,10.046,white,10.646,tables,11.0
practice,1,Masker,none,1.046,none,1.796,none,2.246,none,2.846,none,3.446,none,4.196,none,4.796,none,5.246,none,5.846,none,6.596,none,7.196,none,7.646,none,8.246,none,8.846,none,9.596,none,10.196,none,10.796,none,11.246
practice,2,Target,toy,1.0,shoe,1.646,card,2.0,toy,3.0,green,3.446,glove,4.046,hat,5.0,desks,5.246,sock,6.0,glove,6.446,card,7.0,glove,7.646,shoe,8.0,hat,9.0,tables,9.446,shoe,10.0,glove,11.0,green,11.0
practice,2,Masker,none,1.046,none,1.796,none,2.246,none,2.846,none,3.596,none,4.196,none,4.646,none,5.396,none,5.846,none,6.596,none,7.046,none,7.796,none,8.246,none,8.846,none,9.596,none,10.046,none,10.646,none,11.246
practice,3,Target,card,1.0,spoons,1.646,tables,2.0,glove,2.846,bag,3.446,glove,4.0,shoe,5.0,spoons,5.246,shoe,5.846,glove,7.0,spoons,7.046,red,8.0,sock,8.0,shoe,8.846,green,10.0,blue,10.0,blue,11.0,desks,11.0
practice,3,Masker,none,1.046,none,1.796,none,2.246,none,2.996,none,3.596,none,4.046,none,4.646,none,5.396,none,5.996,none,6.446,none,7.196,none,7.646,none,8.246,none,8.996,none,9.446,none,10.046,none,10.646,none,11.246
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,1.665,toy,2.265,shoe,3.0,red,4.0,hat,4.065,tables,4.665,desks,5.0,chairs,6.0,sock,7.0,toy,7.065,desks,8.0,pen,8.265,white,9.0,chairs,10.0,red,10.065,tables,10.665,chairs,11.265,toy,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,white,1.815,pen,2.415,tables,2.865,tables,3.465,sock,4.215,toy,4.815,hat,5.265,card,5.865,toy,6.465,glove,7.215,tables,7.665,blue,8.415,sock,8.865,bag,9.465,hat,10.215,white,10.815,hat,11.415,toy,11.865
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,shoe,1.665,bag,2.0,tables,2.865,white,4.0,spoons,4.065,desks,5.0,sock,5.0,toy,6.0,tables,6.465,desks,7.0,toy,7.665,tables,8.265,red,9.0,tables,10.0,desks,10.0,red,10.665,desks,11.265,green,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,sock,1.815,red,2.265,tables,3.015,bag,3.465,hat,4.215,card,4.665,sock,5.265,blue,5.865,sock,6.615,glove,7.065,blue,7.815,shoe,8.415,hat,8.865,bag,9.465,pen,10.065,bag,10.815,red,11.415,pen,11.865
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,card,1.665,desks,2.0,toy,2.865,blue,3.465,sock,4.0,shoe,4.665,shoe,5.265,green,5.865,glove,6.465,card,7.065,blue,7.665,sock,8.0,shoe,9.0,shoe,9.465,toy,10.065,toy,11.0,white,11.265,bag,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,shoe,1.815,card,2.265,chairs,3.015,pen,3.615,blue,4.065,spoons,4.815,toy,5.415,pen,6.015,blue,6.615,hat,7.215,pen,7.815,toy,8.265,desks,8.865,desks,9.615,green,10.215,white,10.665,shoe,11.415,sock,11.865
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,shoe,1.665,hat,2.265,shoe,3.0,green,3.465,glove,4.065,spoons,5.0,glove,5.265,tables,5.865,chairs,6.465,tables,7.0,red,7.665,bag,8.265,hat,9.0,glove,10.0,bag,10.0,desks,10.665,sock,11.0,green,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,bag,1.815,shoe,2.415,spoons,2.865,sock,3.615,card,4.215,glove,4.665,white,5.415,toy,6.015,tables,6.615,pen,7.065,bag,7.815,sock,8.415,desks,8.865,green,9.465,tables,10.065,card,10.815,glove,11.265,spoons,11.865
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,card,2.824,sock,4.0,chairs,4.024,blue,4.624,chairs,5.0,white,5.824,shoe,6.424,bag,7.024,card,7.624,bag,8.224,blue,8.824,toy,10.0,sock,10.024,tables,11.0,card,11.224,bag,12.0,card,13.0,desks,13.024
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,pen,2.974,chairs,3.424,bag,4.174,spoons,4.774,hat,5.224,sock,5.974,hat,6.574,green,7.174,card,7.774,card,8.374,card,8.974,tables,9.424,desks,10.174,white,10.624,card,11.374,tables,11.824,tables,12.424,blue,13.174
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,shoe,2.824,bag,3.424,pen,4.0,blue,4.624,blue,5.224,glove,6.0,bag,6.424,card,7.024,desks,7.624,glove,8.224,desks,9.0,pen,9.424,glove,10.024,glove,11.0,tables,11.224,card,12.0,glove,13.0,desks,13.024
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,card,2.974,hat,3.574,glove,4.024,sock,4.774,bag,5.374,card,5.824,desks,6.574,desks,7.174,chairs,7.774,glove,8.374,card,8.824,red,9.574,spoons,10.174,white,10.624,pen,11.374,card,11.824,desks,12.424,glove,13.174
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,hat,2.824,white,4.0,bag,4.0,sock,5.0,spoons,5.224,spoons,5.824,glove,6.424,sock,7.024,card,7.624,desks,8.224,spoons,9.0,spoons,10.0,sock,10.024,desks,11.0,bag,11.224,spoons,11.824,glove,12.424,white,13.024
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,glove,2.974,toy,3.424,toy,4.024,hat,4.624,chairs,5.374,sock,5.974,toy,6.574,desks,7.174,spoons,7.774,green,8.374,sock,8.824,desks,9.424,hat,10.174,shoe,10.624,spoons,11.374,toy,11.974,green,12.574,toy,13.174
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,glove,2.824,red,4.0,tables,4.024,green,4.624,hat,5.0,toy,5.824,hat,6.424,card,7.0,pen,8.0,shoe,8.0,green,8.824,white,10.0,desks,10.0,card,11.0,pen,11.0,spoons,12.0,pen,13.0,tables,13.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,shoe,2.974,spoons,3.424,shoe,4.174,sock,4.774,red,5.224,shoe,5.974,glove,6.574,tables,7.024,spoons,7.624,red,8.224,shoe,8.974,pen,9.424,toy,10.024,red,10.624,pen,11.224,shoe,11.824,card,12.424,shoe,13.024
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,tables,2.0,spoons,2.572,sock,3.172,glove,4.0,green,5.0,shoe,5.0,chairs,6.0,sock,6.0,shoe,7.0,sock,7.372,red,8.0,bag,9.0,sock,9.172,bag,10.0,pen,10.372,white,10.972,desks,11.572,desks,12.172
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,1.972,noise,2.722,noise,3.322,noise,3.772,noise,4.372,noise,4.972,noise,5.572,noise,6.172,noise,6.772,noise,7.522,noise,7.972,noise,8.572,noise,9.322,noise,9.772,noise,10.522,noise,11.122,noise,11.722,noise,12.322
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,spoons,2.0,tables,2.572,shoe,3.0,bag,3.772,card,4.372,toy,5.0,spoons,6.0,toy,6.172,spoons,7.0,blue,7.372,blue,8.0,blue,8.572,sock,9.0,shoe,10.0,sock,11.0,hat,11.0,desks,11.572,white,12.0
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,1.972,noise,2.722,noise,3.172,noise,3.922,noise,4.522,noise,4.972,noise,5.572,noise,6.322,noise,6.772,noise,7.522,noise,7.972,noise,8.722,noise,9.172,noise,9.772,noise,10.372,noise,10.972,noise,11.722,noise,12.172
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,desks,1.972,bag,3.0,green,3.172,desks,4.0,green,4.372,toy,4.972,glove,6.0,sock,6.172,desks,7.0,hat,8.0,bag,8.0,spoons,8.572,shoe,9.172,toy,9.772,sock,11.0,toy,11.0,tables,12.0,toy,12.0
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,2.122,noise,2.572,noise,3.322,noise,3.772,noise,4.522,noise,5.122,noise,5.572,noise,6.322,noise,6.772,noise,7.372,noise,7.972,noise,8.722,noise,9.322,noise,9.922,noise,10.372,noise,10.972,noise,11.572,noise,12.172
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,tables,2.0,pen,3.0,sock,3.172,blue,4.0,white,4.372,card,5.0,shoe,5.572,bag,6.172,spoons,6.772,shoe,7.372,tables,8.0,red,9.0,chairs,9.172,tables,10.0,chairs,11.0,red,10.972,pen,12.0,card,12.0
m_noise__ild_0__itd_50__targ_l__control_0,3,Masker,noise,1.972,noise,2.572,noise,3.322,noise,3.772,noise,4.522,noise,4.972,noise,5.722,noise,6.322,noise,6.922,noise,7.522,noise,7.972,noise,8.572,noise,9.322,noise,9.772,noise,10.372,noise,11.122,noise,11.572,noise,12.172
m_noise__ild_0__itd_50__targ_r__control_0,0,Target,toy,3.0,card,3.0,chairs,4.0,toy,4.377,glove,5.0,hat,5.577,spoons,6.177,red,6.777,toy,7.377,card,8.0,toy,8.577,desks,9.177,spoons,9.777,spoons,10.377,glove,11.0,green,12.0,toy,12.177,spoons,13.0
m_noise__ild_0__itd_50__targ_r__control_0,0,Masker,noise,2.577,noise,3.177,noise,3.777,noise,4.527,noise,4.977,noise,5.727,noise,6.327,noise,6.927,noise,7.527,noise,7.977,noise,8.727,noise,9.327,noise,9.927,noise,10.527,noise,10.977,noise,11.577,noise,12.327,noise,12.777
