Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,red,2.0,chairs,2.479,red,3.079,toy,3.679,tables,4.0,spoons,5.0,glove,5.479,pen,6.0,card,6.679,tables,7.279,glove,7.879,toy,8.479,glove,9.079,blue,10.0,chairs,10.279,pen,11.0,chairs,11.479,green,12.079
practice,0,Masker,none,1.879,none,2.629,none,3.229,none,3.829,none,4.279,none,4.879,none,5.629,none,6.079,none,6.829,none,7.429,none,8.029,none,8.629,none,9.229,none,9.679,none,10.429,none,10.879,none,11.629,none,12.229
practice,1,Target,pen,2.0,chairs,2.479,tables,3.0,card,4.0,card,4.279,blue,4.879,hat,6.0,blue,6.079,card,6.679,sock,7.0,green,8.0,card,8.479,white,9.079,pen,10.0,bag,10.0,tables,10.879,chairs,12.0,tables,12.079
practice,1,Masker,none,1.879,none,2.629,none,3.079,none,3.679,none,4.429,none,5.029,none,5.479,none,6.229,none,6.829,none,7.279,none,7.879,none,8.629,none,9.229,none,9.679,none,10.279,none,11.029,none,11.479,none,12.229
practice,2,Target,glove,1.879,desks,3.0,pen,3.079,tables,3.679,tables,4.279,hat,5.0,toy,5.479,chairs,6.0,blue,6.679,toy,7.279,green,8.0,spoons,9.0,desks,9.079,tables,9.679,toy,10.0,bag,10.879,white,11.479,toy,12.0
practice,2,Masker,none,2.029,none,2.479,none,3.229,none,3.829,none,4.429,none,4.879,none,5.629,none,6.079,none,6.829,none,7.429,none,7.879,none,8.479,none,9.229,none,9.829,none,10.279,none,11.029,none,11.629,none,12.079
practice,3,Target,toy,1.879,pen,3.0,chairs,3.079,red,4.0,chairs,4.279,glove,4.879,pen,5.479,card,6.0,pen,7.0,white,7.279,bag,7.879,tables,8.479,card,9.0,tables,10.0,glove,10.279,card,11.0,bag,11.479,toy,12.0
practice,3,Masker,none,2.029,none,2.479,none,3.229,none,3.679,none,4.429,none,5.029,none,5.629,none,6.079,none,6.679,none,7.429,none,8.029,none,8.629,none,9.079,none,9.679,none,10.429,none,10.879,none,11.629,none,12.079
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,sock,2.445,glove,3.045,bag,4.0,card,4.0,toy,5.0,card,6.0,red,6.0,bag,6.645,spoons,7.245,glove,8.0,desks,8.445,bag,9.0,blue,9.645,bag,10.0,pen,11.0,bag,12.0,toy,12.0,glove,12.645
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,bag,2.595,bag,3.195,spoons,3.645,bag,4.245,green,4.845,bag,5.445,toy,6.045,card,6.795,blue,7.395,blue,7.845,hat,8.595,red,9.045,desks,9.795,desks,10.245,desks,10.845,tables,11.445,glove,12.045,hat,12.795
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,desks,2.445,sock,3.045,spoons,3.645,white,4.0,tables,4.845,spoons,6.0,pen,6.0,hat,7.0,toy,7.245,card,8.0,hat,9.0,pen,9.045,toy,10.0,shoe,10.245,card,10.845,tables,11.445,hat,12.045,green,12.645
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,card,2.595,hat,3.195,toy,3.795,card,4.245,chairs,4.995,spoons,5.445,desks,6.045,hat,6.645,hat,7.395,shoe,7.845,hat,8.445,hat,9.195,tables,9.645,tables,10.395,green,10.995,hat,11.595,blue,12.195,tables,12.795
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,spoons,3.0,hat,3.045,shoe,4.0,toy,4.245,sock,5.0,shoe,5.445,red,6.0,red,6.645,shoe,7.0,green,8.0,chairs,8.445,sock,9.045,shoe,10.0,chairs,10.0,glove,11.0,card,12.0,green,12.045,toy,12.645
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,desks,2.445,shoe,3.195,tables,3.645,glove,4.395,white,4.845,desks,5.595,desks,6.045,pen,6.795,sock,7.245,desks,7.845,card,8.595,desks,9.195,green,9.645,shoe,10.245,pen,10.845,chairs,11.445,card,12.195,blue,12.795
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,sock,3.0,card,3.0,chairs,4.0,sock,4.245,bag,5.0,green,6.0,pen,6.045,red,7.0,hat,7.0,sock,8.0,spoons,9.0,blue,9.045,desks,9.645,sock,10.0,spoons,11.0,tables,11.445,hat,12.0,hat,13.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,desks,2.445,shoe,3.045,white,3.645,blue,4.395,blue,4.845,sock,5.445,hat,6.195,spoons,6.645,sock,7.245,hat,7.845,pen,8.445,tables,9.195,hat,9.795,tables,10.245,card,10.845,desks,11.595,white,12.045,spoons,12.645
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,tables,2.0,desks,3.0,sock,3.411,spoons,4.0,sock,5.0,chairs,5.211,desks,6.0,glove,6.411,red,7.011,white,7.611,glove,8.0,red,8.811,bag,10.0,chairs,10.011,pen,11.0,shoe,11.211,card,11.811,green,12.411
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,desks,2.211,red,2.811,shoe,3.561,bag,4.011,bag,4.611,desks,5.361,shoe,5.811,tables,6.561,desks,7.161,sock,7.761,shoe,8.211,tables,8.961,desks,9.411,card,10.161,green,10.611,tables,11.361,shoe,11.961,pen,12.561
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,white,2.0,green,3.0,glove,3.411,toy,4.0,pen,4.611,shoe,5.0,desks,6.0,pen,7.0,hat,7.011,shoe,8.0,pen,8.0,green,9.0,shoe,10.0,tables,10.0,chairs,10.611,glove,11.0,toy,11.811,pen,12.411
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,pen,2.211,glove,2.811,card,3.561,white,4.011,glove,4.761,desks,5.211,green,5.811,card,6.411,card,7.161,card,7.611,blue,8.211,sock,8.811,red,9.411,glove,10.011,desks,10.761,bag,11.211,desks,11.961,tables,12.561
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,bag,2.0,chairs,3.0,white,3.411,glove,4.011,spoons,5.0,card,5.0,bag,5.811,white,6.411,card,7.0,bag,7.611,bag,8.211,card,8.811,glove,9.411,shoe,10.0,chairs,10.611,pen,11.0,red,11.811,chairs,13.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,white,2.211,shoe,2.811,chairs,3.561,sock,4.161,white,4.611,desks,5.211,green,5.961,chairs,6.561,chairs,7.011,glove,7.761,sock,8.361,pen,8.961,shoe,9.561,desks,10.011,card,10.761,chairs,11.211,spoons,11.961,bag,12.411
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,blue,2.0,desks,3.0,sock,4.0,spoons,4.0,chairs,4.611,desks,5.211,spoons,5.811,spoons,6.411,sock,7.0,card,8.0,glove,8.211,spoons,8.811,white,10.0,chairs,10.0,chairs,10.611,spoons,11.0,chairs,11.811,desks,12.411
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,chairs,2.211,bag,2.811,blue,3.411,white,4.011,spoons,4.761,spoons,5.361,shoe,5.961,chairs,6.561,red,7.011,bag,7.611,spoons,8.361,desks,8.961,spoons,9.411,pen,10.011,sock,10.761,hat,11.211,spoons,11.961,pen,12.561
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,pen,3.0,hat,3.0,pen,4.0,green,5.0,pen,5.0,tables,6.0,hat,6.216,blue,7.0,shoe,8.0,pen,8.0,spoons,8.616,card,9.0,shoe,9.816,pen,11.0,chairs,11.0,pen,12.0,shoe,12.0,pen,12.816
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,2.616,noise,3.216,noise,3.816,noise,4.416,noise,5.016,noise,5.616,noise,6.366,noise,6.816,noise,7.416,noise,8.016,noise,8.766,noise,9.216,noise,9.966,noise,10.416,noise,11.016,noise,11.616,noise,12.216,noise,12.966
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,hat,3.0,red,3.0,chairs,4.0,hat,5.0,green,5.016,hat,5.616,hat,6.216,desks,6.816,sock,8.0,shoe,8.016,hat,8.616,shoe,9.0,toy,9.816,hat,11.0,white,11.0,spoons,12.0,toy,12.0,green,12.816
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,2.616,noise,3.216,noise,3.816,noise,4.416,noise,5.166,noise,5.766,noise,6.366,noise,6.966,noise,7.416,noise,8.166,noise,8.766,noise,9.216,noise,9.966,noise,10.416,noise,11.016,noise,11.616,noise,12.216,noise,12.966
