Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,white,2.32,hat,3.0,tables,3.52,green,4.12,spoons,5.0,hat,5.0,bag,5.92,tables,6.52,hat,7.12,glove,8.0,hat,8.0,tables,9.0,tables,10.0,spoons,10.0,toy,11.0,shoe,11.0,green,12.0,tables,13.0
practice,0,Masker,none,2.47,none,2.92,none,3.67,none,4.27,none,4.72,none,5.32,none,6.07,none,6.67,none,7.27,none,7.72,none,8.32,none,8.92,none,9.52,none,10.12,none,10.72,none,11.32,none,11.92,none,12.52
practice,1,Target,toy,2.0,glove,3.0,chairs,3.52,chairs,4.12,desks,5.0,blue,5.0,spoons,5.92,sock,7.0,spoons,7.0,chairs,7.72,desks,8.32,chairs,8.92,blue,10.0,white,10.0,pen,10.72,chairs,11.32,spoons,11.92,desks,12.52
practice,1,Masker,none,2.32,none,2.92,none,3.67,none,4.27,none,4.72,none,5.32,none,6.07,none,6.52,none,7.12,none,7.87,none,8.47,none,9.07,none,9.52,none,10.12,none,10.87,none,11.47,none,12.07,none,12.67
practice,2,Target,spoons,2.0,desks,2.92,blue,3.52,shoe,4.0,toy,4.72,pen,5.32,blue,5.92,hat,6.52,tables,7.12,green,7.72,toy,8.0,spoons,8.92,sock,10.0,toy,10.12,glove,11.0,chairs,11.0,bag,11.92,red,12.52
practice,2,Masker,none,2.32,none,3.07,none,3.67,none,4.12,none,4.87,none,5.47,none,6.07,none,6.67,none,7.27,none,7.87,none,8.32,none,9.07,none,9.52,none,10.27,none,10.72,none,11.32,none,12.07,none,12.67
practice,3,Target,chairs,2.32,glove,2.92,desks,4.0,pen,4.12,hat,4.72,red,5.32,blue,6.0,blue,7.0,glove,7.0,chairs,7.72,bag,8.0,pen,9.0,chairs,9.52,glove,10.0,glove,10.72,hat,11.0,card,12.0,spoons,13.0
practice,3,Masker,none,2.47,none,3.07,none,3.52,none,4.27,none,4.87,none,5.47,none,5.92,none,6.52,none,7.12,none,7.87,none,8.32,none,8.92,none,9.67,none,10.12,none,10.87,none,11.32,none,11.92,none,12.52
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,tables,2.614,card,3.0,chairs,3.814,sock,5.0,shoe,5.0,green,5.614,desks,6.0,red,6.814,card,7.414,glove,8.014,toy,8.614,pen,9.0,card,9.814,blue,10.414,green,11.0,hat,11.614,chairs,12.0,glove,12.814
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,hat,2.764,sock,3.214,card,3.964,shoe,4.414,bag,5.014,sock,5.764,glove,6.214,card,6.964,blue,7.564,shoe,8.164,glove,8.764,sock,9.214,pen,9.964,card,10.564,chairs,11.014,red,11.764,bag,12.214,hat,12.964
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,hat,2.614,chairs,3.214,blue,3.814,sock,5.0,card,5.0,spoons,5.614,spoons,6.214,toy,7.0,chairs,8.0,shoe,8.014,spoons,8.614,green,9.0,sock,9.814,desks,10.414,green,11.0,blue,11.614,shoe,12.0,toy,13.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,red,2.764,glove,3.364,tables,3.964,bag,4.414,desks,5.014,chairs,5.764,green,6.364,shoe,6.814,toy,7.414,card,8.164,chairs,8.764,spoons,9.214,tables,9.964,toy,10.564,shoe,11.014,hat,11.764,pen,12.214,sock,12.814
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,pen,3.0,white,3.214,red,4.0,chairs,4.414,pen,5.014,tables,5.614,red,6.214,hat,6.814,bag,8.0,card,8.0,glove,8.614,card,9.0,bag,10.0,pen,11.0,shoe,11.0,blue,12.0,card,12.0,toy,13.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,glove,2.614,tables,3.364,bag,3.814,blue,4.564,green,5.164,hat,5.764,sock,6.364,glove,6.964,pen,7.414,hat,8.014,pen,8.764,bag,9.214,toy,9.814,bag,10.414,white,11.014,tables,11.614,blue,12.214,card,12.814
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,hat,2.614,shoe,3.0,chairs,3.814,sock,4.414,desks,5.0,bag,6.0,red,6.0,white,7.0,pen,8.0,sock,8.014,tables,8.614,hat,9.214,card,9.814,toy,10.414,green,11.014,card,11.614,white,12.214,pen,12.814
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,green,2.764,card,3.214,desks,3.964,tables,4.564,blue,5.014,hat,5.614,tables,6.214,pen,6.814,red,7.414,hat,8.164,desks,8.764,spoons,9.364,chairs,9.964,hat,10.564,chairs,11.164,chairs,11.764,chairs,12.364,card,12.964
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,white,2.0,tables,3.0,glove,3.42,bag,4.02,blue,4.62,card,5.0,sock,6.0,toy,7.0,shoe,7.0,blue,8.0,shoe,8.22,hat,9.0,spoons,9.42,toy,10.0,tables,11.0,toy,11.22,pen,11.82,desks,12.42
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,shoe,2.22,card,2.82,desks,3.57,sock,4.17,desks,4.77,spoons,5.22,spoons,5.82,shoe,6.42,red,7.02,bag,7.62,shoe,8.37,card,8.82,glove,9.57,hat,10.02,green,10.62,tables,11.37,tables,11.97,bag,12.57
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,bag,2.22,shoe,2.82,card,3.42,bag,4.02,chairs,4.62,card,5.22,desks,5.82,blue,7.0,hat,7.0,bag,7.62,desks,8.0,pen,8.82,sock,10.0,white,10.0,blue,10.62,glove,11.22,card,11.82,toy,12.42
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,shoe,2.37,chairs,2.97,hat,3.57,blue,4.17,bag,4.77,white,5.37,card,5.97,pen,6.42,sock,7.02,sock,7.77,red,8.22,sock,8.97,card,9.42,toy,10.02,card,10.77,chairs,11.37,card,11.97,chairs,12.57
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,bag,2.0,white,3.0,hat,3.42,card,4.0,chairs,5.0,blue,5.0,pen,5.82,blue,7.0,desks,7.02,chairs,7.62,shoe,8.0,spoons,8.82,hat,9.42,hat,10.02,shoe,11.0,hat,11.0,hat,12.0,glove,13.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,tables,2.22,pen,2.82,pen,3.57,desks,4.02,shoe,4.62,chairs,5.22,blue,5.97,hat,6.42,white,7.17,green,7.77,pen,8.22,hat,8.97,desks,9.57,spoons,10.17,spoons,10.62,toy,11.22,card,11.82,chairs,12.42
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,spoons,2.22,pen,3.0,sock,4.0,glove,4.02,desks,4.62,card,5.0,glove,6.0,sock,6.42,white,7.02,bag,7.62,chairs,8.22,bag,9.0,sock,9.42,pen,10.02,desks,11.0,bag,11.22,red,11.82,glove,13.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,tables,2.37,sock,2.82,glove,3.42,pen,4.17,shoe,4.77,sock,5.22,bag,5.82,card,6.57,glove,7.17,green,7.77,green,8.37,pen,8.82,card,9.57,sock,10.17,toy,10.62,spoons,11.37,card,11.97,green,12.42
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,bag,2.269,spoons,2.869,spoons,3.469,glove,4.0,toy,5.0,sock,5.269,blue,6.0,desks,7.0,glove,7.0,pen,7.669,sock,8.0,sock,9.0,red,9.469,green,10.069,desks,10.669,sock,11.269,glove,11.869,toy,12.469
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,2.419,noise,3.019,noise,3.619,noise,4.069,noise,4.669,noise,5.419,noise,5.869,noise,6.469,noise,7.069,noise,7.819,noise,8.269,noise,8.869,noise,9.619,noise,10.219,noise,10.819,noise,11.419,noise,12.019,noise,12.619
