Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,card,2.0,white,3.0,tables,3.205,chairs,4.0,desks,5.0,red,5.005,shoe,6.0,bag,6.205,card,6.805,card,7.405,sock,8.005,pen,9.0,tables,9.205,desks,10.0,tables,10.405,card,11.005,desks,11.605,sock,12.0
practice,0,Masker,none,2.005,none,2.605,none,3.355,none,3.805,none,4.405,none,5.155,none,5.605,none,6.355,none,6.955,none,7.555,none,8.155,none,8.605,none,9.355,none,9.805,none,10.555,none,11.155,none,11.755,none,12.205
practice,1,Target,bag,2.005,sock,2.605,hat,3.0,bag,4.0,card,5.0,pen,5.005,glove,5.605,spoons,6.0,sock,6.805,tables,7.405,glove,8.0,tables,9.0,desks,9.205,green,10.0,sock,11.0,blue,11.0,spoons,11.605,card,12.205
practice,1,Masker,none,2.155,none,2.755,none,3.205,none,3.805,none,4.405,none,5.155,none,5.755,none,6.205,none,6.955,none,7.555,none,8.005,none,8.605,none,9.355,none,9.805,none,10.405,none,11.005,none,11.755,none,12.355
practice,2,Target,card,2.005,pen,2.605,spoons,3.0,chairs,4.0,desks,4.405,spoons,5.005,desks,5.605,pen,6.0,hat,7.0,pen,8.0,chairs,8.0,bag,8.605,chairs,9.205,shoe,10.0,desks,11.0,green,11.005,blue,11.605,glove,12.205
practice,2,Masker,none,2.155,none,2.755,none,3.205,none,3.805,none,4.555,none,5.155,none,5.755,none,6.205,none,6.805,none,7.405,none,8.005,none,8.755,none,9.355,none,9.805,none,10.405,none,11.155,none,11.755,none,12.355
practice,3,Target,chairs,2.005,tables,2.605,sock,3.0,green,3.805,tables,5.0,glove,5.005,tables,5.605,toy,6.0,tables,6.805,hat,8.0,tables,8.005,shoe,9.0,chairs,9.0,pen,9.805,tables,11.0,chairs,11.0,sock,11.605,green,12.0
practice,3,Masker,none,2.155,none,2.755,none,3.205,none,3.955,none,4.405,none,5.155,none,5.755,none,6.205,none,6.955,none,7.405,none,8.155,none,8.605,none,9.205,none,9.955,none,10.405,none,11.005,none,11.755,none,12.205
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,pen,2.0,glove,2.0,hat,2.677,shoe,3.277,desks,3.877,white,4.477,chairs,5.0,desks,5.677,desks,6.0,sock,6.877,red,7.477,bag,8.0,desks,9.0,sock,9.0,spoons,10.0,pen,11.0,green,11.0,desks,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,desks,1.477,desks,2.077,desks,2.827,red,3.427,desks,4.027,desks,4.627,green,5.077,shoe,5.827,blue,6.277,desks,7.027,hat,7.627,green,8.077,glove,8.677,shoe,9.277,desks,9.877,card,10.477,bag,11.077,card,11.677
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,card,1.477,hat,2.077,bag,2.677,hat,3.0,desks,4.0,chairs,5.0,hat,5.0,tables,5.677,shoe,6.0,glove,6.877,tables,7.477,sock,8.0,toy,8.677,blue,9.0,tables,9.877,hat,11.0,white,11.0,blue,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,sock,1.627,red,2.227,spoons,2.827,desks,3.277,spoons,3.877,desks,4.477,desks,5.077,chairs,5.827,glove,6.277,hat,7.027,blue,7.627,toy,8.077,tables,8.827,chairs,9.277,shoe,10.027,green,10.477,spoons,11.077,spoons,11.677
