Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,toy,1.834,card,3.0,hat,3.034,red,3.634,shoe,4.234,chairs,4.834,sock,5.434,glove,6.034,green,6.634,chairs,7.0,white,7.834,toy,8.434,card,9.034,tables,9.634,spoons,10.0,toy,11.0,blue,12.0,tables,12.034
practice,0,Masker,none,1.984,none,2.434,none,3.184,none,3.784,none,4.384,none,4.984,none,5.584,none,6.184,none,6.784,none,7.234,none,7.984,none,8.584,none,9.184,none,9.784,none,10.234,none,10.834,none,11.434,none,12.184
practice,1,Target,hat,1.834,green,2.434,bag,3.034,chairs,3.634,tables,4.234,pen,4.834,toy,5.434,tables,6.0,chairs,7.0,sock,7.0,toy,7.834,spoons,9.0,green,9.034,spoons,9.634,pen,10.0,spoons,11.0,desks,11.434,bag,12.0
practice,1,Masker,none,1.984,none,2.584,none,3.184,none,3.784,none,4.384,none,4.984,none,5.584,none,6.034,none,6.634,none,7.234,none,7.984,none,8.434,none,9.184,none,9.784,none,10.234,none,10.834,none,11.584,none,12.034
practice,2,Target,bag,1.834,tables,2.434,hat,3.0,tables,4.0,pen,4.234,spoons,4.834,hat,6.0,red,6.0,white,7.0,white,7.234,green,7.834,tables,8.434,shoe,9.034,card,9.634,hat,10.0,spoons,10.834,card,11.434,desks,12.0
practice,2,Masker,none,1.984,none,2.584,none,3.034,none,3.634,none,4.384,none,4.984,none,5.434,none,6.034,none,6.634,none,7.384,none,7.984,none,8.584,none,9.184,none,9.784,none,10.234,none,10.984,none,11.584,none,12.034
practice,3,Target,chairs,2.0,glove,2.434,green,3.034,shoe,3.634,glove,4.234,glove,4.834,green,6.0,spoons,6.0,glove,6.634,glove,7.0,glove,8.0,glove,9.0,chairs,9.034,toy,10.0,shoe,10.234,spoons,10.834,desks,11.434,shoe,12.0
practice,3,Masker,none,1.834,none,2.584,none,3.184,none,3.784,none,4.384,none,4.984,none,5.434,none,6.034,none,6.784,none,7.234,none,7.834,none,8.434,none,9.184,none,9.634,none,10.384,none,10.984,none,11.584,none,12.034
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,glove,2.0,green,3.0,green,3.0,toy,4.0,desks,4.444,bag,5.044,glove,5.644,spoons,6.0,bag,6.844,spoons,7.444,spoons,8.0,toy,9.0,spoons,9.244,toy,10.0,blue,10.444,glove,11.0,blue,11.644,spoons,12.244
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,pen,2.044,toy,2.644,shoe,3.244,bag,3.844,red,4.594,sock,5.194,red,5.794,pen,6.244,spoons,6.994,spoons,7.594,hat,8.044,shoe,8.644,shoe,9.394,card,9.844,spoons,10.594,hat,11.044,card,11.794,blue,12.394
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,white,2.0,desks,3.0,desks,3.244,chairs,3.844,hat,5.0,hat,5.0,pen,5.644,toy,6.0,card,6.844,bag,7.444,toy,8.0,tables,9.0,glove,9.0,spoons,10.0,white,11.0,card,11.0,blue,12.0,red,12.244
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,bag,2.044,green,2.644,glove,3.394,bag,3.994,toy,4.444,spoons,5.044,sock,5.794,bag,6.244,red,6.994,bag,7.594,bag,8.044,shoe,8.644,white,9.244,spoons,9.844,tables,10.444,bag,11.044,chairs,11.644,desks,12.394
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,pen,2.0,glove,3.0,red,3.0,white,3.844,spoons,5.0,card,5.044,glove,5.644,bag,6.244,glove,6.844,toy,7.444,shoe,8.0,desks,9.0,pen,9.244,bag,9.844,pen,10.444,red,11.044,green,11.644,tables,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,pen,2.044,card,2.644,toy,3.244,glove,3.994,pen,4.444,desks,5.194,white,5.794,spoons,6.394,chairs,6.994,white,7.594,desks,8.044,tables,8.644,hat,9.394,spoons,9.994,blue,10.594,spoons,11.194,chairs,11.794,hat,12.244
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,hat,2.0,red,2.644,glove,3.0,hat,3.844,sock,5.0,tables,5.044,chairs,6.0,green,6.244,spoons,7.0,glove,7.444,sock,8.044,toy,8.644,card,9.0,hat,10.0,sock,11.0,spoons,11.0,hat,11.644,chairs,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,card,2.044,spoons,2.794,spoons,3.244,hat,3.994,pen,4.444,glove,5.194,hat,5.644,tables,6.394,bag,6.844,white,7.594,spoons,8.194,sock,8.794,chairs,9.244,red,9.844,bag,10.444,spoons,11.044,green,11.794,hat,12.244
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,chairs,3.0,shoe,4.0,white,4.0,desks,5.0,pen,6.0,toy,5.996,pen,7.0,pen,7.0,white,8.0,sock,9.0,blue,8.996,toy,9.596,spoons,10.0,blue,11.0,hat,12.0,desks,12.0,bag,12.596,chairs,13.196
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,desks,2.996,tables,3.596,card,4.196,shoe,4.796,pen,5.396,chairs,6.146,card,6.596,chairs,7.196,chairs,7.796,red,8.396,tables,9.146,tables,9.746,green,10.196,shoe,10.796,shoe,11.396,chairs,11.996,white,12.746,glove,13.346
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,chairs,3.0,desks,3.596,sock,4.0,bag,4.796,card,6.0,bag,5.996,white,7.0,spoons,7.0,shoe,8.0,tables,8.396,red,8.996,glove,9.596,desks,10.196,shoe,10.796,red,12.0,shoe,11.996,glove,12.596,sock,13.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,shoe,2.996,glove,3.746,tables,4.196,toy,4.946,chairs,5.396,card,6.146,glove,6.596,bag,7.196,blue,7.796,card,8.546,desks,9.146,sock,9.746,red,10.346,pen,10.946,glove,11.396,tables,12.146,tables,12.746,pen,13.196
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,pen,3.0,red,4.0,chairs,4.0,bag,5.0,card,6.0,bag,6.0,hat,7.0,red,7.196,tables,7.796,bag,9.0,pen,8.996,pen,9.596,hat,10.196,hat,10.796,blue,11.396,shoe,11.996,red,12.596,hat,13.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,toy,2.996,bag,3.596,pen,4.196,spoons,4.796,bag,5.396,desks,5.996,tables,6.596,bag,7.346,desks,7.946,white,8.396,glove,9.146,shoe,9.746,bag,10.346,red,10.946,sock,11.546,card,12.146,toy,12.746,green,13.196
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,hat,3.0,chairs,4.0,red,4.196,red,5.0,tables,5.396,hat,6.0,spoons,6.596,glove,7.196,sock,7.796,toy,8.396,chairs,9.0,spoons,9.596,hat,10.196,bag,10.796,pen,11.396,hat,11.996,desks,12.596,green,13.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,spoons,2.996,sock,3.596,pen,4.346,card,4.796,pen,5.546,desks,5.996,toy,6.746,tables,7.346,hat,7.946,card,8.546,white,8.996,shoe,9.746,card,10.346,hat,10.946,shoe,11.546,green,12.146,pen,12.746,spoons,13.196
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,glove,1.325,desks,1.925,pen,2.525,spoons,3.0,red,3.725,pen,4.325,shoe,4.925,bag,6.0,hat,6.0,glove,7.0,bag,7.325,sock,7.925,sock,8.525,pen,9.125,glove,9.725,red,10.0,glove,11.0,red,11.525
