Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,toy,1.496,shoe,2.0,glove,2.696,chairs,3.0,bag,4.0,chairs,4.496,red,5.096,spoons,5.696,glove,6.296,bag,7.0,bag,7.496,glove,8.096,red,9.0,tables,9.0,glove,9.896,chairs,10.496,bag,11.0,glove,12.0
practice,0,Masker,none,1.646,none,2.096,none,2.846,none,3.296,none,3.896,none,4.646,none,5.246,none,5.846,none,6.446,none,6.896,none,7.646,none,8.246,none,8.696,none,9.296,none,10.046,none,10.646,none,11.096,none,11.696
practice,1,Target,sock,1.496,desks,2.0,white,3.0,tables,3.296,toy,3.896,sock,4.496,hat,5.096,pen,6.0,desks,6.0,spoons,6.896,card,8.0,tables,8.0,white,8.696,shoe,9.296,desks,9.896,card,11.0,hat,11.096,tables,12.0
practice,1,Masker,none,1.646,none,2.096,none,2.696,none,3.446,none,4.046,none,4.646,none,5.246,none,5.696,none,6.296,none,7.046,none,7.496,none,8.096,none,8.846,none,9.446,none,10.046,none,10.496,none,11.246,none,11.696
practice,2,Target,glove,1.496,tables,2.0,sock,2.696,white,3.296,shoe,3.896,card,4.496,card,5.096,white,6.0,shoe,6.296,card,6.896,shoe,7.496,blue,8.0,spoons,8.696,hat,9.296,shoe,10.0,pen,10.496,card,11.0,toy,11.696
practice,2,Masker,none,1.646,none,2.096,none,2.846,none,3.446,none,4.046,none,4.646,none,5.246,none,5.696,none,6.446,none,7.046,none,7.646,none,8.096,none,8.846,none,9.446,none,9.896,none,10.646,none,11.096,none,11.846
practice,3,Target,blue,1.496,spoons,2.0,chairs,3.0,chairs,3.296,spoons,4.0,sock,5.0,shoe,5.0,green,5.696,bag,6.0,chairs,7.0,hat,8.0,red,8.0,hat,8.696,spoons,9.296,glove,10.0,spoons,10.496,hat,11.096,bag,11.696
practice,3,Masker,none,1.646,none,2.096,none,2.696,none,3.446,none,3.896,none,4.496,none,5.096,none,5.846,none,6.296,none,6.896,none,7.496,none,8.096,none,8.846,none,9.446,none,9.896,none,10.646,none,11.246,none,11.846
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,1.446,green,2.046,shoe,2.646,sock,3.246,sock,4.0,bag,4.446,tables,5.046,desks,5.646,sock,6.246,shoe,6.846,chairs,7.446,shoe,8.0,hat,9.0,sock,9.0,glove,10.0,green,10.446,glove,11.0,shoe,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,toy,1.596,desks,2.196,sock,2.796,spoons,3.396,blue,3.846,tables,4.596,pen,5.196,bag,5.796,blue,6.396,sock,6.996,spoons,7.596,toy,8.046,chairs,8.646,tables,9.246,blue,9.846,pen,10.596,spoons,11.046,spoons,11.646
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,red,2.0,glove,2.046,white,2.646,pen,3.0,white,4.0,bag,4.446,tables,5.0,pen,5.646,pen,6.0,bag,7.0,sock,8.0,pen,8.0,glove,8.646,tables,9.246,spoons,9.846,card,10.446,glove,11.046,toy,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,shoe,1.446,shoe,2.196,pen,2.796,white,3.246,pen,3.846,tables,4.596,pen,5.046,bag,5.796,toy,6.246,card,6.846,toy,7.446,tables,8.046,pen,8.796,spoons,9.396,red,9.996,blue,10.596,toy,11.196,hat,11.646
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,tables,1.446,desks,2.0,spoons,2.646,blue,3.246,spoons,4.0,white,4.446,red,5.046,card,6.0,sock,6.246,pen,6.846,hat,7.446,pen,8.0,shoe,9.0,pen,9.0,sock,10.0,bag,11.0,toy,11.0,blue,11.646
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,glove,1.596,spoons,2.046,glove,2.796,toy,3.396,glove,3.846,shoe,4.596,pen,5.196,blue,5.646,blue,6.396,desks,6.996,card,7.596,shoe,8.046,sock,8.646,chairs,9.246,card,9.846,spoons,10.446,card,11.046,tables,11.796
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,sock,1.446,blue,2.0,pen,2.646,pen,3.246,blue,3.846,white,4.446,blue,5.0,sock,5.646,card,6.0,pen,7.0,sock,8.0,desks,8.0,pen,9.0,shoe,9.0,spoons,9.846,glove,11.0,pen,11.046,hat,11.646
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,shoe,1.596,desks,2.046,toy,2.796,green,3.396,spoons,3.996,card,4.596,shoe,5.046,pen,5.796,toy,6.246,green,6.846,pen,7.446,card,8.046,card,8.646,white,9.246,chairs,9.996,pen,10.446,sock,11.196,toy,11.796
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,sock,2.839,chairs,4.0,pen,4.0,bag,5.0,pen,5.0,sock,6.0,pen,7.0,desks,7.039,sock,7.639,glove,8.0,bag,8.839,sock,9.439,sock,10.039,white,11.0,sock,11.0,red,12.0,sock,13.0,spoons,13.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,spoons,2.989,hat,3.439,white,4.039,blue,4.639,sock,5.239,tables,5.839,white,6.439,bag,7.189,glove,7.789,bag,8.239,sock,8.989,pen,9.589,toy,10.189,glove,10.639,shoe,11.239,pen,11.839,spoons,12.439,sock,13.039
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,spoons,3.0,white,3.439,toy,4.039,card,4.639,desks,5.239,toy,6.0,desks,7.0,sock,7.039,chairs,8.0,shoe,8.0,bag,8.839,tables,10.0,bag,10.0,red,11.0,hat,11.239,shoe,11.839,chairs,13.0,hat,13.039
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,shoe,2.839,pen,3.589,chairs,4.189,chairs,4.789,spoons,5.389,white,5.839,spoons,6.439,bag,7.189,pen,7.639,bag,8.239,blue,8.989,blue,9.439,glove,10.039,bag,10.639,blue,11.389,bag,11.989,spoons,12.439,shoe,13.189
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,card,3.0,pen,3.439,tables,4.0,pen,4.639,shoe,5.0,pen,5.839,desks,6.439,toy,7.039,green,7.639,white,8.0,pen,9.0,toy,10.0,desks,10.0,tables,10.639,hat,11.239,pen,11.839,card,13.0,glove,13.039
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,desks,2.839,desks,3.589,chairs,4.039,spoons,4.789,pen,5.239,red,5.989,pen,6.589,pen,7.189,toy,7.789,pen,8.239,hat,8.839,green,9.439,pen,10.039,shoe,10.789,chairs,11.389,shoe,11.989,pen,12.439,spoons,13.189
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,spoons,3.0,spoons,3.439,spoons,4.0,tables,5.0,tables,5.239,white,6.0,shoe,6.439,spoons,7.039,red,7.639,bag,8.0,glove,9.0,red,9.439,card,10.039,spoons,10.639,pen,11.239,spoons,11.839,shoe,12.439,red,13.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,chairs,2.839,pen,3.589,green,4.039,hat,4.639,sock,5.389,pen,5.839,toy,6.589,chairs,7.189,desks,7.789,blue,8.239,toy,8.839,glove,9.589,pen,10.189,bag,10.789,blue,11.389,bag,11.989,hat,12.589,pen,13.039
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,white,2.632,shoe,3.232,blue,4.0,bag,5.0,tables,5.032,chairs,6.0,tables,6.232,glove,7.0,chairs,7.432,sock,8.0,blue,8.632,chairs,9.0,pen,10.0,glove,11.0,bag,11.0,chairs,12.0,tables,12.0,sock,12.832
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,2.782,noise,3.382,noise,3.832,noise,4.432,noise,5.182,noise,5.632,noise,6.382,noise,6.832,noise,7.582,noise,8.032,noise,8.782,noise,9.232,noise,9.832,noise,10.432,noise,11.032,noise,11.632,noise,12.232,noise,12.982
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,pen,2.632,glove,3.232,white,4.0,pen,5.0,hat,5.0,sock,6.0,glove,6.232,toy,6.832,sock,8.0,red,8.0,hat,8.632,pen,9.232,card,10.0,hat,10.432,white,11.0,bag,11.632,hat,12.232,shoe,13.0
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,2.782,noise,3.382,noise,3.832,noise,4.432,noise,5.032,noise,5.632,noise,6.382,noise,6.982,noise,7.432,noise,8.032,noise,8.782,noise,9.382,noise,9.832,noise,10.582,noise,11.032,noise,11.782,noise,12.382,noise,12.832
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,pen,3.0,card,3.0,spoons,3.832,blue,4.432,toy,5.0,bag,5.632,bag,6.232,spoons,6.832,sock,8.0,toy,8.0,white,9.0,sock,9.232,tables,9.832,bag,11.0,hat,11.032,card,12.0,spoons,12.232,pen,12.832
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,2.632,noise,3.232,noise,3.982,noise,4.582,noise,5.032,noise,5.782,noise,6.382,noise,6.982,noise,7.432,noise,8.032,noise,8.632,noise,9.382,noise,9.982,noise,10.432,noise,11.182,noise,11.632,noise,12.382,noise,12.982
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,sock,2.632,bag,3.0,glove,3.832,blue,5.0,desks,5.0,pen,5.632,chairs,6.232,glove,6.832,card,7.432,glove,8.0,spoons,8.632,chairs,9.0,card,9.832,red,10.432,sock,11.0,chairs,11.632,desks,12.0,glove,13.0
m_noise__ild_0__itd_50__targ_l__control_0,3,Masker,noise,2.782,noise,3.232,noise,3.982,noise,4.432,noise,5.032,noise,5.782,noise,6.382,noise,6.982,noise,7.582,noise,8.032,noise,8.782,noise,9.232,noise,9.982,noise,10.582,noise,11.032,noise,11.782,noise,12.232,noise,12.832
m_noise__ild_0__itd_50__targ_r__control_0,0,Target,hat,2.716,white,3.0,toy,3.916,pen,4.516,card,5.116,shoe,6.0,glove,6.316,hat,7.0,glove,8.0,tables,8.116,pen,8.716,green,9.0,tables,9.916,card,11.0,spoons,11.116,desks,11.716,bag,12.316,hat,13.0
m_noise__ild_0__itd_50__targ_r__control_0,0,Masker,noise,2.866,noise,3.316,noise,4.066,noise,4.666,noise,5.266,noise,5.716,noise,6.466,noise,6.916,noise,7.516,noise,8.266,noise,8.866,noise,9.316,noise,10.066,noise,10.516,noise,11.266,noise,11.866,noise,12.466,noise,12.916
m_noise__ild_0__itd_50__targ_r__control_0,1,Target,toy,3.0,hat,3.0,pen,3.916,spoons,4.516,toy,5.0,tables,5.716,desks,6.316,sock,6.916,pen,7.516,white,8.0,white,8.716,blue,9.316,desks,10.0,hat,10.516,bag,11.0,tables,11.716,glove,12.316,sock,13.0
m_noise__ild_0__itd_50__targ_r__control_0,1,Masker,noise,2.716,noise,3.316,noise,4.066,noise,4.666,noise,5.116,noise,5.866,noise,6.466,noise,7.066,noise,7.666,noise,8.116,noise,8.866,noise,9.466,noise,9.916,noise,10.666,noise,11.116,noise,11.866,noise,12.466,noise,12.916
m_noise__ild_0__itd_50__targ_r__control_0,2,Target,spoons,2.716,pen,3.316,green,3.916,desks,4.516,desks,5.116,card,6.0,desks,6.316,red,6.916,glove,8.0,bag,8.116,card,9.0,shoe,9.0,green,10.0,chairs,11.0,tables,11.0,card,12.0,glove,12.0,blue,13.0
m_noise__ild_0__itd_50__targ_r__control_0,2,Masker,noise,2.866,noise,3.466,noise,4.066,noise,4.666,noise,5.266,noise,5.716,noise,6.466,noise,7.066,noise,7.516,noise,8.266,noise,8.716,noise,9.316,noise,9.916,noise,10.516,noise,11.116,noise,11.716,noise,12.316,noise,12.916
m_noise__ild_0__itd_50__targ_r__control_0,3,Target,spoons,3.0,green,3.0,chairs,4.0,glove,4.516,toy,5.116,pen,6.0,glove,6.0,toy,7.0,spoons,8.0,desks,8.116,bag,8.716,sock,9.316,white,10.0,tables,11.0,shoe,11.0,sock,11.716,spoons,12.0,bag,13.0
m_noise__ild_0__itd_50__targ_r__control_0,3,Masker,noise,2.716,noise,3.316,noise,3.916,noise,4.666,noise,5.266,noise,5.716,noise,6.316,noise,6.916,noise,7.516,noise,8.266,noise,8.866,noise,9.466,noise,9.916,noise,10.516,noise,11.116,noise,11.866,noise,12.316,noise,12.916
m_speech__ild_0__itd_500__targ_l__control_0,0,Target,red,1.821,spoons,3.0,shoe,3.0,spoons,3.621,red,4.0,green,4.821,shoe,5.421,spoons,6.021,card,7.0,sock,7.0,spoons,8.0,bag,9.0,toy,9.021,desks,10.0,hat,10.0,spoons,10.821,spoons,12.0,blue,12.0
