Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,red,2.0,card,3.0,chairs,3.324,sock,4.0,pen,5.0,spoons,5.124,shoe,6.0,spoons,6.324,glove,7.0,glove,7.524,toy,8.124,blue,8.724,blue,9.324,chairs,9.924,shoe,11.0,chairs,11.124,toy,12.0,sock,12.324
practice,0,Masker,none,2.124,none,2.724,none,3.474,none,3.924,none,4.524,none,5.274,none,5.724,none,6.474,none,6.924,none,7.674,none,8.274,none,8.874,none,9.474,none,10.074,none,10.524,none,11.274,none,11.724,none,12.474
practice,1,Target,desks,2.124,sock,3.0,desks,3.324,spoons,4.0,blue,4.524,sock,5.0,bag,5.724,blue,6.0,shoe,7.0,spoons,7.524,blue,8.0,white,9.0,pen,9.324,toy,9.924,desks,11.0,toy,11.124,glove,12.0,toy,12.324
practice,1,Masker,none,2.274,none,2.724,none,3.474,none,3.924,none,4.674,none,5.124,none,5.874,none,6.324,none,6.924,none,7.674,none,8.124,none,8.724,none,9.474,none,10.074,none,10.524,none,11.274,none,11.724,none,12.474
practice,2,Target,shoe,2.0,blue,3.0,pen,3.324,sock,3.924,pen,5.0,card,5.124,toy,5.724,desks,6.324,card,7.0,sock,8.0,blue,8.0,green,9.0,blue,9.324,chairs,9.924,card,10.524,tables,11.0,glove,12.0,spoons,12.0
practice,2,Masker,none,2.124,none,2.724,none,3.474,none,4.074,none,4.524,none,5.274,none,5.874,none,6.474,none,6.924,none,7.524,none,8.124,none,8.724,none,9.474,none,10.074,none,10.674,none,11.124,none,11.724,none,12.324
practice,3,Target,desks,2.124,tables,2.724,bag,3.0,tables,3.924,sock,4.524,green,5.124,pen,5.724,green,6.0,glove,6.924,pen,8.0,toy,8.0,green,8.724,glove,9.0,toy,10.0,pen,10.524,spoons,11.0,glove,12.0,toy,12.0
practice,3,Masker,none,2.274,none,2.874,none,3.324,none,4.074,none,4.674,none,5.274,none,5.874,none,6.324,none,7.074,none,7.524,none,8.124,none,8.874,none,9.324,none,9.924,none,10.674,none,11.124,none,11.724,none,12.324
m_speech__ild_0__itd_50__targ_l,0,Target,hat,2.0,spoons,2.0,toy,3.0,green,3.0,spoons,3.849,bag,4.449,spoons,5.0,bag,5.649,hat,6.249,tables,6.849,bag,7.449,pen,8.049,card,9.0,pen,9.0,white,9.849,chairs,11.0,spoons,11.0,shoe,12.0
m_speech__ild_0__itd_50__targ_l,0,Masker,toy,1.449,hat,2.049,blue,2.649,hat,3.249,glove,3.999,chairs,4.599,hat,5.049,sock,5.799,tables,6.399,green,6.999,spoons,7.599,spoons,8.199,pen,8.649,toy,9.249,toy,9.999,bag,10.449,hat,11.049,spoons,11.649
