Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,tables,2.0,glove,2.471,tables,3.0,bag,3.671,pen,4.0,desks,4.871,toy,6.0,card,6.071,blue,7.0,card,7.0,desks,7.871,spoons,8.471,pen,9.071,desks,9.671,hat,10.271,blue,10.871,green,12.0,red,12.071
practice,0,Masker,none,1.871,none,2.621,none,3.071,none,3.821,none,4.271,none,5.021,none,5.471,none,6.221,none,6.671,none,7.271,none,8.021,none,8.621,none,9.221,none,9.821,none,10.421,none,11.021,none,11.471,none,12.221
practice,1,Target,toy,1.871,card,2.471,toy,3.0,shoe,4.0,hat,4.0,chairs,4.871,green,5.471,hat,6.0,hat,6.671,toy,7.0,blue,8.0,sock,9.0,bag,9.0,shoe,9.671,toy,10.0,blue,10.871,sock,11.471,spoons,12.071
practice,1,Masker,none,2.021,none,2.621,none,3.071,none,3.671,none,4.271,none,5.021,none,5.621,none,6.071,none,6.821,none,7.271,none,7.871,none,8.471,none,9.071,none,9.821,none,10.271,none,11.021,none,11.621,none,12.221
practice,2,Target,blue,1.871,card,3.0,tables,3.0,pen,3.671,card,4.0,bag,5.0,green,5.471,toy,6.071,bag,6.671,desks,7.0,bag,8.0,blue,9.0,card,9.0,bag,10.0,card,10.0,shoe,10.871,blue,11.471,pen,12.071
practice,2,Masker,none,2.021,none,2.471,none,3.071,none,3.821,none,4.271,none,4.871,none,5.621,none,6.221,none,6.821,none,7.271,none,7.871,none,8.471,none,9.071,none,9.671,none,10.271,none,11.021,none,11.621,none,12.221
practice,3,Target,card,2.0,desks,2.471,shoe,3.0,white,3.671,glove,4.271,card,5.0,chairs,6.0,toy,6.0,glove,7.0,hat,7.271,card,8.0,red,9.0,pen,9.0,sock,10.0,card,10.0,red,10.871,glove,11.471,red,12.0
practice,3,Masker,none,1.871,none,2.621,none,3.071,none,3.821,none,4.421,none,4.871,none,5.471,none,6.071,none,6.671,none,7.421,none,7.871,none,8.471,none,9.071,none,9.671,none,10.271,none,11.021,none,11.621,none,12.071
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,3.0,spoons,3.038,hat,4.0,white,4.238,glove,4.838,red,5.438,hat,6.0,shoe,7.0,card,7.238,pen,8.0,spoons,9.0,shoe,9.0,tables,10.0,spoons,10.0,desks,11.0,shoe,12.0,glove,12.038,hat,12.638
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,white,2.438,card,3.188,shoe,3.638,card,4.388,card,4.988,chairs,5.588,card,6.038,sock,6.638,sock,7.388,red,7.838,chairs,8.438,card,9.038,bag,9.638,green,10.238,spoons,10.838,chairs,11.438,card,12.188,sock,12.788
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,spoons,3.0,shoe,3.0,sock,4.0,desks,4.238,spoons,5.0,shoe,5.438,chairs,6.038,glove,7.0,card,7.238,shoe,7.838,hat,9.0,shoe,9.0,blue,9.638,card,10.238,white,10.838,shoe,12.0,tables,12.038,shoe,13.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,white,2.438,card,3.038,glove,3.638,pen,4.388,bag,4.838,card,5.588,glove,6.188,toy,6.638,tables,7.388,glove,7.988,white,8.438,blue,9.038,sock,9.788,spoons,10.388,chairs,10.988,desks,11.438,glove,12.188,card,12.638
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,desks,2.438,pen,3.0,green,3.638,card,4.238,green,5.0,tables,5.438,card,6.038,hat,7.0,shoe,7.0,glove,8.0,hat,8.438,toy,9.038,desks,10.0,toy,10.238,blue,10.838,hat,12.0,spoons,12.0,toy,12.638
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,white,2.588,hat,3.038,sock,3.788,red,4.388,tables,4.838,sock,5.588,spoons,6.188,green,6.638,pen,7.238,desks,7.838,card,8.588,sock,9.188,hat,9.638,shoe,10.388,shoe,10.988,desks,11.438,hat,12.038,green,12.788
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,shoe,3.0,card,3.0,sock,4.0,shoe,4.0,blue,5.0,bag,5.438,tables,6.0,hat,6.638,desks,7.238,shoe,7.838,spoons,9.0,chairs,9.038,tables,9.638,spoons,10.238,green,11.0,toy,12.0,glove,12.038,red,12.638
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,sock,2.438,toy,3.038,bag,3.638,blue,4.238,card,4.838,chairs,5.588,card,6.038,glove,6.788,bag,7.388,bag,7.988,card,8.438,blue,9.188,spoons,9.788,tables,10.388,bag,10.838,shoe,11.438,sock,12.188,sock,12.788
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,shoe,2.0,sock,2.063,hat,3.0,shoe,3.263,spoons,3.863,hat,4.463,card,5.0,bag,6.0,sock,6.263,glove,7.0,red,8.0,pen,8.063,toy,9.0,white,9.263,red,10.0,green,11.0,bag,11.063,sock,11.663
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,chairs,1.463,sock,2.213,blue,2.663,card,3.413,glove,4.013,glove,4.613,chairs,5.063,glove,5.663,spoons,6.413,white,6.863,pen,7.463,green,8.213,white,8.663,shoe,9.413,tables,9.863,toy,10.463,pen,11.213,toy,11.813
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,pen,1.463,sock,2.063,red,3.0,pen,3.263,card,4.0,spoons,5.0,blue,5.0,card,5.663,green,6.263,glove,7.0,pen,7.463,pen,8.063,sock,8.663,tables,9.263,green,9.863,bag,11.0,glove,11.063,toy,12.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,white,1.613,card,2.213,sock,2.663,shoe,3.413,green,3.863,sock,4.463,glove,5.063,spoons,5.813,chairs,6.413,glove,6.863,shoe,7.613,bag,8.213,toy,8.813,sock,9.413,sock,10.013,red,10.463,spoons,11.213,hat,11.663
