Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,bag,2.0,chairs,2.0,green,2.586,tables,3.0,glove,3.786,desks,5.0,blue,5.0,green,6.0,card,6.0,bag,7.0,hat,8.0,bag,8.0,sock,8.586,card,9.186,desks,10.0,glove,10.386,card,11.0,white,12.0
practice,0,Masker,none,1.386,none,1.986,none,2.736,none,3.186,none,3.936,none,4.386,none,4.986,none,5.586,none,6.186,none,6.786,none,7.386,none,7.986,none,8.736,none,9.336,none,9.786,none,10.536,none,10.986,none,11.586
practice,1,Target,bag,1.386,blue,1.986,shoe,3.0,card,3.186,white,4.0,glove,4.386,glove,5.0,sock,6.0,hat,6.186,desks,7.0,toy,7.386,tables,8.0,hat,8.586,tables,9.186,toy,9.786,sock,10.386,bag,10.986,green,12.0
practice,1,Masker,none,1.536,none,2.136,none,2.586,none,3.336,none,3.786,none,4.536,none,4.986,none,5.586,none,6.336,none,6.786,none,7.536,none,7.986,none,8.736,none,9.336,none,9.936,none,10.536,none,11.136,none,11.586
practice,2,Target,hat,2.0,red,1.986,chairs,2.586,pen,3.0,shoe,3.786,pen,5.0,glove,4.986,hat,6.0,desks,6.0,white,6.786,bag,7.386,shoe,7.986,shoe,9.0,card,9.186,desks,10.0,glove,11.0,pen,10.986,bag,12.0
practice,2,Masker,none,1.386,none,2.136,none,2.736,none,3.186,none,3.936,none,4.386,none,5.136,none,5.586,none,6.186,none,6.936,none,7.536,none,8.136,none,8.586,none,9.336,none,9.786,none,10.386,none,11.136,none,11.586
practice,3,Target,hat,1.386,toy,1.986,desks,2.586,red,3.186,hat,3.786,white,4.386,shoe,4.986,spoons,5.586,shoe,6.186,pen,7.0,white,8.0,desks,8.0,spoons,8.586,card,9.186,glove,9.786,desks,11.0,card,10.986,spoons,12.0
practice,3,Masker,none,1.536,none,2.136,none,2.736,none,3.336,none,3.936,none,4.536,none,5.136,none,5.736,none,6.336,none,6.786,none,7.386,none,7.986,none,8.736,none,9.336,none,9.936,none,10.386,none,11.136,none,11.586
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,card,2.0,desks,2.276,pen,2.876,spoons,3.476,desks,4.0,chairs,5.0,white,5.276,desks,5.876,toy,6.476,bag,7.0,chairs,7.676,spoons,8.0,desks,8.876,sock,9.476,shoe,10.076,red,11.0,tables,11.0,pen,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,sock,1.676,hat,2.426,card,3.026,pen,3.626,sock,4.076,sock,4.676,spoons,5.426,green,6.026,desks,6.626,pen,7.076,glove,7.826,white,8.276,sock,9.026,blue,9.626,green,10.226,sock,10.676,glove,11.276,card,11.876
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,desks,1.676,toy,2.276,sock,3.0,pen,4.0,blue,4.0,white,5.0,blue,5.276,hat,5.876,glove,7.0,shoe,7.076,tables,7.676,bag,8.0,hat,9.0,toy,9.476,bag,10.076,card,11.0,toy,11.276,pen,11.876
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,sock,1.826,green,2.426,pen,2.876,sock,3.476,bag,4.076,hat,4.676,card,5.426,glove,6.026,spoons,6.476,toy,7.226,toy,7.826,pen,8.276,bag,8.876,glove,9.626,card,10.226,sock,10.676,shoe,11.426,white,12.026
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,toy,2.0,pen,2.276,glove,3.0,toy,4.0,white,4.0,tables,5.0,card,5.0,glove,6.0,chairs,7.0,card,7.076,bag,8.0,red,8.276,card,9.0,glove,9.476,blue,10.076,red,11.0,glove,11.276,bag,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,glove,1.676,glove,2.426,glove,2.876,shoe,3.476,hat,4.076,sock,4.676,chairs,5.276,card,5.876,white,6.476,hat,7.226,tables,7.676,glove,8.426,spoons,8.876,sock,9.626,tables,10.226,card,10.676,green,11.426,white,11.876
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,bag,2.0,pen,2.0,desks,2.876,green,4.0,hat,4.076,desks,4.676,blue,5.0,glove,5.876,blue,6.476,desks,7.076,shoe,8.0,spoons,8.0,white,8.876,tables,10.0,card,10.0,card,11.0,desks,11.0,card,11.876
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,white,1.676,tables,2.276,bag,3.026,toy,3.476,chairs,4.226,tables,4.826,shoe,5.276,pen,6.026,card,6.626,chairs,7.226,chairs,7.676,bag,8.276,glove,9.026,chairs,9.476,hat,10.076,blue,10.676,red,11.276,blue,12.026
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,card,2.673,shoe,3.0,toy,4.0,card,5.0,green,5.073,spoons,6.0,blue,6.273,spoons,7.0,shoe,8.0,sock,8.0,hat,9.0,card,9.273,card,10.0,hat,10.473,toy,11.0,glove,12.0,white,12.0,white,13.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,hat,2.823,hat,3.273,blue,3.873,toy,4.473,hat,5.223,desks,5.673,shoe,6.423,pen,6.873,pen,7.473,shoe,8.073,toy,8.673,white,9.423,card,9.873,green,10.623,card,11.073,blue,11.673,pen,12.273,bag,12.873
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,hat,2.673,bag,3.273,desks,4.0,spoons,4.473,shoe,5.0,blue,6.0,red,6.0,glove,7.0,pen,7.473,desks,8.0,green,8.673,tables,9.273,toy,10.0,card,11.0,spoons,11.0,card,12.0,toy,12.273,bag,13.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,pen,2.823,bag,3.423,chairs,3.873,glove,4.623,desks,5.073,bag,5.673,desks,6.273,bag,6.873,shoe,7.623,shoe,8.073,shoe,8.823,white,9.423,spoons,9.873,shoe,10.473,bag,11.073,green,11.673,pen,12.423,shoe,12.873
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,blue,3.0,desks,3.273,pen,4.0,hat,5.0,glove,5.0,bag,5.673,glove,6.273,blue,7.0,white,8.0,tables,8.0,toy,9.0,shoe,9.0,hat,9.873,tables,10.473,bag,11.0,red,12.0,tables,12.273,shoe,13.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,tables,2.673,blue,3.423,hat,3.873,shoe,4.473,shoe,5.073,tables,5.823,toy,6.423,hat,6.873,card,7.473,bag,8.073,pen,8.673,spoons,9.273,green,10.023,bag,10.623,red,11.073,toy,11.673,chairs,12.423,pen,12.873
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,tables,2.673,red,3.273,shoe,4.0,desks,5.0,toy,5.073,glove,6.0,white,6.0,chairs,7.0,sock,8.0,glove,8.0,tables,9.0,shoe,9.273,glove,9.873,spoons,11.0,pen,11.073,desks,11.673,pen,12.273,card,13.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,spoons,2.823,bag,3.423,sock,3.873,white,4.473,hat,5.223,toy,5.673,desks,6.273,glove,6.873,toy,7.473,card,8.073,red,8.673,desks,9.423,card,10.023,glove,10.473,sock,11.223,glove,11.823,green,12.423,spoons,12.873
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,red,1.0,shoe,2.0,white,2.417,card,3.017,chairs,3.617,blue,4.217,tables,4.817,card,5.417,spoons,6.017,tables,6.617,hat,7.217,white,8.0,card,8.417,glove,9.017,tables,10.0,glove,10.0,desks,11.0,toy,11.417
