Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,pen,3.0,glove,3.0,blue,4.0,hat,4.0,tables,4.903,tables,6.0,glove,6.103,white,6.703,bag,7.0,tables,8.0,glove,9.0,desks,9.0,bag,10.0,pen,10.0,sock,10.903,blue,12.0,hat,12.0,shoe,12.703
practice,0,Masker,none,2.503,none,3.103,none,3.703,none,4.303,none,5.053,none,5.503,none,6.253,none,6.853,none,7.303,none,7.903,none,8.503,none,9.103,none,9.703,none,10.303,none,11.053,none,11.503,none,12.103,none,12.853
practice,1,Target,toy,2.503,chairs,3.103,toy,4.0,desks,4.303,hat,5.0,shoe,5.503,red,6.0,pen,7.0,glove,7.303,desks,7.903,shoe,8.503,desks,9.103,shoe,9.703,red,10.0,pen,11.0,red,12.0,pen,12.0,spoons,12.703
practice,1,Masker,none,2.653,none,3.253,none,3.703,none,4.453,none,4.903,none,5.653,none,6.103,none,6.703,none,7.453,none,8.053,none,8.653,none,9.253,none,9.853,none,10.303,none,10.903,none,11.503,none,12.103,none,12.853
practice,2,Target,chairs,2.503,blue,3.103,tables,3.703,pen,4.303,pen,5.0,card,6.0,tables,6.103,card,6.703,shoe,7.303,sock,7.903,desks,8.503,toy,9.103,pen,9.703,chairs,10.0,hat,10.903,white,11.503,tables,12.103,bag,13.0
practice,2,Masker,none,2.653,none,3.253,none,3.853,none,4.453,none,4.903,none,5.503,none,6.253,none,6.853,none,7.453,none,8.053,none,8.653,none,9.253,none,9.853,none,10.303,none,11.053,none,11.653,none,12.253,none,12.703
practice,3,Target,hat,3.0,glove,3.0,pen,3.703,red,4.303,tables,5.0,pen,6.0,shoe,6.103,pen,6.703,green,7.303,chairs,7.903,spoons,9.0,sock,9.103,white,10.0,bag,10.303,blue,10.903,pen,12.0,shoe,12.0,bag,13.0
practice,3,Masker,none,2.503,none,3.103,none,3.853,none,4.453,none,4.903,none,5.503,none,6.253,none,6.853,none,7.453,none,8.053,none,8.503,none,9.253,none,9.703,none,10.453,none,11.053,none,11.503,none,12.103,none,12.703
m_speech__ild_0__itd_50__targ_l,0,Target,bag,1.463,toy,2.063,chairs,3.0,tables,3.0,chairs,3.863,pen,5.0,bag,5.063,spoons,5.663,tables,6.0,green,7.0,glove,7.463,desks,8.0,chairs,8.663,chairs,9.0,spoons,9.863,white,11.0,hat,11.063,chairs,11.663
m_speech__ild_0__itd_50__targ_l,0,Masker,chairs,1.613,desks,2.213,hat,2.663,pen,3.263,tables,4.013,hat,4.463,desks,5.213,green,5.813,bag,6.263,desks,6.863,tables,7.613,glove,8.063,blue,8.813,pen,9.263,bag,10.013,shoe,10.463,glove,11.213,card,11.813
