Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,chairs,1.149,sock,2.0,hat,2.0,chairs,3.0,hat,3.549,sock,4.149,green,4.749,white,5.0,spoons,5.949,blue,7.0,tables,7.0,shoe,8.0,pen,8.349,card,8.949,bag,9.549,red,10.149,shoe,10.749,pen,11.349
practice,0,Masker,none,1.299,none,1.749,none,2.349,none,2.949,none,3.699,none,4.299,none,4.899,none,5.349,none,6.099,none,6.549,none,7.149,none,7.749,none,8.499,none,9.099,none,9.699,none,10.299,none,10.899,none,11.499
practice,1,Target,red,1.149,chairs,2.0,card,2.349,shoe,3.0,desks,3.549,green,4.0,toy,4.749,spoons,5.349,glove,6.0,bag,7.0,tables,7.0,chairs,8.0,blue,8.0,sock,8.949,hat,9.549,shoe,10.0,bag,11.0,green,11.0
practice,1,Masker,none,1.299,none,1.749,none,2.499,none,2.949,none,3.699,none,4.149,none,4.899,none,5.499,none,5.949,none,6.549,none,7.149,none,7.749,none,8.349,none,9.099,none,9.699,none,10.149,none,10.749,none,11.349
practice,2,Target,white,1.0,spoons,2.0,glove,2.349,pen,2.949,card,3.549,pen,4.149,desks,5.0,shoe,5.0,glove,5.949,sock,7.0,blue,7.149,chairs,7.749,toy,8.0,desks,9.0,glove,10.0,bag,10.0,red,11.0,card,11.349
practice,2,Masker,none,1.149,none,1.749,none,2.499,none,3.099,none,3.699,none,4.299,none,4.749,none,5.349,none,6.099,none,6.549,none,7.299,none,7.899,none,8.349,none,8.949,none,9.549,none,10.149,none,10.749,none,11.499
practice,3,Target,tables,1.0,shoe,2.0,green,2.0,chairs,2.949,shoe,3.549,red,4.0,tables,5.0,chairs,5.0,shoe,6.0,tables,7.0,card,7.0,sock,8.0,spoons,8.0,spoons,9.0,tables,10.0,chairs,10.149,glove,10.749,chairs,11.349
practice,3,Masker,none,1.149,none,1.749,none,2.349,none,3.099,none,3.699,none,4.149,none,4.749,none,5.349,none,5.949,none,6.549,none,7.149,none,7.749,none,8.349,none,8.949,none,9.549,none,10.299,none,10.899,none,11.499
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,shoe,1.705,green,2.0,tables,2.905,pen,3.505,chairs,4.0,toy,5.0,pen,5.0,toy,5.905,toy,7.0,chairs,7.105,sock,8.0,white,8.305,toy,8.905,pen,10.0,toy,10.105,pen,11.0,toy,11.0,desks,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,toy,1.855,sock,2.305,green,3.055,toy,3.655,card,4.105,desks,4.705,hat,5.305,blue,6.055,tables,6.505,bag,7.255,glove,7.705,spoons,8.455,hat,9.055,chairs,9.505,chairs,10.255,hat,10.705,tables,11.305,toy,11.905
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,pen,2.0,toy,2.305,tables,3.0,desks,3.505,hat,4.0,desks,5.0,pen,5.305,spoons,5.905,sock,7.0,desks,7.105,tables,7.705,spoons,8.0,green,9.0,shoe,10.0,desks,10.0,pen,11.0,blue,11.0,shoe,12.0
