Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,bag,2.0,blue,3.0,sock,3.462,desks,4.062,tables,4.662,glove,5.0,hat,5.862,sock,7.0,sock,7.0,desks,7.662,bag,8.262,white,8.862,bag,10.0,glove,10.062,tables,11.0,sock,11.262,pen,11.862,desks,13.0
practice,0,Masker,none,2.262,none,2.862,none,3.612,none,4.212,none,4.812,none,5.262,none,6.012,none,6.462,none,7.062,none,7.812,none,8.412,none,9.012,none,9.462,none,10.212,none,10.662,none,11.412,none,12.012,none,12.462
practice,1,Target,red,2.262,green,2.862,pen,3.462,red,4.062,bag,5.0,bag,5.0,card,5.862,hat,7.0,pen,7.062,bag,8.0,hat,8.0,tables,9.0,shoe,10.0,sock,10.0,desks,10.662,bag,11.262,bag,12.0,bag,12.462
practice,1,Masker,none,2.412,none,3.012,none,3.612,none,4.212,none,4.662,none,5.262,none,6.012,none,6.462,none,7.212,none,7.662,none,8.262,none,8.862,none,9.462,none,10.062,none,10.812,none,11.412,none,11.862,none,12.612
practice,2,Target,chairs,2.0,green,2.862,red,4.0,glove,4.062,card,4.662,blue,5.262,pen,6.0,shoe,6.462,glove,7.0,shoe,7.662,glove,8.0,shoe,9.0,card,10.0,glove,10.062,spoons,11.0,hat,11.262,sock,12.0,bag,12.462
practice,2,Masker,none,2.262,none,3.012,none,3.462,none,4.212,none,4.812,none,5.412,none,5.862,none,6.612,none,7.062,none,7.812,none,8.262,none,8.862,none,9.462,none,10.212,none,10.662,none,11.412,none,11.862,none,12.612
practice,3,Target,shoe,2.0,tables,3.0,pen,3.462,hat,4.0,chairs,5.0,hat,5.262,green,6.0,pen,7.0,hat,7.0,card,7.662,desks,8.0,sock,8.862,chairs,10.0,sock,10.0,card,10.662,chairs,11.262,red,11.862,chairs,12.462
practice,3,Masker,none,2.262,none,2.862,none,3.612,none,4.062,none,4.662,none,5.412,none,5.862,none,6.462,none,7.062,none,7.812,none,8.262,none,9.012,none,9.462,none,10.062,none,10.812,none,11.412,none,12.012,none,12.612
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,hat,1.0,sock,1.889,white,3.0,desks,3.0,hat,4.0,toy,4.0,tables,5.0,chairs,5.489,toy,6.089,white,6.689,green,7.0,desks,7.889,spoons,9.0,bag,9.0,tables,9.689,white,10.289,glove,11.0,pen,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,white,1.289,bag,2.039,pen,2.489,chairs,3.089,tables,3.689,red,4.289,glove,4.889,card,5.639,sock,6.239,pen,6.839,tables,7.289,white,8.039,chairs,8.489,pen,9.089,glove,9.839,tables,10.439,pen,10.889,red,11.489
