Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,chairs,2.0,chairs,1.97,blue,3.0,card,3.0,white,4.0,white,4.37,chairs,4.97,shoe,5.57,chairs,6.0,spoons,6.77,card,8.0,toy,7.97,chairs,9.0,spoons,9.0,red,9.77,card,11.0,toy,10.97,pen,12.0
practice,0,Masker,none,1.37,none,2.12,none,2.57,none,3.17,none,3.77,none,4.52,none,5.12,none,5.72,none,6.17,none,6.92,none,7.37,none,8.12,none,8.57,none,9.17,none,9.92,none,10.37,none,11.12,none,11.57
practice,1,Target,tables,2.0,chairs,2.0,desks,3.0,shoe,3.0,glove,4.0,chairs,4.37,pen,4.97,bag,5.57,pen,6.17,sock,6.77,blue,8.0,desks,7.97,glove,8.57,pen,9.17,glove,10.0,chairs,10.37,shoe,11.0,white,11.57
practice,1,Masker,none,1.37,none,1.97,none,2.57,none,3.17,none,3.77,none,4.52,none,5.12,none,5.72,none,6.32,none,6.92,none,7.37,none,8.12,none,8.72,none,9.32,none,9.77,none,10.52,none,10.97,none,11.72
practice,2,Target,hat,2.0,card,2.0,tables,3.0,desks,3.17,sock,4.0,toy,4.37,red,5.0,glove,5.57,toy,6.17,card,7.0,pen,8.0,blue,7.97,bag,8.57,toy,9.17,tables,10.0,shoe,10.37,sock,11.0,hat,11.57
practice,2,Masker,none,1.37,none,1.97,none,2.57,none,3.32,none,3.77,none,4.52,none,4.97,none,5.72,none,6.32,none,6.77,none,7.37,none,8.12,none,8.72,none,9.32,none,9.77,none,10.52,none,10.97,none,11.72
practice,3,Target,white,2.0,desks,1.97,bag,2.57,card,3.0,chairs,3.77,card,4.37,chairs,5.0,tables,6.0,chairs,6.0,sock,7.0,toy,7.37,shoe,7.97,blue,9.0,pen,9.17,sock,10.0,bag,11.0,pen,11.0,pen,11.57
practice,3,Masker,none,1.37,none,2.12,none,2.72,none,3.17,none,3.92,none,4.52,none,4.97,none,5.57,none,6.17,none,6.77,none,7.52,none,8.12,none,8.57,none,9.32,none,9.77,none,10.37,none,10.97,none,11.72
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,tables,1.08,bag,1.68,toy,2.0,sock,3.0,red,3.48,pen,4.0,glove,5.0,red,5.28,desks,5.88,spoons,7.0,toy,7.0,spoons,8.0,glove,8.0,spoons,9.0,glove,10.0,spoons,10.0,blue,11.0,pen,11.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,red,1.23,toy,1.83,sock,2.28,desks,2.88,bag,3.63,bag,4.08,toy,4.68,hat,5.43,tables,6.03,desks,6.48,desks,7.08,shoe,7.68,chairs,8.28,white,8.88,sock,9.48,glove,10.08,tables,10.68,hat,11.28
