Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,red,1.0,pen,2.0,hat,2.431,tables,3.0,red,4.0,sock,4.0,card,4.831,sock,5.431,sock,6.0,hat,7.0,chairs,7.231,glove,8.0,bag,8.431,tables,9.031,white,10.0,desks,10.0,card,11.0,white,11.431
practice,0,Masker,none,1.231,none,1.831,none,2.581,none,3.031,none,3.631,none,4.231,none,4.981,none,5.581,none,6.031,none,6.631,none,7.381,none,7.831,none,8.581,none,9.181,none,9.631,none,10.231,none,10.831,none,11.581
practice,1,Target,sock,1.231,desks,1.831,sock,3.0,blue,3.031,sock,3.631,chairs,4.0,hat,5.0,desks,6.0,tables,6.0,red,7.0,chairs,7.231,white,7.831,pen,8.431,shoe,9.031,green,10.0,spoons,10.231,desks,11.0,sock,12.0
practice,1,Masker,none,1.381,none,1.981,none,2.431,none,3.181,none,3.781,none,4.231,none,4.831,none,5.431,none,6.031,none,6.631,none,7.381,none,7.981,none,8.581,none,9.181,none,9.631,none,10.381,none,10.831,none,11.431
practice,2,Target,glove,1.231,desks,1.831,sock,3.0,spoons,3.0,hat,3.631,spoons,4.231,white,4.831,toy,5.431,hat,6.0,blue,7.0,card,7.231,blue,7.831,glove,9.0,toy,9.031,bag,10.0,pen,10.0,toy,10.831,white,12.0
practice,2,Masker,none,1.381,none,1.981,none,2.431,none,3.031,none,3.781,none,4.381,none,4.981,none,5.581,none,6.031,none,6.631,none,7.381,none,7.981,none,8.431,none,9.181,none,9.631,none,10.231,none,10.981,none,11.431
practice,3,Target,red,1.231,glove,1.831,tables,2.431,shoe,3.0,tables,3.631,sock,4.231,spoons,5.0,shoe,6.0,desks,6.0,white,6.631,glove,7.0,toy,8.0,shoe,8.431,glove,9.0,toy,10.0,red,10.0,white,11.0,shoe,12.0
practice,3,Masker,none,1.381,none,1.981,none,2.581,none,3.031,none,3.781,none,4.381,none,4.831,none,5.431,none,6.031,none,6.781,none,7.231,none,7.831,none,8.581,none,9.031,none,9.631,none,10.231,none,10.831,none,11.431
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,tables,2.0,desks,2.787,white,4.0,spoons,3.987,chairs,4.587,spoons,5.187,bag,5.787,tables,7.0,green,6.987,card,8.0,hat,8.187,red,8.787,card,10.0,chairs,10.0,red,11.0,pen,11.0,toy,11.787,card,12.387
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,2.187,white,2.937,spoons,3.387,chairs,4.137,toy,4.737,bag,5.337,desks,5.937,toy,6.387,chairs,7.137,pen,7.587,bag,8.337,spoons,8.937,pen,9.387,desks,9.987,bag,10.587,desks,11.187,green,11.937,toy,12.537
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,hat,2.0,red,3.0,pen,3.387,spoons,3.987,white,4.587,chairs,5.0,bag,5.787,spoons,6.387,bag,7.0,white,8.0,pen,8.0,tables,8.787,blue,9.387,shoe,10.0,hat,11.0,shoe,11.187,hat,12.0,shoe,12.387
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,card,2.187,shoe,2.787,sock,3.537,hat,4.137,shoe,4.737,toy,5.187,chairs,5.937,pen,6.537,toy,6.987,chairs,7.587,red,8.187,desks,8.937,sock,9.537,hat,9.987,card,10.587,card,11.337,green,11.787,sock,12.537
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,white,2.0,sock,3.0,hat,4.0,tables,3.987,toy,5.0,toy,5.0,card,5.787,shoe,6.387,bag,6.987,toy,8.0,pen,8.0,toy,9.0,sock,10.0,glove,10.0,tables,10.587,spoons,11.187,blue,12.0,green,13.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,hat,2.187,blue,2.787,desks,3.387,green,4.137,shoe,4.587,tables,5.187,chairs,5.937,sock,6.537,hat,7.137,bag,7.587,bag,8.187,sock,8.787,desks,9.387,chairs,9.987,card,10.737,glove,11.337,toy,11.787,tables,12.387
