Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,white,2.569,shoe,3.169,spoons,3.769,tables,5.0,green,5.0,desks,6.0,chairs,6.169,pen,7.0,chairs,7.369,desks,8.0,green,9.0,desks,9.0,spoons,10.0,desks,10.369,spoons,11.0,desks,11.569,white,12.169,hat,13.0
practice,0,Masker,none,2.719,none,3.319,none,3.919,none,4.369,none,4.969,none,5.569,none,6.319,none,6.769,none,7.519,none,7.969,none,8.569,none,9.169,none,9.769,none,10.519,none,10.969,none,11.719,none,12.319,none,12.769
practice,1,Target,tables,2.569,desks,3.169,hat,3.769,white,4.369,tables,4.969,hat,6.0,desks,6.0,blue,7.0,toy,8.0,glove,8.0,desks,9.0,chairs,9.169,shoe,10.0,sock,10.369,desks,11.0,shoe,11.569,blue,12.169,pen,13.0
practice,1,Masker,none,2.719,none,3.319,none,3.919,none,4.519,none,5.119,none,5.569,none,6.169,none,6.769,none,7.369,none,7.969,none,8.569,none,9.319,none,9.769,none,10.519,none,10.969,none,11.719,none,12.319,none,12.769
practice,2,Target,glove,3.0,chairs,3.0,card,3.769,toy,5.0,glove,4.969,toy,5.569,glove,6.169,hat,7.0,desks,7.369,desks,7.969,white,9.0,hat,9.169,pen,10.0,green,11.0,white,11.0,pen,12.0,toy,12.169,desks,13.0
practice,2,Masker,none,2.569,none,3.169,none,3.919,none,4.369,none,5.119,none,5.719,none,6.319,none,6.769,none,7.519,none,8.119,none,8.569,none,9.319,none,9.769,none,10.369,none,10.969,none,11.569,none,12.319,none,12.769
practice,3,Target,pen,3.0,glove,3.0,spoons,3.769,desks,4.369,glove,4.969,glove,6.0,tables,6.0,desks,7.0,green,7.369,sock,8.0,hat,9.0,tables,9.169,pen,10.0,bag,11.0,chairs,11.0,glove,12.0,pen,12.169,white,12.769
practice,3,Masker,none,2.569,none,3.169,none,3.919,none,4.519,none,5.119,none,5.569,none,6.169,none,6.769,none,7.519,none,7.969,none,8.569,none,9.319,none,9.769,none,10.369,none,10.969,none,11.569,none,12.319,none,12.919
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,chairs,2.737,green,3.0,green,4.0,sock,5.0,tables,5.0,tables,6.0,shoe,6.0,tables,7.0,sock,7.537,desks,8.0,card,9.0,sock,9.0,bag,9.937,spoons,10.537,pen,11.137,tables,12.0,tables,12.337,card,12.937
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,card,2.887,card,3.337,chairs,3.937,bag,4.537,tables,5.137,hat,5.737,tables,6.337,card,6.937,shoe,7.687,blue,8.137,white,8.737,card,9.337,shoe,10.087,card,10.687,sock,11.287,toy,11.737,shoe,12.487,tables,13.087
