Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,2.589,sock,3.189,chairs,3.789,desks,4.389,shoe,4.989,desks,6.0,blue,6.0,white,6.789,red,8.0,red,8.0,toy,8.589,sock,9.189,glove,9.789,tables,11.0,pen,10.989,spoons,11.589,card,12.0,toy,12.789
practice,0,Masker,none,2.739,none,3.339,none,3.939,none,4.539,none,5.139,none,5.589,none,6.189,none,6.939,none,7.389,none,7.989,none,8.739,none,9.339,none,9.939,none,10.389,none,11.139,none,11.739,none,12.189,none,12.939
practice,1,Target,green,2.589,spoons,3.0,green,4.0,shoe,4.389,chairs,5.0,spoons,5.589,blue,6.0,blue,7.0,pen,7.389,shoe,8.0,pen,9.0,shoe,9.189,glove,9.789,sock,11.0,pen,10.989,pen,11.589,desks,12.0,sock,13.0
practice,1,Masker,none,2.739,none,3.189,none,3.789,none,4.539,none,4.989,none,5.739,none,6.189,none,6.789,none,7.539,none,7.989,none,8.589,none,9.339,none,9.939,none,10.389,none,11.139,none,11.739,none,12.189,none,12.789
practice,2,Target,tables,3.0,blue,3.189,pen,3.789,tables,4.389,shoe,5.0,green,6.0,shoe,6.0,pen,6.789,desks,7.389,tables,8.0,green,9.0,green,9.0,glove,10.0,pen,11.0,sock,10.989,shoe,11.589,spoons,12.189,tables,13.0
practice,2,Masker,none,2.589,none,3.339,none,3.939,none,4.539,none,4.989,none,5.589,none,6.189,none,6.939,none,7.539,none,7.989,none,8.589,none,9.189,none,9.789,none,10.389,none,11.139,none,11.739,none,12.339,none,12.789
practice,3,Target,blue,3.0,pen,3.0,shoe,3.789,desks,4.389,red,4.989,shoe,5.589,red,6.189,desks,7.0,sock,8.0,tables,7.989,sock,8.589,shoe,9.0,hat,10.0,pen,10.389,spoons,11.0,bag,12.0,sock,12.189,white,12.789
practice,3,Masker,none,2.589,none,3.189,none,3.939,none,4.539,none,5.139,none,5.739,none,6.339,none,6.789,none,7.389,none,8.139,none,8.739,none,9.189,none,9.789,none,10.539,none,10.989,none,11.589,none,12.339,none,12.939
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,tables,1.0,shoe,1.812,chairs,3.0,bag,3.0,glove,3.612,bag,4.212,glove,5.0,green,5.412,pen,6.012,tables,7.0,hat,7.0,red,7.812,glove,8.412,chairs,9.0,hat,9.612,tables,10.0,bag,11.0,white,11.412
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,1.212,sock,1.962,toy,2.412,red,3.012,chairs,3.762,white,4.362,pen,4.812,spoons,5.562,chairs,6.162,chairs,6.612,sock,7.212,spoons,7.962,white,8.562,hat,9.012,bag,9.762,white,10.212,sock,10.812,bag,11.562
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,chairs,1.0,toy,2.0,chairs,3.0,hat,3.012,desks,4.0,sock,4.212,desks,4.812,shoe,6.0,card,6.012,shoe,6.612,hat,7.212,desks,8.0,chairs,9.0,red,9.0,chairs,10.0,shoe,10.0,desks,10.812,green,12.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,green,1.212,toy,1.812,spoons,2.412,toy,3.162,green,3.612,hat,4.362,tables,4.962,pen,5.412,desks,6.162,spoons,6.762,bag,7.362,hat,7.812,desks,8.412,spoons,9.012,bag,9.612,hat,10.212,chairs,10.962,desks,11.412
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,tables,1.212,hat,1.812,shoe,2.412,pen,3.012,glove,3.612,hat,4.0,green,4.812,toy,6.0,shoe,6.0,toy,6.612,blue,7.212,bag,8.0,toy,8.412,chairs,9.0,toy,9.612,green,10.0,chairs,10.812,green,11.412
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,toy,1.362,toy,1.962,tables,2.562,bag,3.162,tables,3.762,white,4.212,pen,4.962,bag,5.412,toy,6.012,white,6.762,toy,7.362,bag,7.812,chairs,8.562,pen,9.012,bag,9.762,chairs,10.212,bag,10.962,shoe,11.562
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,desks,1.212,hat,2.0,red,3.0,chairs,3.012,shoe,3.612,sock,4.0,blue,5.0,sock,5.412,bag,6.0,glove,6.612,hat,7.0,sock,8.0,red,8.412,desks,9.0,shoe,9.612,glove,10.212,blue,11.0,card,12.0
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,sock,1.362,desks,1.812,card,2.412,hat,3.162,desks,3.762,tables,4.212,card,4.812,pen,5.562,blue,6.012,sock,6.762,glove,7.212,white,7.812,shoe,8.562,bag,9.012,chairs,9.762,shoe,10.362,desks,10.812,red,11.412
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,chairs,3.0,sock,4.0,blue,4.0,sock,4.691,desks,5.291,sock,5.891,shoe,7.0,toy,7.0,shoe,7.691,desks,8.0,shoe,8.891,pen,10.0,hat,10.091,bag,11.0,shoe,11.0,blue,12.0,green,13.0,hat,13.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,shoe,2.891,desks,3.491,chairs,4.091,toy,4.841,bag,5.441,desks,6.041,red,6.491,bag,7.091,bag,7.841,desks,8.291,toy,9.041,desks,9.491,card,10.241,desks,10.691,red,11.291,sock,11.891,hat,12.491,shoe,13.091
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,desks,2.891,sock,3.491,red,4.0,shoe,4.691,blue,5.291,green,5.891,blue,6.491,shoe,7.0,card,8.0,sock,8.0,card,9.0,sock,10.0,toy,10.0,sock,10.691,toy,11.291,shoe,11.891,card,13.0,toy,13.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,card,3.041,blue,3.641,tables,4.091,tables,4.841,chairs,5.441,card,6.041,glove,6.641,glove,7.091,hat,7.691,red,8.291,toy,8.891,green,9.491,card,10.091,sock,10.841,spoons,11.441,sock,12.041,glove,12.491,white,13.091
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,white,3.0,sock,4.0,chairs,4.0,toy,4.691,toy,5.291,hat,6.0,green,6.491,toy,7.091,chairs,7.691,toy,8.291,spoons,9.0,bag,10.0,card,10.091,chairs,11.0,red,11.291,pen,12.0,hat,12.491,toy,13.0
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,hat,2.891,bag,3.491,desks,4.091,green,4.841,desks,5.441,toy,5.891,spoons,6.641,spoons,7.241,tables,7.841,toy,8.441,blue,8.891,tables,9.491,toy,10.241,toy,10.691,glove,11.441,shoe,11.891,green,12.641,white,13.091
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,green,3.0,shoe,4.0,chairs,4.0,glove,5.0,white,5.0,bag,5.891,card,7.0,shoe,7.0,red,7.691,blue,8.291,chairs,9.0,sock,10.0,desks,10.0,spoons,11.0,toy,11.0,toy,12.0,toy,13.0,bag,13.091
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,chairs,2.891,pen,3.491,desks,4.091,chairs,4.691,toy,5.291,card,6.041,red,6.491,toy,7.091,bag,7.841,chairs,8.441,red,8.891,tables,9.491,chairs,10.091,toy,10.691,green,11.291,bag,11.891,green,12.491,desks,13.241
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,toy,2.0,sock,2.05,spoons,3.0,tables,3.25,spoons,4.0,sock,4.45,spoons,5.05,shoe,6.0,bag,6.0,chairs,6.85,green,8.0,tables,8.0,desks,9.0,bag,9.0,red,10.0,shoe,11.0,chairs,11.0,bag,11.65
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,1.45,noise,2.2,noise,2.65,noise,3.4,noise,3.85,noise,4.6,noise,5.2,noise,5.65,noise,6.25,noise,7.0,noise,7.45,noise,8.05,noise,8.65,noise,9.25,noise,9.85,noise,10.45,noise,11.05,noise,11.8
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,sock,1.45,glove,2.0,white,2.65,toy,3.0,bag,3.85,chairs,5.0,hat,5.05,tables,6.0,white,6.25,green,7.0,desks,7.45,tables,8.05,toy,9.0,shoe,9.0,hat,9.85,chairs,11.0,tables,11.0,sock,12.0
m_noise__ild_0__itd_50__targ_l__control_0,1,Masker,noise,1.6,noise,2.05,noise,2.8,noise,3.25,noise,4.0,noise,4.45,noise,5.2,noise,5.65,noise,6.4,noise,6.85,noise,7.6,noise,8.2,noise,8.65,noise,9.25,noise,10.0,noise,10.45,noise,11.05,noise,11.65
m_noise__ild_0__itd_50__targ_l__control_0,2,Target,spoons,1.45,pen,2.0,red,2.65,desks,3.0,bag,3.85,pen,5.0,desks,5.0,chairs,5.65,toy,6.25,desks,7.0,blue,7.45,spoons,8.05,blue,8.65,tables,9.25,toy,9.85,pen,11.0,spoons,11.0,tables,12.0
m_noise__ild_0__itd_50__targ_l__control_0,2,Masker,noise,1.6,noise,2.05,noise,2.8,noise,3.25,noise,4.0,noise,4.45,noise,5.05,noise,5.8,noise,6.4,noise,6.85,noise,7.6,noise,8.2,noise,8.8,noise,9.4,noise,10.0,noise,10.45,noise,11.05,noise,11.65
m_noise__ild_0__itd_50__targ_l__control_0,3,Target,desks,2.0,chairs,2.0,toy,3.0,bag,3.25,toy,4.0,sock,5.0,bag,5.05,sock,5.65,green,6.25,chairs,6.85,hat,7.45,chairs,8.05,red,8.65,pen,9.25,spoons,9.85,glove,10.45,tables,11.0,desks,12.0
m_noise__ild_0__itd_50__targ_l__control_0,3,Masker,noise,1.45,noise,2.05,noise,2.65,noise,3.4,noise,3.85,noise,4.45,noise,5.2,noise,5.8,noise,6.4,noise,7.0,noise,7.6,noise,8.2,noise,8.8,noise,9.4,noise,10.0,noise,10.6,noise,11.05,noise,11.65
m_noise__ild_0__itd_50__targ_r__control_0,0,Target,desks,2.218,chairs,2.818,card,3.418,shoe,4.018,hat,4.618,desks,5.0,hat,5.818,sock,6.418,sock,7.018,chairs,8.0,tables,8.218,chairs,9.0,green,9.418,white,10.0,desks,10.618,tables,11.0,sock,11.818,spoons,12.418
m_noise__ild_0__itd_50__targ_r__control_0,0,Masker,noise,2.368,noise,2.968,noise,3.568,noise,4.168,noise,4.768,noise,5.218,noise,5.968,noise,6.568,noise,7.168,noise,7.618,noise,8.368,noise,8.818,noise,9.568,noise,10.018,noise,10.768,noise,11.218,noise,11.968,noise,12.568
m_noise__ild_0__itd_50__targ_r__control_0,1,Target,red,2.218,card,2.818,toy,3.418,spoons,4.018,pen,4.618,chairs,5.0,shoe,6.0,tables,6.418,hat,7.0,red,7.618,pen,8.0,sock,9.0,pen,10.0,chairs,10.018,bag,10.618,desks,11.0,bag,12.0,hat,13.0
m_noise__ild_0__itd_50__targ_r__control_0,1,Masker,noise,2.368,noise,2.968,noise,3.568,noise,4.168,noise,4.768,noise,5.218,noise,5.818,noise,6.568,noise,7.018,noise,7.768,noise,8.218,noise,8.818,noise,9.418,noise,10.168,noise,10.768,noise,11.218,noise,11.818,noise,12.418
m_noise__ild_0__itd_50__targ_r__control_0,2,Target,sock,2.218,bag,2.818,green,3.418,shoe,4.018,glove,4.618,spoons,5.0,chairs,5.818,bag,6.418,pen,7.0,chairs,8.0,green,8.218,bag,8.818,desks,9.418,bag,10.0,toy,10.618,chairs,11.218,pen,11.818,spoons,12.418
m_noise__ild_0__itd_50__targ_r__control_0,2,Masker,noise,2.368,noise,2.968,noise,3.568,noise,4.168,noise,4.768,noise,5.218,noise,5.968,noise,6.568,noise,7.018,noise,7.618,noise,8.368,noise,8.968,noise,9.568,noise,10.018,noise,10.768,noise,11.368,noise,11.968,noise,12.568
m_noise__ild_0__itd_50__targ_r__control_0,3,Target,chairs,2.0,desks,2.818,tables,3.418,green,4.0,chairs,4.618,bag,5.218,green,6.0,toy,7.0,red,7.0,toy,8.0,desks,8.218,hat,8.818,desks,9.418,toy,10.018,pen,11.0,blue,11.0,tables,11.818,desks,13.0
m_noise__ild_0__itd_50__targ_r__control_0,3,Masker,noise,2.218,noise,2.968,noise,3.568,noise,4.018,noise,4.768,noise,5.368,noise,5.818,noise,6.418,noise,7.018,noise,7.618,noise,8.368,noise,8.968,noise,9.568,noise,10.168,noise,10.618,noise,11.218,noise,11.968,noise,12.418
m_speech__ild_0__itd_500__targ_l__control_0,0,Target,sock,2.0,bag,2.535,sock,3.135,shoe,4.0,toy,4.0,chairs,4.935,tables,6.0,desks,6.0,toy,7.0,tables,7.0,bag,7.935,chairs,9.0,shoe,9.135,chairs,9.735,blue,10.0,bag,11.0,glove,11.535,white,12.0
m_speech__ild_0__itd_500__targ_l__control_0,0,Masker,tables,1.935,tables,2.685,tables,3.285,hat,3.735,tables,4.335,chairs,5.085,hat,5.535,chairs,6.135,hat,6.735,green,7.335,card,8.085,desks,8.535,hat,9.285,spoons,9.885,bag,10.335,green,10.935,sock,11.685,pen,12.135
m_speech__ild_0__itd_500__targ_l__control_0,1,Target,spoons,1.935,pen,3.0,desks,3.135,card,4.0,blue,4.0,pen,5.0,spoons,6.0,tables,6.0,spoons,7.0,bag,7.335,spoons,8.0,glove,9.0,pen,9.135,blue,9.735,bag,10.335,hat,11.0,pen,12.0,card,12.0
m_speech__ild_0__itd_500__targ_l__control_0,1,Masker,glove,2.085,shoe,2.535,glove,3.285,white,3.735,tables,4.335,tables,4.935,tables,5.535,green,6.135,chairs,6.735,hat,7.485,red,7.935,white,8.535,glove,9.285,card,9.885,spoons,10.485,tables,10.935,spoons,11.535,bag,12.135
m_speech__ild_0__itd_500__targ_l__control_0,2,Target,shoe,2.0,glove,2.535,blue,3.135,chairs,4.0,chairs,4.0,glove,5.0,glove,5.535,card,6.135,green,6.735,spoons,7.335,glove,7.935,chairs,8.535,hat,9.135,pen,10.0,card,10.0,sock,10.935,toy,12.0,sock,12.0
m_speech__ild_0__itd_500__targ_l__control_0,2,Masker,white,1.935,card,2.685,tables,3.285,glove,3.735,spoons,4.335,green,4.935,tables,5.685,tables,6.285,bag,6.885,green,7.485,shoe,8.085,glove,8.685,white,9.285,chairs,9.735,glove,10.335,hat,11.085,card,11.535,glove,12.135
m_speech__ild_0__itd_500__targ_l__control_0,3,Target,hat,2.0,green,3.0,bag,3.0,pen,3.735,sock,4.335,shoe,4.935,red,6.0,glove,6.135,tables,7.0,glove,7.0,desks,7.935,tables,9.0,shoe,9.0,pen,10.0,bag,10.0,shoe,11.0,blue,12.0,desks,12.135
m_speech__ild_0__itd_500__targ_l__control_0,3,Masker,glove,1.935,spoons,2.535,pen,3.135,glove,3.885,red,4.485,desks,5.085,tables,5.535,desks,6.285,green,6.735,toy,7.335,red,8.085,spoons,8.535,white,9.135,sock,9.735,spoons,10.335,chairs,10.935,shoe,11.535,glove,12.285
m_speech__ild_0__itd_500__targ_r__control_0,0,Target,spoons,2.0,bag,2.437,glove,3.037,spoons,3.637,bag,4.0,spoons,5.0,tables,5.437,red,6.037,sock,7.0,green,7.237,desks,7.837,sock,8.437,pen,9.0,bag,10.0,white,10.0,sock,11.0,white,12.0,shoe,12.037
m_speech__ild_0__itd_500__targ_r__control_0,0,Masker,red,1.837,shoe,2.587,shoe,3.187,glove,3.787,pen,4.237,blue,4.837,toy,5.587,sock,6.187,spoons,6.637,shoe,7.387,sock,7.987,bag,8.587,chairs,9.037,tables,9.637,pen,10.237,toy,10.837,spoons,11.437,shoe,12.187
m_speech__ild_0__itd_500__targ_r__control_0,1,Target,card,1.837,green,2.437,white,3.037,card,4.0,bag,4.0,shoe,5.0,sock,6.0,pen,6.037,glove,7.0,bag,7.0,card,8.0,bag,9.0,spoons,9.0,pen,9.637,bag,10.0,toy,11.0,shoe,12.0,bag,12.037
m_speech__ild_0__itd_500__targ_r__control_0,1,Masker,spoons,1.987,spoons,2.587,card,3.187,card,3.637,glove,4.237,bag,4.837,toy,5.437,blue,6.187,spoons,6.637,green,7.237,bag,7.837,bag,8.437,toy,9.037,hat,9.787,pen,10.237,spoons,10.837,bag,11.437,bag,12.187
m_speech__ild_0__itd_500__targ_r__control_0,2,Target,pen,2.0,chairs,3.0,red,3.0,desks,3.637,bag,4.0,bag,4.837,bag,6.0,tables,6.0,card,7.0,tables,7.0,white,7.837,tables,9.0,green,9.037,pen,10.0,hat,10.237,tables,11.0,green,12.0,tables,12.037
m_speech__ild_0__itd_500__targ_r__control_0,2,Masker,red,1.837,chairs,2.437,pen,3.037,hat,3.787,desks,4.237,chairs,4.987,spoons,5.437,card,6.037,sock,6.637,desks,7.237,shoe,7.987,glove,8.437,desks,9.187,sock,9.637,tables,10.387,white,10.837,tables,11.437,desks,12.187
m_speech__ild_0__itd_500__targ_r__control_0,3,Target,toy,1.837,pen,3.0,pen,3.0,sock,3.637,spoons,4.237,spoons,5.0,pen,6.0,glove,6.0,white,6.637,spoons,7.237,shoe,7.837,pen,8.437,blue,9.037,pen,9.637,toy,10.237,card,10.837,sock,12.0,blue,12.0
m_speech__ild_0__itd_500__targ_r__control_0,3,Masker,blue,1.987,shoe,2.437,sock,3.037,desks,3.787,card,4.387,spoons,4.837,blue,5.437,toy,6.037,glove,6.787,bag,7.387,spoons,7.987,spoons,8.587,toy,9.187,tables,9.787,green,10.387,spoons,10.987,sock,11.437,toy,12.037
m_noise__ild_0__itd_500__targ_l__control_0,0,Target,green,1.049,card,1.649,spoons,2.0,sock,2.849,hat,4.0,shoe,4.049,desks,4.649,toy,5.249,hat,5.849,red,6.449,tables,7.049,glove,7.649,toy,8.249,hat,8.849,pen,9.449,toy,10.049,chairs,10.649,glove,11.249
