Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,pen,3.0,desks,3.335,toy,4.0,white,4.535,blue,5.0,sock,6.0,green,6.0,glove,6.935,glove,7.535,card,8.0,toy,8.735,bag,9.0,sock,10.0,shoe,10.535,toy,11.135,spoons,11.735,toy,12.335,glove,12.935
practice,0,Masker,none,2.735,none,3.485,none,3.935,none,4.685,none,5.135,none,5.735,none,6.335,none,7.085,none,7.685,none,8.135,none,8.885,none,9.335,none,9.935,none,10.685,none,11.285,none,11.885,none,12.485,none,13.085
practice,1,Target,toy,2.735,shoe,3.335,green,3.935,chairs,5.0,shoe,5.0,blue,5.735,glove,6.335,pen,6.935,shoe,8.0,hat,8.0,green,9.0,bag,9.335,blue,9.935,sock,11.0,card,11.0,shoe,12.0,glove,12.335,bag,13.0
practice,1,Masker,none,2.885,none,3.485,none,4.085,none,4.535,none,5.135,none,5.885,none,6.485,none,7.085,none,7.535,none,8.135,none,8.735,none,9.485,none,10.085,none,10.535,none,11.135,none,11.735,none,12.485,none,12.935
practice,2,Target,blue,2.735,green,3.0,toy,4.0,blue,5.0,bag,5.135,card,5.735,hat,6.0,card,7.0,toy,7.535,bag,8.135,toy,8.735,green,9.0,hat,9.935,glove,10.535,chairs,11.0,card,12.0,chairs,12.0,bag,13.0
practice,2,Masker,none,2.885,none,3.335,none,3.935,none,4.535,none,5.285,none,5.885,none,6.335,none,6.935,none,7.685,none,8.285,none,8.885,none,9.335,none,10.085,none,10.685,none,11.135,none,11.735,none,12.335,none,12.935
practice,3,Target,bag,2.735,pen,3.0,spoons,3.935,desks,4.535,spoons,5.0,desks,5.735,white,6.0,toy,6.935,tables,7.535,card,8.135,shoe,8.735,blue,9.0,sock,9.935,pen,11.0,spoons,11.135,glove,11.735,hat,12.335,sock,12.935
practice,3,Masker,none,2.885,none,3.335,none,4.085,none,4.685,none,5.135,none,5.885,none,6.335,none,7.085,none,7.685,none,8.285,none,8.885,none,9.335,none,10.085,none,10.535,none,11.285,none,11.885,none,12.485,none,13.085
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,pen,2.0,bag,2.0,hat,3.0,sock,3.193,pen,3.793,white,4.393,bag,4.993,bag,6.0,bag,6.0,spoons,7.0,green,8.0,hat,8.0,bag,8.593,blue,9.193,bag,9.793,sock,11.0,bag,11.0,red,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,sock,1.393,shoe,1.993,bag,2.593,spoons,3.343,desks,3.943,spoons,4.543,green,5.143,blue,5.593,desks,6.193,bag,6.793,card,7.393,sock,7.993,tables,8.743,shoe,9.343,tables,9.943,bag,10.393,hat,10.993,spoons,11.593
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,shoe,1.393,chairs,1.993,desks,3.0,chairs,3.193,white,4.0,chairs,4.393,white,4.993,glove,6.0,green,6.193,desks,6.793,hat,8.0,shoe,8.0,toy,9.0,pen,9.193,sock,10.0,card,11.0,hat,11.0,glove,11.593
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,chairs,1.543,toy,2.143,chairs,2.593,green,3.343,glove,3.793,chairs,4.543,bag,5.143,toy,5.593,hat,6.343,tables,6.943,glove,7.393,bag,7.993,spoons,8.593,white,9.343,card,9.793,sock,10.393,glove,10.993,pen,11.743
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,toy,1.393,hat,2.0,tables,2.593,glove,3.193,red,4.0,bag,4.393,hat,5.0,pen,5.593,card,6.0,toy,7.0,hat,7.393,desks,8.0,toy,9.0,toy,9.0,spoons,10.0,blue,11.0,shoe,11.0,spoons,11.593
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,glove,1.543,red,1.993,spoons,2.743,red,3.343,desks,3.793,spoons,4.543,pen,4.993,tables,5.743,toy,6.193,white,6.793,toy,7.543,blue,7.993,glove,8.593,spoons,9.193,bag,9.793,shoe,10.393,glove,10.993,pen,11.743
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,toy,1.393,tables,2.0,bag,3.0,toy,3.0,white,3.793,sock,5.0,pen,4.993,toy,5.593,tables,6.0,spoons,7.0,red,8.0,tables,7.993,card,8.593,green,9.193,toy,10.0,pen,10.393,hat,11.0,bag,11.593
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,sock,1.543,card,1.993,toy,2.593,pen,3.193,sock,3.943,blue,4.393,green,5.143,pen,5.743,pen,6.193,desks,6.793,tables,7.393,red,8.143,toy,8.743,card,9.343,tables,9.793,red,10.543,toy,10.993,toy,11.743
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,spoons,2.0,chairs,2.209,toy,2.809,hat,4.0,sock,4.009,glove,4.609,spoons,5.0,hat,6.0,card,6.409,blue,7.009,chairs,7.609,desks,8.0,toy,9.0,blue,10.0,bag,10.009,toy,10.609,hat,11.0,hat,11.809
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,chairs,1.609,blue,2.359,desks,2.959,bag,3.409,bag,4.159,card,4.759,toy,5.209,chairs,5.809,toy,6.559,card,7.159,blue,7.759,hat,8.209,pen,8.809,hat,9.409,card,10.159,shoe,10.759,card,11.209,desks,11.959
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,pen,1.609,blue,2.209,hat,2.809,sock,4.0,desks,4.009,hat,4.609,bag,5.209,toy,6.0,glove,7.0,hat,7.009,white,7.609,card,8.209,sock,9.0,hat,9.409,spoons,10.009,blue,11.0,toy,11.0,sock,12.0
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,hat,1.759,card,2.359,spoons,2.959,blue,3.409,spoons,4.159,white,4.759,spoons,5.359,spoons,5.809,sock,6.409,card,7.159,spoons,7.759,tables,8.359,tables,8.809,sock,9.559,blue,10.159,sock,10.609,glove,11.209,pen,11.809
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,card,1.609,hat,2.0,shoe,2.809,chairs,4.0,glove,4.009,bag,4.609,blue,5.0,toy,6.0,spoons,7.0,bag,7.009,pen,8.0,card,8.209,desks,9.0,sock,9.409,toy,10.0,chairs,11.0,red,11.209,chairs,12.0
