Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,1.425,tables,2.025,red,3.0,desks,3.225,chairs,4.0,spoons,5.0,bag,5.025,green,5.625,glove,6.0,toy,6.825,shoe,8.0,chairs,8.0,pen,8.625,hat,9.0,card,9.825,toy,10.425,white,11.025,shoe,11.625
practice,0,Masker,none,1.575,none,2.175,none,2.625,none,3.375,none,3.825,none,4.425,none,5.175,none,5.775,none,6.225,none,6.975,none,7.425,none,8.025,none,8.775,none,9.225,none,9.975,none,10.575,none,11.175,none,11.775
practice,1,Target,blue,2.0,pen,2.025,spoons,2.625,pen,3.225,toy,4.0,sock,5.0,card,5.0,shoe,6.0,pen,6.225,spoons,6.825,white,8.0,desks,8.025,tables,8.625,glove,9.0,hat,9.825,pen,10.425,chairs,11.0,white,12.0
practice,1,Masker,none,1.425,none,2.175,none,2.775,none,3.375,none,3.825,none,4.425,none,5.025,none,5.625,none,6.375,none,6.975,none,7.425,none,8.175,none,8.775,none,9.225,none,9.975,none,10.575,none,11.025,none,11.625
practice,2,Target,toy,1.425,shoe,2.0,pen,3.0,spoons,3.0,bag,3.825,desks,4.425,pen,5.025,chairs,5.625,glove,6.225,card,7.0,glove,8.0,tables,8.025,blue,9.0,chairs,9.225,toy,9.825,tables,10.425,pen,11.025,blue,12.0
practice,2,Masker,none,1.575,none,2.025,none,2.625,none,3.225,none,3.975,none,4.575,none,5.175,none,5.775,none,6.375,none,6.825,none,7.425,none,8.175,none,8.625,none,9.375,none,9.975,none,10.575,none,11.175,none,11.625
practice,3,Target,chairs,2.0,desks,2.025,glove,2.625,pen,3.0,glove,4.0,shoe,4.425,bag,5.0,red,6.0,glove,6.225,pen,7.0,shoe,7.425,card,8.025,pen,9.0,toy,9.225,spoons,10.0,green,10.425,green,11.025,desks,11.625
practice,3,Masker,none,1.425,none,2.175,none,2.775,none,3.225,none,3.825,none,4.575,none,5.025,none,5.625,none,6.375,none,6.825,none,7.575,none,8.175,none,8.625,none,9.375,none,9.825,none,10.575,none,11.175,none,11.775
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,bag,1.934,chairs,2.534,pen,3.134,toy,3.734,desks,4.334,blue,5.0,red,5.534,green,6.0,tables,6.734,bag,7.334,sock,8.0,card,9.0,glove,9.134,shoe,9.734,green,10.334,chairs,10.934,shoe,11.534,chairs,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,desks,2.084,desks,2.684,blue,3.284,desks,3.884,tables,4.484,glove,4.934,sock,5.684,glove,6.134,tables,6.884,glove,7.484,chairs,7.934,glove,8.534,sock,9.284,card,9.884,glove,10.484,green,11.084,shoe,11.684,desks,12.134
