Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,toy,2.66,bag,3.26,spoons,3.86,chairs,5.0,bag,5.06,sock,5.66,bag,6.26,blue,6.86,desks,8.0,shoe,8.0,bag,8.66,shoe,9.26,toy,10.0,card,10.46,bag,11.06,hat,12.0,glove,12.0,blue,13.0
practice,0,Masker,none,2.81,none,3.41,none,4.01,none,4.46,none,5.21,none,5.81,none,6.41,none,7.01,none,7.46,none,8.06,none,8.81,none,9.41,none,9.86,none,10.61,none,11.21,none,11.66,none,12.26,none,12.86
practice,1,Target,green,3.0,toy,3.26,glove,3.86,shoe,5.0,toy,5.0,desks,5.66,green,6.26,desks,6.86,toy,7.46,glove,8.06,desks,9.0,green,9.26,sock,10.0,toy,10.46,shoe,11.06,card,11.66,desks,12.26,glove,13.0
practice,1,Masker,none,2.66,none,3.41,none,4.01,none,4.46,none,5.06,none,5.81,none,6.41,none,7.01,none,7.61,none,8.21,none,8.66,none,9.41,none,9.86,none,10.61,none,11.21,none,11.81,none,12.41,none,12.86
practice,2,Target,spoons,2.66,toy,3.26,tables,4.0,glove,5.0,chairs,5.06,shoe,6.0,white,6.0,spoons,7.0,shoe,8.0,toy,8.06,spoons,9.0,tables,9.0,glove,10.0,sock,10.46,sock,11.0,hat,11.66,spoons,12.0,red,13.0
practice,2,Masker,none,2.81,none,3.41,none,3.86,none,4.46,none,5.21,none,5.66,none,6.26,none,6.86,none,7.46,none,8.21,none,8.66,none,9.26,none,9.86,none,10.61,none,11.06,none,11.81,none,12.26,none,12.86
practice,3,Target,pen,3.0,green,3.0,spoons,4.0,bag,4.46,bag,5.06,glove,5.66,desks,6.26,shoe,7.0,pen,8.0,desks,8.06,red,9.0,pen,9.26,shoe,9.86,tables,10.46,desks,11.0,chairs,12.0,green,12.0,shoe,12.86
practice,3,Masker,none,2.66,none,3.26,none,3.86,none,4.61,none,5.21,none,5.81,none,6.41,none,6.86,none,7.46,none,8.21,none,8.66,none,9.41,none,10.01,none,10.61,none,11.06,none,11.66,none,12.26,none,13.01
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,bag,2.921,chairs,3.521,white,4.0,chairs,4.721,glove,5.0,sock,6.0,spoons,6.521,hat,7.0,pen,7.721,desks,8.321,sock,8.921,toy,10.0,green,10.121,tables,11.0,desks,11.0,card,12.0,white,12.521,blue,13.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,3.071,bag,3.671,sock,4.121,spoons,4.871,chairs,5.321,pen,5.921,white,6.671,tables,7.121,bag,7.871,red,8.471,blue,9.071,red,9.521,spoons,10.271,chairs,10.721,sock,11.321,tables,11.921,toy,12.671,tables,13.121
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,pen,3.0,toy,4.0,tables,4.121,desks,5.0,card,5.321,pen,5.921,white,6.521,bag,7.121,sock,7.721,hat,8.321,bag,8.921,sock,10.0,pen,10.0,bag,11.0,white,11.0,card,11.921,chairs,12.521,card,13.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,sock,2.921,hat,3.521,card,4.271,white,4.721,blue,5.471,glove,6.071,pen,6.671,white,7.271,bag,7.871,card,8.471,hat,9.071,hat,9.521,hat,10.121,red,10.721,sock,11.321,spoons,12.071,sock,12.671,sock,13.121
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,sock,2.921,card,3.521,toy,4.121,bag,4.721,white,5.0,chairs,5.921,pen,7.0,desks,7.121,card,7.721,tables,8.321,red,8.921,shoe,10.0,desks,10.0,sock,11.0,shoe,11.0,glove,12.0,red,13.0,white,13.0
