Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,2.0,spoons,3.0,shoe,4.0,glove,4.13,green,5.0,shoe,5.0,chairs,6.0,glove,7.0,glove,7.0,white,7.73,glove,8.33,hat,9.0,bag,9.53,spoons,10.13,chairs,11.0,white,11.33,shoe,12.0,chairs,12.53
practice,0,Masker,none,2.33,none,2.93,none,3.53,none,4.28,none,4.73,none,5.33,none,5.93,none,6.53,none,7.13,none,7.88,none,8.48,none,8.93,none,9.68,none,10.28,none,10.73,none,11.48,none,11.93,none,12.68
practice,1,Target,sock,2.0,toy,3.0,pen,3.53,chairs,4.13,green,5.0,sock,5.0,sock,5.93,desks,6.53,shoe,7.0,sock,7.73,glove,8.0,bag,9.0,sock,9.53,card,10.13,desks,10.73,sock,11.0,spoons,12.0,red,12.53
practice,1,Masker,none,2.33,none,2.93,none,3.68,none,4.28,none,4.73,none,5.33,none,6.08,none,6.68,none,7.13,none,7.88,none,8.33,none,8.93,none,9.68,none,10.28,none,10.88,none,11.33,none,11.93,none,12.68
practice,2,Target,pen,2.0,desks,3.0,hat,3.53,card,4.0,hat,5.0,chairs,5.33,tables,6.0,green,7.0,shoe,7.13,glove,8.0,toy,8.33,card,8.93,glove,10.0,toy,10.13,glove,10.73,sock,11.0,spoons,11.93,white,13.0
practice,2,Masker,none,2.33,none,2.93,none,3.68,none,4.13,none,4.73,none,5.48,none,5.93,none,6.53,none,7.28,none,7.73,none,8.48,none,9.08,none,9.53,none,10.28,none,10.88,none,11.33,none,12.08,none,12.53
practice,3,Target,white,2.0,green,2.93,pen,3.53,chairs,4.13,red,4.73,chairs,5.33,toy,6.0,chairs,7.0,tables,7.13,hat,8.0,tables,8.33,chairs,9.0,tables,10.0,chairs,10.0,sock,10.73,toy,11.33,red,12.0,chairs,12.53
practice,3,Masker,none,2.33,none,3.08,none,3.68,none,4.28,none,4.88,none,5.48,none,5.93,none,6.53,none,7.28,none,7.73,none,8.48,none,8.93,none,9.53,none,10.13,none,10.88,none,11.48,none,11.93,none,12.68
m_speech__ild_0__itd_50__targ_l,0,Target,bag,1.622,chairs,2.222,sock,2.822,pen,3.422,bag,4.0,chairs,5.0,hat,5.0,desks,5.822,hat,6.422,desks,7.0,pen,7.622,blue,8.0,green,8.822,bag,9.422,sock,10.022,hat,11.0,tables,11.0,shoe,11.822
m_speech__ild_0__itd_50__targ_l,0,Masker,toy,1.772,hat,2.372,hat,2.972,green,3.572,hat,4.022,tables,4.622,tables,5.222,bag,5.972,toy,6.572,chairs,7.022,glove,7.772,glove,8.222,bag,8.972,pen,9.572,glove,10.172,tables,10.622,green,11.222,toy,11.972
m_speech__ild_0__itd_50__targ_l,1,Target,pen,2.0,bag,2.0,red,3.0,spoons,4.0,red,4.0,toy,4.622,hat,5.222,blue,6.0,card,6.422,spoons,7.0,card,7.622,sock,8.0,sock,8.822,hat,9.422,desks,10.0,chairs,10.622,pen,11.0,spoons,11.822
m_speech__ild_0__itd_50__targ_l,1,Masker,hat,1.622,shoe,2.222,card,2.822,pen,3.422,tables,4.022,chairs,4.772,white,5.372,card,5.822,bag,6.572,toy,7.022,sock,7.772,chairs,8.222,hat,8.972,sock,9.572,white,10.022,bag,10.772,hat,11.222,spoons,11.972
m_speech__ild_0__itd_50__targ_l,2,Target,spoons,1.622,blue,2.0,glove,3.0,pen,4.0,red,4.022,glove,4.622,spoons,5.222,sock,6.0,spoons,7.0,hat,7.0,pen,7.622,tables,8.222,spoons,8.822,red,10.0,shoe,10.0,sock,11.0,toy,11.0,card,11.822
m_speech__ild_0__itd_50__targ_l,2,Masker,sock,1.772,toy,2.222,bag,2.822,shoe,3.422,glove,4.172,shoe,4.772,red,5.372,spoons,5.822,red,6.422,glove,7.022,shoe,7.772,white,8.372,white,8.972,shoe,9.422,spoons,10.022,card,10.622,spoons,11.222,glove,11.972
m_speech__ild_0__itd_50__targ_l,3,Target,white,1.622,red,2.0,pen,3.0,sock,3.422,spoons,4.022,glove,4.622,card,5.222,shoe,5.822,tables,7.0,sock,7.022,card,7.622,toy,8.222,hat,8.822,sock,9.422,red,10.022,desks,11.0,toy,11.222,white,11.822
m_speech__ild_0__itd_50__targ_l,3,Masker,spoons,1.772,chairs,2.222,shoe,2.822,red,3.572,bag,4.172,shoe,4.772,spoons,5.372,pen,5.972,shoe,6.422,blue,7.172,spoons,7.772,sock,8.372,red,8.972,shoe,9.572,card,10.172,red,10.622,sock,11.372,card,11.972
m_speech__ild_0__itd_50__targ_r,0,Target,tables,1.994,glove,3.0,blue,3.0,pen,3.794,tables,5.0,tables,4.994,toy,5.594,desks,6.194,chairs,6.794,glove,7.394,sock,8.0,shoe,8.594,hat,9.194,tables,10.0,green,10.394,chairs,11.0,white,12.0,hat,12.0
m_speech__ild_0__itd_50__targ_r,0,Masker,glove,2.144,green,2.594,desks,3.194,desks,3.944,spoons,4.394,toy,5.144,card,5.744,spoons,6.344,desks,6.944,tables,7.544,blue,7.994,card,8.744,bag,9.344,tables,9.794,tables,10.544,red,10.994,bag,11.594,sock,12.194
m_speech__ild_0__itd_50__targ_r,1,Target,desks,2.0,toy,2.594,glove,3.194,pen,4.0,sock,4.394,green,5.0,hat,6.0,blue,6.194,tables,6.794,chairs,7.394,tables,7.994,tables,8.594,pen,9.0,white,9.794,card,10.394,card,10.994,shoe,11.594,tables,12.0
m_speech__ild_0__itd_50__targ_r,1,Masker,hat,1.994,chairs,2.744,hat,3.344,blue,3.794,card,4.544,desks,4.994,chairs,5.594,hat,6.344,blue,6.944,red,7.544,shoe,8.144,white,8.744,card,9.194,tables,9.944,sock,10.544,hat,11.144,spoons,11.744,spoons,12.194
m_speech__ild_0__itd_50__targ_r,2,Target,white,2.0,blue,3.0,chairs,3.0,tables,4.0,pen,5.0,spoons,4.994,spoons,6.0,chairs,6.194,bag,6.794,pen,7.394,tables,8.0,glove,8.594,pen,9.194,bag,9.794,sock,10.394,blue,11.0,tables,12.0,blue,12.194
m_speech__ild_0__itd_50__targ_r,2,Masker,hat,1.994,sock,2.594,blue,3.194,pen,3.794,tables,4.394,red,5.144,card,5.594,tables,6.344,spoons,6.944,glove,7.544,pen,7.994,shoe,8.744,green,9.344,spoons,9.944,white,10.544,chairs,10.994,pen,11.594,shoe,12.344
m_speech__ild_0__itd_50__targ_r,3,Target,pen,2.0,glove,3.0,chairs,3.194,blue,3.794,glove,4.394,red,5.0,bag,5.594,glove,6.0,card,7.0,glove,7.394,tables,8.0,pen,9.0,toy,9.194,card,9.794,spoons,11.0,card,11.0,desks,12.0,spoons,12.0
m_speech__ild_0__itd_50__targ_r,3,Masker,shoe,1.994,pen,2.594,glove,3.344,tables,3.944,blue,4.544,tables,4.994,pen,5.744,spoons,6.194,card,6.794,card,7.544,green,7.994,tables,8.594,pen,9.344,sock,9.944,shoe,10.394,toy,10.994,hat,11.594,card,12.194
m_noise__ild_0__itd_50__targ_l,0,Target,spoons,1.216,glove,2.0,spoons,3.0,glove,3.016,toy,4.0,red,4.0,card,4.816,white,5.416,red,6.0,card,6.616,desks,7.0,hat,7.816,shoe,8.416,bag,9.0,spoons,10.0,bag,10.216,shoe,11.0,toy,12.0
m_noise__ild_0__itd_50__targ_l,0,Masker,noise,1.366,noise,1.816,noise,2.416,noise,3.166,noise,3.616,noise,4.216,noise,4.966,noise,5.566,noise,6.016,noise,6.766,noise,7.216,noise,7.966,noise,8.566,noise,9.016,noise,9.616,noise,10.366,noise,10.816,noise,11.416
