Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,spoons,2.255,chairs,2.855,blue,3.455,chairs,4.055,tables,4.655,tables,5.0,toy,5.855,red,6.455,tables,7.055,pen,7.655,desks,8.255,sock,8.855,chairs,9.455,toy,10.055,pen,11.0,card,11.0,pen,12.0,shoe,13.0
practice,0,Masker,none,2.405,none,3.005,none,3.605,none,4.205,none,4.805,none,5.255,none,6.005,none,6.605,none,7.205,none,7.805,none,8.405,none,9.005,none,9.605,none,10.205,none,10.655,none,11.255,none,11.855,none,12.455
practice,1,Target,card,2.255,hat,2.855,white,3.455,shoe,4.0,bag,4.655,tables,5.0,toy,5.855,chairs,7.0,pen,7.055,card,7.655,glove,8.0,blue,8.855,pen,9.455,desks,10.0,green,10.655,green,11.255,shoe,11.855,hat,13.0
practice,1,Masker,none,2.405,none,3.005,none,3.605,none,4.055,none,4.805,none,5.255,none,6.005,none,6.455,none,7.205,none,7.805,none,8.255,none,9.005,none,9.605,none,10.055,none,10.805,none,11.405,none,12.005,none,12.455
practice,2,Target,tables,2.255,desks,2.855,spoons,3.455,chairs,4.055,white,5.0,card,5.0,blue,6.0,card,6.455,shoe,7.055,spoons,7.655,chairs,8.255,desks,9.0,red,10.0,desks,10.0,red,11.0,card,11.255,desks,11.855,bag,13.0
practice,2,Masker,none,2.405,none,3.005,none,3.605,none,4.205,none,4.655,none,5.255,none,5.855,none,6.605,none,7.205,none,7.805,none,8.405,none,8.855,none,9.455,none,10.055,none,10.655,none,11.405,none,12.005,none,12.455
practice,3,Target,desks,2.255,bag,2.855,hat,3.455,chairs,4.055,white,4.655,shoe,5.0,pen,6.0,blue,6.455,bag,7.0,green,8.0,toy,8.0,chairs,8.855,pen,9.455,glove,10.055,bag,11.0,bag,11.0,desks,12.0,glove,12.455
practice,3,Masker,none,2.405,none,3.005,none,3.605,none,4.205,none,4.805,none,5.255,none,5.855,none,6.605,none,7.055,none,7.655,none,8.255,none,9.005,none,9.605,none,10.205,none,10.655,none,11.255,none,11.855,none,12.605
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,spoons,2.0,card,2.82,pen,4.0,spoons,4.0,card,4.62,desks,5.22,blue,5.82,pen,6.42,blue,7.02,toy,8.0,sock,8.22,card,9.0,chairs,9.42,glove,10.02,desks,10.62,hat,11.22,bag,11.82,card,12.42
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,2.22,sock,2.97,pen,3.42,glove,4.02,card,4.77,desks,5.37,desks,5.97,tables,6.57,desks,7.17,blue,7.62,bag,8.37,white,8.82,card,9.57,chairs,10.17,sock,10.77,desks,11.37,sock,11.97,chairs,12.57
