Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,glove,3.0,white,3.106,hat,3.706,bag,4.306,card,4.906,chairs,6.0,desks,6.0,hat,7.0,chairs,7.306,shoe,8.0,toy,8.506,chairs,9.106,sock,9.706,white,10.0,chairs,10.906,bag,11.506,red,12.106,bag,12.706
practice,0,Masker,none,2.506,none,3.256,none,3.856,none,4.456,none,5.056,none,5.506,none,6.106,none,6.706,none,7.456,none,7.906,none,8.656,none,9.256,none,9.856,none,10.306,none,11.056,none,11.656,none,12.256,none,12.856
practice,1,Target,desks,2.506,tables,3.0,green,3.706,bag,4.306,shoe,4.906,card,5.506,tables,6.0,bag,6.706,bag,7.306,chairs,8.0,card,8.506,glove,9.0,shoe,10.0,card,10.306,tables,10.906,card,12.0,white,12.106,card,13.0
practice,1,Masker,none,2.656,none,3.106,none,3.856,none,4.456,none,5.056,none,5.656,none,6.106,none,6.856,none,7.456,none,7.906,none,8.656,none,9.106,none,9.706,none,10.456,none,11.056,none,11.506,none,12.256,none,12.706
practice,2,Target,pen,2.506,red,3.106,bag,3.706,green,4.306,spoons,5.0,desks,5.506,desks,6.106,tables,6.706,hat,7.306,green,7.906,chairs,9.0,spoons,9.106,card,10.0,spoons,10.0,card,10.906,pen,11.506,hat,12.106,desks,13.0
practice,2,Masker,none,2.656,none,3.256,none,3.856,none,4.456,none,4.906,none,5.656,none,6.256,none,6.856,none,7.456,none,8.056,none,8.506,none,9.256,none,9.706,none,10.306,none,11.056,none,11.656,none,12.256,none,12.706
practice,3,Target,pen,2.506,glove,3.106,glove,4.0,bag,4.306,glove,5.0,tables,5.506,chairs,6.106,bag,6.706,chairs,7.0,toy,8.0,chairs,8.506,desks,9.106,glove,9.706,pen,10.0,blue,11.0,red,11.506,hat,12.0,red,13.0
practice,3,Masker,none,2.656,none,3.256,none,3.706,none,4.456,none,4.906,none,5.656,none,6.256,none,6.856,none,7.306,none,7.906,none,8.656,none,9.256,none,9.856,none,10.306,none,10.906,none,11.656,none,12.106,none,12.706
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,chairs,2.0,glove,2.0,desks,2.756,tables,4.0,glove,4.0,white,5.0,glove,5.0,white,6.0,glove,6.356,hat,6.956,shoe,7.556,glove,8.156,desks,9.0,card,9.356,card,9.956,tables,11.0,toy,11.0,card,12.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,red,1.556,bag,2.156,shoe,2.906,desks,3.356,card,3.956,toy,4.556,white,5.156,tables,5.756,pen,6.506,chairs,7.106,green,7.706,tables,8.306,shoe,8.756,red,9.506,tables,10.106,desks,10.556,tables,11.156,card,11.756
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,pen,2.0,glove,2.0,desks,2.756,tables,4.0,glove,3.956,pen,5.0,bag,5.156,spoons,5.756,green,6.356,bag,7.0,white,7.556,shoe,8.156,tables,9.0,spoons,10.0,hat,10.0,tables,11.0,pen,11.156,sock,11.756
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,spoons,1.556,spoons,2.156,glove,2.906,glove,3.356,red,4.106,spoons,4.556,toy,5.306,pen,5.906,pen,6.506,sock,6.956,glove,7.706,glove,8.306,spoons,8.756,blue,9.356,shoe,9.956,glove,10.556,white,11.306,pen,11.906
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,spoons,1.556,toy,2.156,white,3.0,card,4.0,spoons,4.0,toy,5.0,chairs,5.156,green,5.756,bag,7.0,blue,7.0,chairs,8.0,toy,8.156,hat,9.0,chairs,9.356,tables,9.956,bag,11.0,chairs,11.0,shoe,12.0
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,green,1.706,sock,2.306,glove,2.756,glove,3.356,chairs,3.956,hat,4.556,toy,5.306,tables,5.906,shoe,6.356,card,6.956,bag,7.556,sock,8.306,spoons,8.756,toy,9.506,bag,10.106,white,10.556,hat,11.156,spoons,11.756
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,hat,2.0,spoons,2.0,bag,3.0,pen,4.0,chairs,4.0,red,4.556,desks,5.0,desks,6.0,pen,7.0,bag,6.956,desks,7.556,spoons,8.156,desks,9.0,desks,9.356,hat,10.0,sock,10.556,green,11.0,desks,11.756
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,glove,1.556,bag,2.156,desks,2.756,bag,3.356,tables,3.956,desks,4.706,pen,5.156,bag,5.756,glove,6.356,blue,7.106,card,7.706,pen,8.306,green,8.756,green,9.506,bag,9.956,bag,10.706,desks,11.156,pen,11.906
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,hat,1.752,card,2.352,sock,2.952,desks,4.0,red,4.152,card,4.752,shoe,5.352,chairs,5.952,sock,6.552,toy,7.152,shoe,8.0,bag,9.0,shoe,9.0,spoons,10.0,pen,10.0,hat,11.0,red,12.0,red,12.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,card,1.902,green,2.502,desks,3.102,glove,3.552,hat,4.302,pen,4.902,desks,5.502,shoe,6.102,glove,6.702,hat,7.302,green,7.752,sock,8.352,white,8.952,chairs,9.552,shoe,10.152,chairs,10.752,bag,11.352,spoons,11.952
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,pen,1.752,white,2.352,desks,3.0,toy,4.0,tables,4.152,toy,4.752,hat,6.0,bag,5.952,white,7.0,card,7.152,hat,8.0,red,8.352,card,8.952,pen,10.0,glove,10.152,hat,11.0,green,12.0,hat,11.952
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,white,1.902,tables,2.502,bag,2.952,tables,3.552,shoe,4.302,red,4.902,tables,5.352,chairs,6.102,chairs,6.552,shoe,7.302,toy,7.752,hat,8.502,tables,9.102,tables,9.552,tables,10.302,tables,10.752,hat,11.352,bag,12.102
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,tables,2.0,glove,2.352,white,2.952,card,3.552,glove,4.0,tables,4.752,green,6.0,toy,5.952,desks,7.0,toy,7.0,glove,8.0,spoons,9.0,red,9.0,spoons,9.552,toy,10.0,toy,10.752,shoe,11.352,tables,11.952
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,glove,1.752,sock,2.502,chairs,3.102,white,3.702,white,4.152,glove,4.902,shoe,5.352,shoe,6.102,glove,6.552,pen,7.152,hat,7.752,sock,8.352,spoons,8.952,white,9.702,spoons,10.152,card,10.902,toy,11.502,green,12.102
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,tables,2.0,green,3.0,blue,3.0,glove,4.0,pen,4.152,bag,4.752,desks,5.352,shoe,6.0,spoons,7.0,toy,7.0,pen,7.752,toy,8.352,blue,8.952,hat,9.552,sock,10.152,hat,10.752,toy,12.0,pen,12.0
m_speech__ild_0__itd_50__targ_r__control_0,3,Masker,hat,1.752,chairs,2.352,desks,2.952,pen,3.552,desks,4.302,toy,4.902,green,5.502,sock,5.952,sock,6.552,pen,7.152,white,7.902,pen,8.502,desks,9.102,toy,9.702,desks,10.302,desks,10.902,toy,11.352,blue,11.952
m_noise__ild_0__itd_50__targ_l__control_0,0,Target,card,1.466,hat,2.0,white,2.666,desks,3.266,spoons,3.866,sock,5.0,chairs,5.0,sock,5.666,glove,6.266,green,7.0,chairs,7.466,toy,8.066,tables,9.0,spoons,9.0,pen,9.866,card,11.0,white,11.0,sock,11.666
m_noise__ild_0__itd_50__targ_l__control_0,0,Masker,noise,1.616,noise,2.066,noise,2.816,noise,3.416,noise,4.016,noise,4.466,noise,5.066,noise,5.816,noise,6.416,noise,6.866,noise,7.616,noise,8.216,noise,8.666,noise,9.266,noise,10.016,noise,10.466,noise,11.066,noise,11.816
m_noise__ild_0__itd_50__targ_l__control_0,1,Target,sock,1.466,toy,2.0,tables,2.666,glove,3.0,tables,3.866,card,5.0,toy,5.0,toy,6.0,sock,6.266,blue,6.866,white,8.0,card,8.0,toy,8.666,white,9.0,green,10.0,shoe,10.466,chairs,11.066,chairs,12.0
