Condition,Run,Type,Word0,Time0,Word1,Time1,Word2,Time2,Word3,Time3,Word4,Time4,Word5,Time5,Word6,Time6,Word7,Time7,Word8,Time8,Word9,Time9,Word10,Time10,Word11,Time11,Word12,Time12,Word13,Time13,Word14,Time14,Word15,Time15,Word16,Time16,Word17,Time17
practice,0,Target,bag,1.0,sock,2.0,desks,3.0,chairs,3.0,shoe,3.698,glove,4.0,desks,4.898,blue,5.498,sock,6.098,chairs,7.0,shoe,7.0,sock,7.898,glove,9.0,sock,9.098,toy,9.698,chairs,10.298,white,11.0,sock,12.0
practice,0,Masker,none,1.298,none,1.898,none,2.498,none,3.098,none,3.848,none,4.298,none,5.048,none,5.648,none,6.248,none,6.698,none,7.298,none,8.048,none,8.498,none,9.248,none,9.848,none,10.448,none,10.898,none,11.498
practice,1,Target,sock,1.298,blue,2.0,pen,2.498,shoe,3.0,spoons,3.698,shoe,4.0,green,4.898,desks,6.0,glove,6.0,glove,7.0,green,7.0,toy,7.898,glove,9.0,pen,9.0,red,10.0,pen,10.0,spoons,10.898,card,12.0
practice,1,Masker,none,1.448,none,1.898,none,2.648,none,3.098,none,3.848,none,4.298,none,5.048,none,5.498,none,6.098,none,6.698,none,7.298,none,8.048,none,8.498,none,9.098,none,9.698,none,10.298,none,11.048,none,11.498
practice,2,Target,toy,1.298,bag,1.898,chairs,2.498,hat,3.098,toy,4.0,red,4.0,desks,4.898,card,6.0,bag,6.0,red,7.0,hat,7.298,sock,7.898,white,8.498,spoons,9.098,hat,10.0,red,10.298,spoons,11.0,card,11.498
practice,2,Masker,none,1.448,none,2.048,none,2.648,none,3.248,none,3.698,none,4.298,none,5.048,none,5.498,none,6.098,none,6.698,none,7.448,none,8.048,none,8.648,none,9.248,none,9.698,none,10.448,none,10.898,none,11.648
practice,3,Target,white,1.298,tables,1.898,red,2.498,chairs,3.0,pen,4.0,shoe,4.298,sock,4.898,shoe,6.0,toy,6.0,pen,6.698,chairs,7.0,sock,8.0,pen,9.0,chairs,9.0,sock,10.0,pen,10.0,sock,10.898,tables,11.498
practice,3,Masker,none,1.448,none,2.048,none,2.648,none,3.098,none,3.698,none,4.448,none,5.048,none,5.498,none,6.098,none,6.848,none,7.298,none,7.898,none,8.498,none,9.098,none,9.698,none,10.298,none,11.048,none,11.648
m_speech__ild_0__itd_50__targ_l__control_0,0,Target,card,2.489,bag,3.0,desks,3.689,spoons,4.0,glove,5.0,spoons,5.489,green,6.0,pen,7.0,spoons,7.0,blue,7.889,pen,9.0,toy,9.089,desks,10.0,tables,10.289,sock,11.0,hat,12.0,tables,12.0,sock,13.0
m_speech__ild_0__itd_50__targ_l__control_0,0,Masker,chairs,2.639,sock,3.089,spoons,3.839,bag,4.289,spoons,4.889,chairs,5.639,chairs,6.089,spoons,6.689,red,7.289,hat,8.039,pen,8.489,tables,9.239,pen,9.689,spoons,10.439,glove,10.889,tables,11.489,white,12.089,desks,12.689
m_speech__ild_0__itd_50__targ_l__control_0,1,Target,sock,3.0,glove,3.0,tables,4.0,white,4.289,tables,5.0,hat,6.0,spoons,6.0,sock,7.0,glove,7.0,card,7.889,toy,9.0,blue,9.0,pen,9.689,glove,10.289,chairs,11.0,bag,12.0,tables,12.0,hat,13.0
m_speech__ild_0__itd_50__targ_l__control_0,1,Masker,tables,2.489,card,3.089,pen,3.689,card,4.439,bag,4.889,green,5.489,tables,6.089,green,6.689,blue,7.289,glove,8.039,spoons,8.489,sock,9.089,card,9.839,shoe,10.439,tables,10.889,pen,11.489,pen,12.089,white,12.689
m_speech__ild_0__itd_50__targ_l__control_0,2,Target,pen,2.489,toy,3.0,sock,3.689,chairs,4.0,card,5.0,bag,5.489,bag,6.0,shoe,6.689,sock,7.0,desks,8.0,hat,8.489,shoe,9.089,bag,10.0,shoe,10.289,green,10.889,red,12.0,hat,12.089,sock,12.689
m_speech__ild_0__itd_50__targ_l__control_0,2,Masker,green,2.639,card,3.089,shoe,3.839,red,4.289,desks,4.889,chairs,5.639,glove,6.089,desks,6.839,chairs,7.289,glove,7.889,shoe,8.639,card,9.239,tables,9.689,green,10.439,bag,11.039,chairs,11.489,blue,12.239,spoons,12.839
m_speech__ild_0__itd_50__targ_l__control_0,3,Target,toy,3.0,chairs,3.0,pen,3.689,white,4.0,glove,4.889,spoons,6.0,pen,6.0,hat,6.689,chairs,7.0,toy,8.0,red,9.0,toy,9.0,red,9.689,blue,10.0,sock,11.0,tables,12.0,pen,12.089,chairs,12.689
m_speech__ild_0__itd_50__targ_l__control_0,3,Masker,sock,2.489,sock,3.089,pen,3.839,toy,4.289,green,5.039,glove,5.489,blue,6.089,pen,6.839,pen,7.289,red,7.889,pen,8.489,sock,9.089,shoe,9.839,shoe,10.289,tables,10.889,spoons,11.489,tables,12.239,toy,12.839
m_speech__ild_0__itd_50__targ_r__control_0,0,Target,sock,1.255,glove,2.0,pen,2.455,glove,3.055,red,4.0,pen,4.0,card,4.855,hat,5.455,red,6.0,shoe,6.655,pen,7.0,spoons,7.855,blue,9.0,bag,9.055,blue,9.655,tables,10.0,pen,11.0,toy,12.0
m_speech__ild_0__itd_50__targ_r__control_0,0,Masker,pen,1.405,bag,1.855,glove,2.605,shoe,3.205,chairs,3.655,hat,4.255,bag,5.005,pen,5.605,pen,6.055,white,6.805,spoons,7.255,white,8.005,sock,8.455,red,9.205,tables,9.805,spoons,10.255,red,10.855,shoe,11.455
m_speech__ild_0__itd_50__targ_r__control_0,1,Target,card,1.0,white,1.855,desks,3.0,tables,3.0,red,4.0,tables,4.255,bag,4.855,toy,6.0,tables,6.055,blue,7.0,spoons,7.0,blue,7.855,desks,8.455,tables,9.055,chairs,10.0,sock,10.0,chairs,11.0,toy,11.455
m_speech__ild_0__itd_50__targ_r__control_0,1,Masker,spoons,1.255,spoons,2.005,red,2.455,chairs,3.055,glove,3.655,spoons,4.405,toy,5.005,white,5.455,sock,6.205,sock,6.655,spoons,7.255,toy,8.005,bag,8.605,bag,9.205,bag,9.655,blue,10.255,tables,10.855,green,11.605
m_speech__ild_0__itd_50__targ_r__control_0,2,Target,pen,1.255,shoe,2.0,bag,3.0,sock,3.055,desks,4.0,chairs,4.0,green,5.0,bag,6.0,chairs,6.0,red,7.0,card,7.255,hat,7.855,desks,9.0,toy,9.055,green,9.655,sock,10.255,card,10.855,bag,11.455
m_speech__ild_0__itd_50__targ_r__control_0,2,Masker,desks,1.405,sock,1.855,shoe,2.455,bag,3.205,bag,3.655,hat,4.255,desks,4.855,spoons,5.455,white,6.055,card,6.655,spoons,7.405,glove,8.005,desks,8.455,green,9.205,desks,9.805,desks,10.405,desks,11.005,desks,11.605
m_speech__ild_0__itd_50__targ_r__control_0,3,Target,glove,1.255,shoe,1.855,spoons,2.455,shoe,3.0,desks,3.655,tables,4.0,desks,4.855,hat,5.455,white,6.0,white,7.0,green,7.255,desks,7.855,glove,8.455,desks,9.055,sock,9.655,tables,10.255,desks,10.855,tables,11.455
